ssbid_250,År,Populasjon
21882506576750,2016-01-01,4
21885006569500,2016-01-01,2
21885006570000,2016-01-01,3
21885006572000,2016-01-01,5
21885006573250,2016-01-01,2
21885006573750,2016-01-01,2
21885006574000,2016-01-01,77
21885006574250,2016-01-01,71
21885006574500,2016-01-01,17
21885006574750,2016-01-01,67
21885006575000,2016-01-01,135
21885006575250,2016-01-01,7
21885006575750,2016-01-01,30
21885006576000,2016-01-01,50
21885006576750,2016-01-01,8
21885006577750,2016-01-01,17
21885006584250,2016-01-01,4
21885006586250,2016-01-01,2
21885006586500,2016-01-01,3
21885006586750,2016-01-01,12
21885006601000,2016-01-01,2
21887506567000,2016-01-01,2
21887506569750,2016-01-01,1
21887506570000,2016-01-01,4
21887506570250,2016-01-01,4
21887506572750,2016-01-01,2
21887506574750,2016-01-01,16
21887506575500,2016-01-01,33
21887506575750,2016-01-01,72
21887506576000,2016-01-01,91
21887506576250,2016-01-01,48
21887506576500,2016-01-01,2
21887506576750,2016-01-01,8
21887506577000,2016-01-01,2
21887506577500,2016-01-01,88
21887506577750,2016-01-01,93
21887506584000,2016-01-01,5
21887506584250,2016-01-01,4
21887506586750,2016-01-01,1
21887506600750,2016-01-01,2
21890006568750,2016-01-01,4
21890006569750,2016-01-01,1
21890006570000,2016-01-01,9
21890006570500,2016-01-01,2
21890006571750,2016-01-01,2
21890006574000,2016-01-01,9
21890006575250,2016-01-01,3
21890006575500,2016-01-01,68
21890006575750,2016-01-01,146
21890006576000,2016-01-01,200
21890006576250,2016-01-01,106
21890006576500,2016-01-01,4
21890006576750,2016-01-01,13
21890006577000,2016-01-01,108
21890006577250,2016-01-01,173
21890006577500,2016-01-01,140
21890006577750,2016-01-01,88
21890006578000,2016-01-01,6
21890006581750,2016-01-01,2
21890006583750,2016-01-01,4
21890006584000,2016-01-01,14
21890006584250,2016-01-01,6
21890006585000,2016-01-01,2
21890006585250,2016-01-01,2
21890006599750,2016-01-01,2
21892506571000,2016-01-01,1
21892506573000,2016-01-01,16
21892506573750,2016-01-01,6
21892506574000,2016-01-01,56
21892506575250,2016-01-01,2
21892506575500,2016-01-01,105
21892506575750,2016-01-01,159
21892506576000,2016-01-01,112
21892506576500,2016-01-01,14
21892506576750,2016-01-01,209
21892506577000,2016-01-01,284
21892506577250,2016-01-01,179
21892506577500,2016-01-01,169
21892506577750,2016-01-01,54
21892506578000,2016-01-01,26
21892506579750,2016-01-01,9
21892506580000,2016-01-01,3
21892506580750,2016-01-01,2
21892506581500,2016-01-01,20
21892506581750,2016-01-01,3
21892506582750,2016-01-01,10
21892506583250,2016-01-01,3
21892506583750,2016-01-01,6
21892506584250,2016-01-01,3
21892506585000,2016-01-01,1
21895006568000,2016-01-01,4
21895006573000,2016-01-01,3
21895006573750,2016-01-01,2
