region,statistikkvariabel,år,alder,value,Framskriving,Tabell
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2033,1-5 år,1773,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2033,6-12 år,2519,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2033,13-15 år,1110,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2033,16-19 år,1626,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2033,20-44 år,11307,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2033,45-66 år,10849,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2033,67-79 år,5394,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2033,80-89 år,2457,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2033,90 år eller eldre,491,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2034,0 år,348,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2034,1-5 år,1791,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2034,6-12 år,2529,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2034,13-15 år,1117,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2034,16-19 år,1602,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2034,20-44 år,11258,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2034,45-66 år,10809,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2034,67-79 år,5476,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2034,80-89 år,2528,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2034,90 år eller eldre,527,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2035,0 år,352,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2035,1-5 år,1806,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2035,6-12 år,2542,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2035,13-15 år,1111,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2035,16-19 år,1590,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2035,20-44 år,11206,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2035,45-66 år,10781,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2035,67-79 år,5568,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2035,80-89 år,2563,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2035,90 år eller eldre,577,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2036,0 år,355,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2036,1-5 år,1822,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2036,6-12 år,2562,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2036,13-15 år,1113,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2036,16-19 år,1557,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2036,20-44 år,11141,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2036,45-66 år,10766,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2036,67-79 år,5661,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2036,80-89 år,2609,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2036,90 år eller eldre,621,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2037,0 år,356,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2037,1-5 år,1839,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2037,6-12 år,2584,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2037,13-15 år,1110,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2037,16-19 år,1525,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2037,20-44 år,11092,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2037,45-66 år,10712,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2037,67-79 år,5773,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2037,80-89 år,2658,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2037,90 år eller eldre,666,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2038,0 år,356,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2038,1-5 år,1852,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2038,6-12 år,2605,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2038,13-15 år,1109,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2038,16-19 år,1526,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2038,20-44 år,11011,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2038,45-66 år,10703,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2038,67-79 år,5836,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2038,80-89 år,2706,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2038,90 år eller eldre,715,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2039,0 år,354,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2039,1-5 år,1863,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2039,6-12 år,2629,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2039,13-15 år,1116,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2039,16-19 år,1518,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2039,20-44 år,10966,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2039,45-66 år,10652,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2039,67-79 år,5928,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2039,80-89 år,2745,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2039,90 år eller eldre,747,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2040,0 år,352,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2040,1-5 år,1869,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2040,6-12 år,2654,2020,12882
