region,statistikkvariabel,år,alder,value,Framskriving,Tabell
Porsgrunn (-2019),Folkemengde,2026,0 år,456,2011,08825
Porsgrunn (-2019),Folkemengde,2026,1-5 år,2396,2011,08825
Porsgrunn (-2019),Folkemengde,2026,6-12 år,3381,2011,08825
Porsgrunn (-2019),Folkemengde,2026,13-15 år,1431,2011,08825
Porsgrunn (-2019),Folkemengde,2026,16-19 år,1835,2011,08825
Porsgrunn (-2019),Folkemengde,2026,20-66 år,24217,2011,08825
Porsgrunn (-2019),Folkemengde,2026,67-79 år,5033,2011,08825
Porsgrunn (-2019),Folkemengde,2026,80-89 år,1826,2011,08825
Porsgrunn (-2019),Folkemengde,2026,90 år eller eldre,328,2011,08825
Porsgrunn (-2019),Folkemengde,2027,0 år,455,2011,08825
Porsgrunn (-2019),Folkemengde,2027,1-5 år,2405,2011,08825
Porsgrunn (-2019),Folkemengde,2027,6-12 år,3425,2011,08825
Porsgrunn (-2019),Folkemengde,2027,13-15 år,1437,2011,08825
Porsgrunn (-2019),Folkemengde,2027,16-19 år,1868,2011,08825
Porsgrunn (-2019),Folkemengde,2027,20-66 år,24323,2011,08825
Porsgrunn (-2019),Folkemengde,2027,67-79 år,5052,2011,08825
Porsgrunn (-2019),Folkemengde,2027,80-89 år,1939,2011,08825
Porsgrunn (-2019),Folkemengde,2027,90 år eller eldre,328,2011,08825
Porsgrunn (-2019),Folkemengde,2028,0 år,453,2011,08825
Porsgrunn (-2019),Folkemengde,2028,1-5 år,2407,2011,08825
Porsgrunn (-2019),Folkemengde,2028,6-12 år,3467,2011,08825
Porsgrunn (-2019),Folkemengde,2028,13-15 år,1451,2011,08825
Porsgrunn (-2019),Folkemengde,2028,16-19 år,1910,2011,08825
Porsgrunn (-2019),Folkemengde,2028,20-66 år,24414,2011,08825
Porsgrunn (-2019),Folkemengde,2028,67-79 år,5064,2011,08825
Porsgrunn (-2019),Folkemengde,2028,80-89 år,2049,2011,08825
Porsgrunn (-2019),Folkemengde,2028,90 år eller eldre,346,2011,08825
Porsgrunn (-2019),Folkemengde,2029,0 år,451,2011,08825
Porsgrunn (-2019),Folkemengde,2029,1-5 år,2407,2011,08825
Porsgrunn (-2019),Folkemengde,2029,6-12 år,3507,2011,08825
Porsgrunn (-2019),Folkemengde,2029,13-15 år,1469,2011,08825
Porsgrunn (-2019),Folkemengde,2029,16-19 år,1930,2011,08825
Porsgrunn (-2019),Folkemengde,2029,20-66 år,24505,2011,08825
Porsgrunn (-2019),Folkemengde,2029,67-79 år,5107,2011,08825
Porsgrunn (-2019),Folkemengde,2029,80-89 år,2127,2011,08825
Porsgrunn (-2019),Folkemengde,2029,90 år eller eldre,359,2011,08825
Porsgrunn (-2019),Folkemengde,2030,0 år,448,2011,08825
Porsgrunn (-2019),Folkemengde,2030,1-5 år,2399,2011,08825
Porsgrunn (-2019),Folkemengde,2030,6-12 år,3537,2011,08825
Porsgrunn (-2019),Folkemengde,2030,13-15 år,1487,2011,08825
Porsgrunn (-2019),Folkemengde,2030,16-19 år,1953,2011,08825
Porsgrunn (-2019),Folkemengde,2030,20-66 år,24620,2011,08825
Porsgrunn (-2019),Folkemengde,2030,67-79 år,5125,2011,08825
Porsgrunn (-2019),Folkemengde,2030,80-89 år,2209,2011,08825
Porsgrunn (-2019),Folkemengde,2030,90 år eller eldre,374,2011,08825
Porsgrunn (-2019),Folkemengde,2031,0 år,446,2011,08825
Porsgrunn (-2019),Folkemengde,2031,1-5 år,2390,2011,08825
Porsgrunn (-2019),Folkemengde,2031,6-12 år,3563,2011,08825
Porsgrunn (-2019),Folkemengde,2031,13-15 år,1506,2011,08825
Porsgrunn (-2019),Folkemengde,2031,16-19 år,1964,2011,08825
Porsgrunn (-2019),Folkemengde,2031,20-66 år,24724,2011,08825
Porsgrunn (-2019),Folkemengde,2031,67-79 år,5164,2011,08825
Porsgrunn (-2019),Folkemengde,2031,80-89 år,2286,2011,08825
Porsgrunn (-2019),Folkemengde,2031,90 år eller eldre,389,2011,08825
Porsgrunn (-2019),Folkemengde,2032,0 år,442,2011,08825
