Kommune,Alder,År,Personer,Kilde
Bamble,90 år eller eldre,2003,57,Historisk
Bamble,90 år eller eldre,2004,64,Historisk
Bamble,90 år eller eldre,2005,67,Historisk
Bamble,90 år eller eldre,2006,68,Historisk
Bamble,90 år eller eldre,2007,62,Historisk
Bamble,90 år eller eldre,2008,66,Historisk
Bamble,90 år eller eldre,2009,71,Historisk
Bamble,90 år eller eldre,2010,66,Historisk
Bamble,90 år eller eldre,2011,71,Historisk
Bamble,90 år eller eldre,2012,75,Historisk
Bamble,90 år eller eldre,2013,70,Historisk
Bamble,90 år eller eldre,2014,77,Historisk
Bamble,90 år eller eldre,2015,82,Historisk
Bamble,90 år eller eldre,2016,87,Historisk
Bamble,90 år eller eldre,2017,93,Historisk
Bamble,90 år eller eldre,2018,96,Historisk
Bamble,90 år eller eldre,2019,102,Historisk
Bamble,90 år eller eldre,2020,92,Historisk
Bamble,90 år eller eldre,2021,100,Historisk
Bamble,90 år eller eldre,2022,98,Historisk
Bamble,90 år eller eldre,2023,93,Historisk
Bamble,90 år eller eldre,2024,104,Historisk
Bamble,90 år eller eldre,2025,99,Historisk
Bamble,90 år eller eldre,2026,105,Historisk
Drangedal,0 år,2000,46,Historisk
Drangedal,0 år,2001,41,Historisk
Drangedal,0 år,2002,53,Historisk
Drangedal,0 år,2003,46,Historisk
Drangedal,0 år,2004,40,Historisk
Drangedal,0 år,2005,39,Historisk
Drangedal,0 år,2006,44,Historisk
Drangedal,0 år,2007,29,Historisk
Drangedal,0 år,2008,43,Historisk
Drangedal,0 år,2009,30,Historisk
Drangedal,0 år,2010,37,Historisk
Drangedal,0 år,2011,33,Historisk
Drangedal,0 år,2012,47,Historisk
Drangedal,0 år,2013,39,Historisk
Drangedal,0 år,2014,42,Historisk
Drangedal,0 år,2015,36,Historisk
Drangedal,0 år,2016,28,Historisk
Drangedal,0 år,2017,33,Historisk
Drangedal,0 år,2018,36,Historisk
Drangedal,0 år,2019,41,Historisk
Drangedal,0 år,2020,20,Historisk
Drangedal,0 år,2021,36,Historisk
Drangedal,0 år,2022,32,Historisk
Drangedal,0 år,2023,42,Historisk
Drangedal,0 år,2024,37,Historisk
Drangedal,0 år,2025,31,Historisk
Drangedal,0 år,2026,33,Historisk
Drangedal,1-5 år,2000,238,Historisk
Drangedal,1-5 år,2001,249,Historisk
Drangedal,1-5 år,2002,244,Historisk
Drangedal,1-5 år,2003,247,Historisk
Drangedal,1-5 år,2004,254,Historisk
Drangedal,1-5 år,2005,236,Historisk
Drangedal,1-5 år,2006,225,Historisk
Drangedal,1-5 år,2007,222,Historisk
Drangedal,1-5 år,2008,201,Historisk
Drangedal,1-5 år,2009,213,Historisk
Drangedal,1-5 år,2010,206,Historisk
Drangedal,1-5 år,2011,206,Historisk
Drangedal,1-5 år,2012,195,Historisk
Drangedal,1-5 år,2013,214,Historisk
Drangedal,1-5 år,2014,203,Historisk
Drangedal,1-5 år,2015,218,Historisk
Drangedal,1-5 år,2016,218,Historisk
Drangedal,1-5 år,2017,218,Historisk
Drangedal,1-5 år,2018,195,Historisk
Drangedal,1-5 år,2019,186,Historisk
Drangedal,1-5 år,2020,182,Historisk
Drangedal,1-5 år,2021,169,Historisk
Drangedal,1-5 år,2022,181,Historisk
Drangedal,1-5 år,2023,176,Historisk
Drangedal,1-5 år,2024,190,Historisk
Drangedal,1-5 år,2025,183,Historisk
Drangedal,1-5 år,2026,195,Historisk
Drangedal,6-12 år,2000,346,Historisk
Drangedal,6-12 år,2001,355,Historisk
Drangedal,6-12 år,2002,353,Historisk
Drangedal,6-12 år,2003,369,Historisk
Drangedal,6-12 år,2004,358,Historisk
Drangedal,6-12 år,2005,364,Historisk
Drangedal,6-12 år,2006,368,Historisk
Drangedal,6-12 år,2007,373,Historisk
Drangedal,6-12 år,2008,378,Historisk
Drangedal,6-12 år,2009,370,Historisk
Drangedal,6-12 år,2010,367,Historisk
Drangedal,6-12 år,2011,366,Historisk
Drangedal,6-12 år,2012,362,Historisk
Drangedal,6-12 år,2013,347,Historisk
Drangedal,6-12 år,2014,347,Historisk
Drangedal,6-12 år,2015,332,Historisk
Drangedal,6-12 år,2016,336,Historisk
Drangedal,6-12 år,2017,329,Historisk
Drangedal,6-12 år,2018,334,Historisk
Drangedal,6-12 år,2019,315,Historisk
Drangedal,6-12 år,2020,328,Historisk
Drangedal,6-12 år,2021,318,Historisk
Drangedal,6-12 år,2022,319,Historisk
Drangedal,6-12 år,2023,310,Historisk
Drangedal,6-12 år,2024,310,Historisk
Drangedal,6-12 år,2025,286,Historisk
Drangedal,6-12 år,2026,268,Historisk
Drangedal,13-15 år,2000,158,Historisk
Drangedal,13-15 år,2001,158,Historisk
Drangedal,13-15 år,2002,158,Historisk
Drangedal,13-15 år,2003,154,Historisk
Drangedal,13-15 år,2004,151,Historisk
Drangedal,13-15 år,2005,159,Historisk
Drangedal,13-15 år,2006,168,Historisk
Drangedal,13-15 år,2007,168,Historisk
Drangedal,13-15 år,2008,159,Historisk
Drangedal,13-15 år,2009,157,Historisk
Drangedal,13-15 år,2010,160,Historisk
Drangedal,13-15 år,2011,160,Historisk
Drangedal,13-15 år,2012,170,Historisk
Drangedal,13-15 år,2013,172,Historisk
Drangedal,13-15 år,2014,170,Historisk
Drangedal,13-15 år,2015,165,Historisk
Drangedal,13-15 år,2016,155,Historisk
Drangedal,13-15 år,2017,167,Historisk
Drangedal,13-15 år,2018,158,Historisk
Drangedal,13-15 år,2019,166,Historisk
Drangedal,13-15 år,2020,151,Historisk
Drangedal,13-15 år,2021,157,Historisk
Drangedal,13-15 år,2022,141,Historisk
Drangedal,13-15 år,2023,150,Historisk
Drangedal,13-15 år,2024,138,Historisk
Drangedal,13-15 år,2025,156,Historisk
Drangedal,13-15 år,2026,153,Historisk
Drangedal,16-19 år,2000,216,Historisk
Drangedal,16-19 år,2001,214,Historisk
Drangedal,16-19 år,2002,225,Historisk
Drangedal,16-19 år,2003,214,Historisk
Drangedal,16-19 år,2004,220,Historisk
Drangedal,16-19 år,2005,209,Historisk
Drangedal,16-19 år,2006,211,Historisk
Drangedal,16-19 år,2007,205,Historisk
Drangedal,16-19 år,2008,201,Historisk
Drangedal,16-19 år,2009,216,Historisk
Drangedal,16-19 år,2010,211,Historisk
Drangedal,16-19 år,2011,204,Historisk
Drangedal,16-19 år,2012,196,Historisk
Drangedal,16-19 år,2013,198,Historisk
Drangedal,16-19 år,2014,218,Historisk
Drangedal,16-19 år,2015,210,Historisk
Drangedal,16-19 år,2016,226,Historisk
Drangedal,16-19 år,2017,219,Historisk
Drangedal,16-19 år,2018,234,Historisk
Drangedal,16-19 år,2019,214,Historisk
Drangedal,16-19 år,2020,212,Historisk
Drangedal,16-19 år,2021,217,Historisk
Drangedal,16-19 år,2022,209,Historisk
Drangedal,16-19 år,2023,199,Historisk
Drangedal,16-19 år,2024,204,Historisk
Drangedal,16-19 år,2025,194,Historisk
Drangedal,16-19 år,2026,188,Historisk
Drangedal,20-44 år,2000,1320,Historisk
Drangedal,20-44 år,2001,1327,Historisk
Drangedal,20-44 år,2002,1317,Historisk
Drangedal,20-44 år,2003,1306,Historisk
Drangedal,20-44 år,2004,1275,Historisk
Drangedal,20-44 år,2005,1258,Historisk
Drangedal,20-44 år,2006,1244,Historisk
Drangedal,20-44 år,2007,1218,Historisk
Drangedal,20-44 år,2008,1211,Historisk
Drangedal,20-44 år,2009,1230,Historisk
Drangedal,20-44 år,2010,1227,Historisk
Drangedal,20-44 år,2011,1205,Historisk
Drangedal,20-44 år,2012,1182,Historisk
Drangedal,20-44 år,2013,1171,Historisk
Drangedal,20-44 år,2014,1149,Historisk
Drangedal,20-44 år,2015,1150,Historisk
Drangedal,20-44 år,2016,1147,Historisk
Drangedal,20-44 år,2017,1125,Historisk
Drangedal,20-44 år,2018,1089,Historisk
Drangedal,20-44 år,2019,1097,Historisk
Drangedal,20-44 år,2020,1078,Historisk
Drangedal,20-44 år,2021,1081,Historisk
Drangedal,20-44 år,2022,1098,Historisk
Drangedal,20-44 år,2023,1096,Historisk
Drangedal,20-44 år,2024,1101,Historisk
Drangedal,20-44 år,2025,1100,Historisk
Drangedal,20-44 år,2026,1109,Historisk
Drangedal,45-66 år,2000,1041,Historisk
Drangedal,45-66 år,2001,1075,Historisk
Drangedal,45-66 år,2002,1077,Historisk
Drangedal,45-66 år,2003,1102,Historisk
Drangedal,45-66 år,2004,1145,Historisk
Drangedal,45-66 år,2005,1158,Historisk
Drangedal,45-66 år,2006,1174,Historisk
Drangedal,45-66 år,2007,1199,Historisk
Drangedal,45-66 år,2008,1217,Historisk
Drangedal,45-66 år,2009,1221,Historisk
Drangedal,45-66 år,2010,1226,Historisk
Drangedal,45-66 år,2011,1239,Historisk
Drangedal,45-66 år,2012,1248,Historisk
Drangedal,45-66 år,2013,1260,Historisk
Drangedal,45-66 år,2014,1264,Historisk
Drangedal,45-66 år,2015,1258,Historisk
Drangedal,45-66 år,2016,1252,Historisk
Drangedal,45-66 år,2017,1266,Historisk
Drangedal,45-66 år,2018,1278,Historisk
Drangedal,45-66 år,2019,1283,Historisk
Drangedal,45-66 år,2020,1288,Historisk
Drangedal,45-66 år,2021,1284,Historisk
Drangedal,45-66 år,2022,1287,Historisk
Drangedal,45-66 år,2023,1281,Historisk
Drangedal,45-66 år,2024,1264,Historisk
Drangedal,45-66 år,2025,1257,Historisk
Drangedal,45-66 år,2026,1240,Historisk
Drangedal,67-79 år,2000,545,Historisk
Drangedal,67-79 år,2001,510,Historisk
Drangedal,67-79 år,2002,477,Historisk
Drangedal,67-79 år,2003,456,Historisk
Drangedal,67-79 år,2004,429,Historisk
Drangedal,67-79 år,2005,409,Historisk
Drangedal,67-79 år,2006,421,Historisk
Drangedal,67-79 år,2007,416,Historisk
Drangedal,67-79 år,2008,393,Historisk
Drangedal,67-79 år,2009,400,Historisk
Drangedal,67-79 år,2010,425,Historisk
Drangedal,67-79 år,2011,419,Historisk
Drangedal,67-79 år,2012,438,Historisk
Drangedal,67-79 år,2013,453,Historisk
Drangedal,67-79 år,2014,471,Historisk
Drangedal,67-79 år,2015,482,Historisk
Drangedal,67-79 år,2016,513,Historisk
Drangedal,67-79 år,2017,541,Historisk
Drangedal,67-79 år,2018,546,Historisk
Drangedal,67-79 år,2019,561,Historisk
Drangedal,67-79 år,2020,582,Historisk
Drangedal,67-79 år,2021,595,Historisk
Drangedal,67-79 år,2022,610,Historisk
Drangedal,67-79 år,2023,617,Historisk
Drangedal,67-79 år,2024,623,Historisk
Drangedal,67-79 år,2025,622,Historisk
Drangedal,67-79 år,2026,632,Historisk
Drangedal,80-89 år,2000,235,Historisk
Drangedal,80-89 år,2001,237,Historisk
Drangedal,80-89 år,2002,256,Historisk
Drangedal,80-89 år,2003,246,Historisk
Drangedal,80-89 år,2004,256,Historisk
Drangedal,80-89 år,2005,266,Historisk
Drangedal,80-89 år,2006,255,Historisk
Drangedal,80-89 år,2007,249,Historisk
Drangedal,80-89 år,2008,253,Historisk
Drangedal,80-89 år,2009,248,Historisk
Drangedal,80-89 år,2010,241,Historisk
Drangedal,80-89 år,2011,233,Historisk
Drangedal,80-89 år,2012,223,Historisk
Drangedal,80-89 år,2013,221,Historisk
Drangedal,80-89 år,2014,206,Historisk
Drangedal,80-89 år,2015,191,Historisk
Drangedal,80-89 år,2016,197,Historisk
Drangedal,80-89 år,2017,181,Historisk
Drangedal,80-89 år,2018,167,Historisk
Drangedal,80-89 år,2019,153,Historisk
Drangedal,80-89 år,2020,160,Historisk
Drangedal,80-89 år,2021,154,Historisk
Drangedal,80-89 år,2022,162,Historisk
Drangedal,80-89 år,2023,167,Historisk
Drangedal,80-89 år,2024,180,Historisk
Drangedal,80-89 år,2025,197,Historisk
Drangedal,80-89 år,2026,196,Historisk
Drangedal,90 år eller eldre,2000,30,Historisk
Drangedal,90 år eller eldre,2001,34,Historisk
Drangedal,90 år eller eldre,2002,36,Historisk
Drangedal,90 år eller eldre,2003,44,Historisk
Drangedal,90 år eller eldre,2004,47,Historisk
Drangedal,90 år eller eldre,2005,45,Historisk
Drangedal,90 år eller eldre,2006,53,Historisk
Drangedal,90 år eller eldre,2007,57,Historisk
Drangedal,90 år eller eldre,2008,55,Historisk
Drangedal,90 år eller eldre,2009,53,Historisk
Drangedal,90 år eller eldre,2010,59,Historisk
Drangedal,90 år eller eldre,2011,59,Historisk
Drangedal,90 år eller eldre,2012,65,Historisk
Drangedal,90 år eller eldre,2013,64,Historisk
Drangedal,90 år eller eldre,2014,65,Historisk
Drangedal,90 år eller eldre,2015,69,Historisk
Drangedal,90 år eller eldre,2016,64,Historisk
Drangedal,90 år eller eldre,2017,69,Historisk
Drangedal,90 år eller eldre,2018,68,Historisk
Drangedal,90 år eller eldre,2019,64,Historisk
Drangedal,90 år eller eldre,2020,59,Historisk
Drangedal,90 år eller eldre,2021,60,Historisk
Drangedal,90 år eller eldre,2022,54,Historisk
Drangedal,90 år eller eldre,2023,53,Historisk
Drangedal,90 år eller eldre,2024,39,Historisk
Drangedal,90 år eller eldre,2025,41,Historisk
Drangedal,90 år eller eldre,2026,42,Historisk
Fyresdal,0 år,2000,20,Historisk
Fyresdal,0 år,2001,9,Historisk
Fyresdal,0 år,2002,14,Historisk
Fyresdal,0 år,2003,14,Historisk
Fyresdal,0 år,2004,14,Historisk
Fyresdal,0 år,2005,15,Historisk
Fyresdal,0 år,2006,15,Historisk
Fyresdal,0 år,2007,11,Historisk
Fyresdal,0 år,2008,17,Historisk
Fyresdal,0 år,2009,13,Historisk
Fyresdal,0 år,2010,16,Historisk
Fyresdal,0 år,2011,6,Historisk
Fyresdal,0 år,2012,15,Historisk
Fyresdal,0 år,2013,11,Historisk
Fyresdal,0 år,2014,10,Historisk
Fyresdal,0 år,2015,10,Historisk
Fyresdal,0 år,2016,11,Historisk
Fyresdal,0 år,2017,5,Historisk
Fyresdal,0 år,2018,9,Historisk
Fyresdal,0 år,2019,10,Historisk
Fyresdal,0 år,2020,11,Historisk
Fyresdal,0 år,2021,6,Historisk
Fyresdal,0 år,2022,8,Historisk
Fyresdal,0 år,2023,7,Historisk
Fyresdal,0 år,2024,9,Historisk
Fyresdal,0 år,2025,10,Historisk
Fyresdal,0 år,2026,11,Historisk
Fyresdal,1-5 år,2000,94,Historisk
Fyresdal,1-5 år,2001,90,Historisk
Fyresdal,1-5 år,2002,82,Historisk
Fyresdal,1-5 år,2003,74,Historisk
Fyresdal,1-5 år,2004,78,Historisk
Fyresdal,1-5 år,2005,70,Historisk
Fyresdal,1-5 år,2006,68,Historisk
Fyresdal,1-5 år,2007,76,Historisk
Fyresdal,1-5 år,2008,81,Historisk
Fyresdal,1-5 år,2009,84,Historisk
Fyresdal,1-5 år,2010,82,Historisk
Fyresdal,1-5 år,2011,73,Historisk
Fyresdal,1-5 år,2012,63,Historisk
Fyresdal,1-5 år,2013,68,Historisk
Fyresdal,1-5 år,2014,62,Historisk
Fyresdal,1-5 år,2015,62,Historisk
Fyresdal,1-5 år,2016,68,Historisk
Fyresdal,1-5 år,2017,74,Historisk
Fyresdal,1-5 år,2018,59,Historisk
Fyresdal,1-5 år,2019,47,Historisk
Fyresdal,1-5 år,2020,44,Historisk
Fyresdal,1-5 år,2021,40,Historisk
Fyresdal,1-5 år,2022,40,Historisk
Fyresdal,1-5 år,2023,51,Historisk
Fyresdal,1-5 år,2024,50,Historisk
Fyresdal,1-5 år,2025,47,Historisk
Fyresdal,1-5 år,2026,48,Historisk
Fyresdal,6-12 år,2000,130,Historisk
Fyresdal,6-12 år,2001,132,Historisk
Fyresdal,6-12 år,2002,136,Historisk
Fyresdal,6-12 år,2003,134,Historisk
Fyresdal,6-12 år,2004,134,Historisk
Fyresdal,6-12 år,2005,146,Historisk
Fyresdal,6-12 år,2006,142,Historisk
Fyresdal,6-12 år,2007,130,Historisk
Fyresdal,6-12 år,2008,121,Historisk
Fyresdal,6-12 år,2009,121,Historisk
Fyresdal,6-12 år,2010,114,Historisk
Fyresdal,6-12 år,2011,123,Historisk
Fyresdal,6-12 år,2012,121,Historisk
Fyresdal,6-12 år,2013,122,Historisk
Fyresdal,6-12 år,2014,122,Historisk
Fyresdal,6-12 år,2015,117,Historisk
Fyresdal,6-12 år,2016,123,Historisk
Fyresdal,6-12 år,2017,119,Historisk
Fyresdal,6-12 år,2018,119,Historisk
Fyresdal,6-12 år,2019,115,Historisk
Fyresdal,6-12 år,2020,114,Historisk
Fyresdal,6-12 år,2021,106,Historisk
Fyresdal,6-12 år,2022,96,Historisk
Fyresdal,6-12 år,2023,98,Historisk
Fyresdal,6-12 år,2024,89,Historisk
Fyresdal,6-12 år,2025,85,Historisk
Fyresdal,6-12 år,2026,85,Historisk
Fyresdal,13-15 år,2000,40,Historisk
Fyresdal,13-15 år,2001,46,Historisk
Fyresdal,13-15 år,2002,44,Historisk
Fyresdal,13-15 år,2003,46,Historisk
Fyresdal,13-15 år,2004,51,Historisk
Fyresdal,13-15 år,2005,54,Historisk
Fyresdal,13-15 år,2006,69,Historisk
Fyresdal,13-15 år,2007,73,Historisk
Fyresdal,13-15 år,2008,76,Historisk
Fyresdal,13-15 år,2009,64,Historisk
Fyresdal,13-15 år,2010,63,Historisk
Fyresdal,13-15 år,2011,57,Historisk
Fyresdal,13-15 år,2012,52,Historisk
Fyresdal,13-15 år,2013,55,Historisk
