Geografi,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortKommune
Hele landet,2018-01-01,Kvinner,45-74 år,Psykiske symptomer,"per 1000, standardisert",148.0,3,7,2
Hele landet,2018-01-01,Kvinner,45-74 år,Psykiske lidelser,"per 1000, standardisert",90.8,3,7,2
Hele landet,2018-01-01,Kvinner,75-79 år,Psykiske symptomer og lidelser,"per 1000, standardisert",210.6,3,8,2
Hele landet,2018-01-01,Kvinner,75-79 år,Psykiske symptomer,"per 1000, standardisert",153.8,3,8,2
Hele landet,2018-01-01,Kvinner,75-79 år,Psykiske lidelser,"per 1000, standardisert",85.2,3,8,2
Hele landet,2019-01-01,Kjønn samlet,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",157.6,1,1,2
Hele landet,2019-01-01,Kjønn samlet,0-74 år,Psykiske symptomer,"per 1000, standardisert",108.7,1,1,2
Hele landet,2019-01-01,Kjønn samlet,0-74 år,Psykiske lidelser,"per 1000, standardisert",75.5,1,1,2
Hele landet,2019-01-01,Kjønn samlet,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",145.3,1,4,2
Hele landet,2019-01-01,Kjønn samlet,0-44 år,Psykiske symptomer,"per 1000, standardisert",96.4,1,4,2
Hele landet,2019-01-01,Kjønn samlet,0-44 år,Psykiske lidelser,"per 1000, standardisert",75.4,1,4,2
Hele landet,2019-01-01,Kjønn samlet,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",103.5,1,3,2
Hele landet,2019-01-01,Kjønn samlet,0-24 år,Psykiske symptomer,"per 1000, standardisert",68.0,1,3,2
Hele landet,2019-01-01,Kjønn samlet,0-24 år,Psykiske lidelser,"per 1000, standardisert",51.8,1,3,2
Hele landet,2019-01-01,Kjønn samlet,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",60.3,1,2,2
Hele landet,2019-01-01,Kjønn samlet,0-14 år,Psykiske symptomer,"per 1000, standardisert",43.3,1,2,2
Hele landet,2019-01-01,Kjønn samlet,0-14 år,Psykiske lidelser,"per 1000, standardisert",22.1,1,2,2
Hele landet,2019-01-01,Kjønn samlet,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",160.0,1,5,2
Hele landet,2019-01-01,Kjønn samlet,15-24 år,Psykiske symptomer,"per 1000, standardisert",100.3,1,5,2
Hele landet,2019-01-01,Kjønn samlet,15-24 år,Psykiske lidelser,"per 1000, standardisert",90.7,1,5,2
Hele landet,2019-01-01,Kjønn samlet,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",187.6,1,6,2
Hele landet,2019-01-01,Kjønn samlet,25-44 år,Psykiske symptomer,"per 1000, standardisert",125.2,1,6,2
Hele landet,2019-01-01,Kjønn samlet,25-44 år,Psykiske lidelser,"per 1000, standardisert",99.5,1,6,2
