Kommune,Forbrukergruppe,År,Verdi
Fyresdal,Boliger,2022,8.1
Fyresdal,Husholdninger,2022,10.9
Fyresdal,Hytter og fritidshus,2022,2.8
Fyresdal,I alt,2022,26.6
Fyresdal,Primærnæringer,2022,0.2
Fyresdal,Sekundærnæringer,2022,4.1
Fyresdal,Tertiærnæringer,2022,11.4
Hjartdal,Boliger,2022,10.7
Hjartdal,Husholdninger,2022,20.3
Hjartdal,Hytter og fritidshus,2022,9.6
Hjartdal,I alt,2022,28.3
Hjartdal,Primærnæringer,2022,0.7
Hjartdal,Sekundærnæringer,2022,2.1
Hjartdal,Tertiærnæringer,2022,5.2
Kragerø,Boliger,2022,65.9
Kragerø,Husholdninger,2022,83.9
Kragerø,Hytter og fritidshus,2022,18.1
Kragerø,I alt,2022,207.8
Kragerø,Primærnæringer,2022,2.3
Kragerø,Sekundærnæringer,2022,84.3
Kragerø,Tertiærnæringer,2022,37.3
Kviteseid,Boliger,2022,17.5
Kviteseid,Husholdninger,2022,25.3
Kviteseid,Hytter og fritidshus,2022,7.8
Kviteseid,I alt,2022,40.8
Kviteseid,Primærnæringer,2022,0.2
Kviteseid,Sekundærnæringer,2022,2.4
Kviteseid,Tertiærnæringer,2022,12.9
Midt-Telemark,Boliger,2022,72.5
Midt-Telemark,Husholdninger,2022,77.8
Midt-Telemark,Hytter og fritidshus,2022,5.3
Midt-Telemark,I alt,2022,134.9
Midt-Telemark,Primærnæringer,2022,4.3
Midt-Telemark,Sekundærnæringer,2022,9.9
Midt-Telemark,Tertiærnæringer,2022,42.9
Nissedal,Boliger,2022,9.6
Nissedal,Husholdninger,2022,23.1
Nissedal,Hytter og fritidshus,2022,13.5
Nissedal,I alt,2022,32.4
Nissedal,Primærnæringer,2022,0.1
Nissedal,Sekundærnæringer,2022,3.4
Nissedal,Tertiærnæringer,2022,5.7
Nome,Boliger,2022,44.7
Nome,Husholdninger,2022,45.5
Nome,Hytter og fritidshus,2022,0.9
Nome,I alt,2022,94.7
Nome,Primærnæringer,2022,0.9
Nome,Sekundærnæringer,2022,30.0
Nome,Tertiærnæringer,2022,18.2
Notodden,Boliger,2022,85.5
Notodden,Husholdninger,2022,88.6
Notodden,Hytter og fritidshus,2022,3.1
Notodden,I alt,2022,294.6
Notodden,Primærnæringer,2022,0.7
Notodden,Sekundærnæringer,2022,26.1
Notodden,Tertiærnæringer,2022,179.2
Porsgrunn,Boliger,2022,237.1
Porsgrunn,Husholdninger,2022,242.3
Porsgrunn,Hytter og fritidshus,2022,5.3
Porsgrunn,I alt,2022,1947.4
Porsgrunn,Primærnæringer,2022,0.6
Porsgrunn,Sekundærnæringer,2022,1545.6
Porsgrunn,Tertiærnæringer,2022,158.8
Seljord,Boliger,2022,20.7
Seljord,Husholdninger,2022,24.6
Seljord,Hytter og fritidshus,2022,3.9
Seljord,I alt,2022,46.8
Seljord,Primærnæringer,2022,0.3
Seljord,Sekundærnæringer,2022,4.0
Seljord,Tertiærnæringer,2022,17.9
Siljan,Boliger,2022,15.4
Siljan,Husholdninger,2022,16.2
Siljan,Hytter og fritidshus,2022,0.8
Siljan,I alt,2022,22.5
Siljan,Primærnæringer,2022,0.5
Siljan,Sekundærnæringer,2022,1.4
Siljan,Tertiærnæringer,2022,4.4
Skien,Boliger,2022,355.4
Skien,Husholdninger,2022,357.1
Skien,Hytter og fritidshus,2022,1.7
Skien,I alt,2022,645.5
Skien,Primærnæringer,2022,2.6
Skien,Sekundærnæringer,2022,71.2
Skien,Tertiærnæringer,2022,214.6
Tinn,Boliger,2022,50.5
Tinn,Husholdninger,2022,77.8
Tinn,Hytter og fritidshus,2022,27.3
Tinn,I alt,2022,265.3
Tinn,Primærnæringer,2022,0.5
Tinn,Sekundærnæringer,2022,125.7
Tinn,Tertiærnæringer,2022,61.3
Tokke,Boliger,2022,19.0
Tokke,Husholdninger,2022,24.3
Tokke,Hytter og fritidshus,2022,5.3
Tokke,I alt,2022,41.2
Tokke,Primærnæringer,2022,0.2
Tokke,Sekundærnæringer,2022,4.4
Tokke,Tertiærnæringer,2022,12.4
Vinje,Boliger,2022,29.3
Vinje,Husholdninger,2022,74.3
Vinje,Hytter og fritidshus,2022,45.0
Vinje,I alt,2022,115.5
Vinje,Primærnæringer,2022,0.8
