Kommune,År (intervall),År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKommune
Nome,2017-2019,2019-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.0,11
Nome,2018-2020,2020-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.7,11
Nome,2019-2021,2021-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.8,11
Nome,2020-2022,2022-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.0,11
Nome,2021-2023,2023-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.8,11
Nome,2022-2024,2024-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.8,11
Midt-Telemark,2013-2015,2015-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.0,9
Midt-Telemark,2014-2016,2016-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.2,9
Midt-Telemark,2015-2017,2017-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.1,9
Midt-Telemark,2016-2018,2018-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.0,9
Midt-Telemark,2017-2019,2019-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.6,9
Midt-Telemark,2018-2020,2020-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.6,9
Midt-Telemark,2019-2021,2021-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.7,9
Midt-Telemark,2020-2022,2022-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.9,9
Midt-Telemark,2021-2023,2023-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.8,9
Midt-Telemark,2022-2024,2024-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.9,9
Seljord,2013-2015,2015-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.8,14
Seljord,2014-2016,2016-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.3,14
Seljord,2015-2017,2017-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.0,14
Seljord,2016-2018,2018-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.8,14
Seljord,2017-2019,2019-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.7,14
Seljord,2018-2020,2020-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.7,14
Seljord,2019-2021,2021-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.7,14
Seljord,2020-2022,2022-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.8,14
Seljord,2021-2023,2023-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.7,14
Seljord,2022-2024,2024-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.0,14
Hjartdal,2013-2015,2015-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",,6
Hjartdal,2014-2016,2016-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",,6
Hjartdal,2015-2017,2017-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",,6
Hjartdal,2016-2018,2018-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",,6
Hjartdal,2017-2019,2019-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",,6
Hjartdal,2018-2020,2020-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",,6
Hjartdal,2019-2021,2021-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",,6
Hjartdal,2020-2022,2022-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",,6
Hjartdal,2021-2023,2023-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",,6
Hjartdal,2022-2024,2024-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",,6
Tinn,2013-2015,2015-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.2,17
Tinn,2014-2016,2016-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.1,17
Tinn,2015-2017,2017-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.3,17
Tinn,2016-2018,2018-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.1,17
Tinn,2017-2019,2019-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.2,17
Tinn,2018-2020,2020-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.4,17
Tinn,2019-2021,2021-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.3,17
Tinn,2020-2022,2022-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.6,17
Tinn,2021-2023,2023-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.7,17
Tinn,2022-2024,2024-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.8,17
Kviteseid,2013-2015,2015-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.8,8
Kviteseid,2014-2016,2016-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.5,8
Kviteseid,2015-2017,2017-01-01,Kjønn samlet,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.6,8
