Kommune,År (intervall),År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKommune
Midt-Telemark,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.3,9
Midt-Telemark,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.1,9
Midt-Telemark,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.5,9
Midt-Telemark,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.9,9
Midt-Telemark,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.7,9
Seljord,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",16.3,14
Seljord,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",17.6,14
Seljord,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.9,14
Seljord,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.8,14
Seljord,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.9,14
Seljord,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.0,14
Seljord,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.1,14
Seljord,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.7,14
Seljord,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.6,14
Seljord,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",17.7,14
Hjartdal,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",,6
Hjartdal,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.2,6
Hjartdal,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.6,6
Hjartdal,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.8,6
Hjartdal,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",17.1,6
Hjartdal,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.4,6
Hjartdal,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.3,6
Hjartdal,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.9,6
Hjartdal,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.0,6
Hjartdal,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.2,6
Tinn,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",16.4,17
Tinn,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",16.6,17
Tinn,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",16.1,17
Tinn,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.9,17
Tinn,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.0,17
Tinn,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",11.7,17
Tinn,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",11.7,17
Tinn,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",11.9,17
Tinn,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.0,17
Tinn,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.9,17
Kviteseid,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.3,8
Kviteseid,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.7,8
Kviteseid,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",16.2,8
Kviteseid,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",17.0,8
Kviteseid,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.3,8
Kviteseid,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.2,8
Kviteseid,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.2,8
Kviteseid,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.1,8
Kviteseid,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.5,8
Kviteseid,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.3,8
Nissedal,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",16.0,10
Nissedal,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.6,10
Nissedal,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.6,10
Nissedal,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.6,10
Nissedal,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",,10
Nissedal,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",,10
Nissedal,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",10.5,10
Nissedal,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.0,10
Nissedal,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.0,10
Nissedal,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.0,10
Fyresdal,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",,5
Fyresdal,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.2,5
Fyresdal,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",,5
Fyresdal,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",,5
Fyresdal,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",,5
Fyresdal,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",,5
Fyresdal,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",,5
Fyresdal,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",,5
Fyresdal,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.5,5
Fyresdal,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",,5
Tokke,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",16.2,18
Tokke,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.9,18
Tokke,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.7,18
Tokke,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.8,18
Tokke,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.9,18
Tokke,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.1,18
Tokke,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.8,18
Tokke,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",15.4,18
Tokke,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",16.4,18
Tokke,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",16.0,18
Vinje,2013-2015,2013-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",12.0,19
Vinje,2014-2016,2014-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",11.6,19
Vinje,2015-2017,2015-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",11.2,19
Vinje,2016-2018,2016-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.9,19
Vinje,2017-2019,2017-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.4,19
Vinje,2018-2020,2018-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.6,19
Vinje,2019-2021,2019-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.1,19
Vinje,2020-2022,2020-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.8,19
Vinje,2021-2023,2021-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.8,19
Vinje,2022-2024,2022-01-01,Kjønn samlet,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",14.2,19
