Geografi,År,Alder,Innvandringskategori,Lavinntektsgrense,Andel
Hele landet,2016-2018,25 år +,Øvrig befolkning,EU 60,5.93702603004344
Hele landet,2017-2019,25 år +,Innvandrere,EU 60,24.1359011452266
Hele landet,2017-2019,25 år +,Øvrig befolkning,EU 60,6.00829846477081
Hele landet,2018-2020,25 år +,Innvandrere,EU 60,23.6320951064786
Hele landet,2018-2020,25 år +,Øvrig befolkning,EU 60,6.06249631237011
Hele landet,2019-2021,25 år +,Innvandrere,EU 60,22.5591114488267
Hele landet,2019-2021,25 år +,Øvrig befolkning,EU 60,6.10905840616066
Hele landet,2020-2022,25 år +,Innvandrere,EU 60,20.9888144243841
Hele landet,2020-2022,25 år +,Øvrig befolkning,EU 60,6.20758354318438
Hele landet,2021-2023,25 år +,Innvandrere,EU 60,20.2915559571029
Hele landet,2021-2023,25 år +,Øvrig befolkning,EU 60,6.13595399647258
Telemark,2004-2006,25 år +,Innvandrere,EU 60,24.2702251876564
Telemark,2004-2006,25 år +,Øvrig befolkning,EU 60,8.12618776130749
Telemark,2005-2007,25 år +,Innvandrere,EU 60,23.3671528218136
Telemark,2005-2007,25 år +,Øvrig befolkning,EU 60,8.0845641030518
Telemark,2006-2008,25 år +,Innvandrere,EU 60,23.6944195762459
Telemark,2006-2008,25 år +,Øvrig befolkning,EU 60,8.04695959423263
Telemark,2007-2009,25 år +,Innvandrere,EU 60,24.3297858008891
Telemark,2007-2009,25 år +,Øvrig befolkning,EU 60,7.39977395120005
Telemark,2008-2010,25 år +,Innvandrere,EU 60,24.3515673017824
Telemark,2008-2010,25 år +,Øvrig befolkning,EU 60,6.99701810032098
Telemark,2009-2011,25 år +,Innvandrere,EU 60,23.985366411341
Telemark,2009-2011,25 år +,Øvrig befolkning,EU 60,6.42422513785891
Telemark,2010-2012,25 år +,Innvandrere,EU 60,26.2270593256509
Telemark,2010-2012,25 år +,Øvrig befolkning,EU 60,6.36573743829714
Telemark,2011-2013,25 år +,Innvandrere,EU 60,28.3415597235933
Telemark,2011-2013,25 år +,Øvrig befolkning,EU 60,6.70255236221217
Telemark,2012-2014,25 år +,Innvandrere,EU 60,30.8390846349437
Telemark,2012-2014,25 år +,Øvrig befolkning,EU 60,6.95449307667605
Telemark,2013-2015,25 år +,Innvandrere,EU 60,32.1516619909887
Telemark,2013-2015,25 år +,Øvrig befolkning,EU 60,7.13571913417302
Telemark,2014-2016,25 år +,Innvandrere,EU 60,32.0874816386486
Telemark,2014-2016,25 år +,Øvrig befolkning,EU 60,7.09444533225543
Telemark,2015-2017,25 år +,Innvandrere,EU 60,31.8409910616277
Telemark,2015-2017,25 år +,Øvrig befolkning,EU 60,7.16545114934437
Telemark,2016-2018,25 år +,Innvandrere,EU 60,31.3401599521638
Telemark,2016-2018,25 år +,Øvrig befolkning,EU 60,7.18494885990429
Telemark,2017-2019,25 år +,Innvandrere,EU 60,31.5014929617517
Telemark,2017-2019,25 år +,Øvrig befolkning,EU 60,7.17954955882215
Telemark,2018-2020,25 år +,Innvandrere,EU 60,30.507201856782
Telemark,2018-2020,25 år +,Øvrig befolkning,EU 60,7.16371132482021
Telemark,2019-2021,25 år +,Innvandrere,EU 60,29.1250578665432
Telemark,2019-2021,25 år +,Øvrig befolkning,EU 60,7.23215860257469
Telemark,2020-2022,25 år +,Innvandrere,EU 60,27.0125806661887
Telemark,2020-2022,25 år +,Øvrig befolkning,EU 60,7.40016858564058
Telemark,2021-2023,25 år +,Innvandrere,EU 60,26.4671252401314
Telemark,2021-2023,25 år +,Øvrig befolkning,EU 60,7.37580513807655
Porsgrunn,2004-2006,25 år +,Innvandrere,EU 60,22.6198997852541
Porsgrunn,2004-2006,25 år +,Øvrig befolkning,EU 60,:
Porsgrunn,2005-2007,25 år +,Innvandrere,EU 60,20.6043956043956
Porsgrunn,2005-2007,25 år +,Øvrig befolkning,EU 60,6.16294778031397
Porsgrunn,2006-2008,25 år +,Innvandrere,EU 60,22.0117570215545
Porsgrunn,2006-2008,25 år +,Øvrig befolkning,EU 60,:
Porsgrunn,2007-2009,25 år +,Innvandrere,EU 60,21.8203737191079
Porsgrunn,2007-2009,25 år +,Øvrig befolkning,EU 60,5.90147188559224
Porsgrunn,2008-2010,25 år +,Innvandrere,EU 60,22.6456178551987
Porsgrunn,2008-2010,25 år +,Øvrig befolkning,EU 60,:
Porsgrunn,2009-2011,25 år +,Innvandrere,EU 60,22.6443768996961
Porsgrunn,2009-2011,25 år +,Øvrig befolkning,EU 60,5.13057545643633
Porsgrunn,2010-2012,25 år +,Innvandrere,EU 60,23.9320388349515
Porsgrunn,2010-2012,25 år +,Øvrig befolkning,EU 60,:
Porsgrunn,2011-2013,25 år +,Innvandrere,EU 60,25.2737226277372
Porsgrunn,2011-2013,25 år +,Øvrig befolkning,EU 60,5.56271280022085
Porsgrunn,2012-2014,25 år +,Innvandrere,EU 60,28.480744815912
Porsgrunn,2012-2014,25 år +,Øvrig befolkning,EU 60,5.9074635086753
Porsgrunn,2013-2015,25 år +,Innvandrere,EU 60,30.9876049580168
Porsgrunn,2013-2015,25 år +,Øvrig befolkning,EU 60,6.37674525062943
Porsgrunn,2014-2016,25 år +,Innvandrere,EU 60,30.3861003861004
Porsgrunn,2014-2016,25 år +,Øvrig befolkning,EU 60,6.33268172932673
Porsgrunn,2015-2017,25 år +,Innvandrere,EU 60,29.0130353817505
Porsgrunn,2015-2017,25 år +,Øvrig befolkning,EU 60,6.31425711946138
Porsgrunn,2016-2018,25 år +,Innvandrere,EU 60,29.2682926829268
Porsgrunn,2016-2018,25 år +,Øvrig befolkning,EU 60,6.52933436181315
Porsgrunn,2017-2019,25 år +,Innvandrere,EU 60,29.0670259346581
Porsgrunn,2017-2019,25 år +,Øvrig befolkning,EU 60,6.67116509221772
Porsgrunn,2018-2020,25 år +,Innvandrere,EU 60,27.5483870967742
Porsgrunn,2018-2020,25 år +,Øvrig befolkning,EU 60,6.56427707876237
Porsgrunn,2019-2021,25 år +,Innvandrere,EU 60,27.0768269831355
Porsgrunn,2019-2021,25 år +,Øvrig befolkning,EU 60,6.78343807104337
Porsgrunn,2020-2022,25 år +,Innvandrere,EU 60,25
Porsgrunn,2020-2022,25 år +,Øvrig befolkning,EU 60,7.05787996257185
Porsgrunn,2021-2023,25 år +,Innvandrere,EU 60,24.4356659142212
Porsgrunn,2021-2023,25 år +,Øvrig befolkning,EU 60,6.9329782512206
Skien,2004-2006,25 år +,Innvandrere,EU 60,26.7908902691511
Skien,2004-2006,25 år +,Øvrig befolkning,EU 60,7.57213454487486
Skien,2005-2007,25 år +,Innvandrere,EU 60,26.2346898459107
Skien,2005-2007,25 år +,Øvrig befolkning,EU 60,7.69599233594124
Skien,2006-2008,25 år +,Innvandrere,EU 60,25.9013980868286
Skien,2006-2008,25 år +,Øvrig befolkning,EU 60,7.60522959183674
Skien,2007-2009,25 år +,Innvandrere,EU 60,25.8922558922559
Skien,2007-2009,25 år +,Øvrig befolkning,EU 60,7.0629594119527
Skien,2008-2010,25 år +,Innvandrere,EU 60,25.9190608588199
Skien,2008-2010,25 år +,Øvrig befolkning,EU 60,6.7155612244898
Skien,2009-2011,25 år +,Innvandrere,EU 60,24.4008085475022
Skien,2009-2011,25 år +,Øvrig befolkning,EU 60,6.12896021440194
Skien,2010-2012,25 år +,Innvandrere,EU 60,27.0183852917666
Skien,2010-2012,25 år +,Øvrig befolkning,EU 60,6.12153993000318
Skien,2011-2013,25 år +,Innvandrere,EU 60,29.601189001734
Skien,2011-2013,25 år +,Øvrig befolkning,EU 60,6.45496972754793
Skien,2012-2014,25 år +,Innvandrere,EU 60,31.1244516277996
Skien,2012-2014,25 år +,Øvrig befolkning,EU 60,6.75239140661753
Skien,2013-2015,25 år +,Innvandrere,EU 60,31.6786414108426
Skien,2013-2015,25 år +,Øvrig befolkning,EU 60,6.93889027743064
Skien,2014-2016,25 år +,Innvandrere,EU 60,32.1779077051577
Skien,2014-2016,25 år +,Øvrig befolkning,EU 60,6.87663063734625
Skien,2015-2017,25 år +,Innvandrere,EU 60,32.4476650563607
Skien,2015-2017,25 år +,Øvrig befolkning,EU 60,7.02832957459297
Skien,2016-2018,25 år +,Innvandrere,EU 60,31.541562679977
Skien,2016-2018,25 år +,Øvrig befolkning,EU 60,7.05610357583231
Skien,2017-2019,25 år +,Innvandrere,EU 60,31.8419628360094
Skien,2017-2019,25 år +,Øvrig befolkning,EU 60,7.13364055299539
Skien,2018-2020,25 år +,Innvandrere,EU 60,31.0850439882698
Skien,2018-2020,25 år +,Øvrig befolkning,EU 60,7.10362392218233
Skien,2019-2021,25 år +,Innvandrere,EU 60,29.5306497411057
Skien,2019-2021,25 år +,Øvrig befolkning,EU 60,7.1173943511776
Skien,2020-2022,25 år +,Innvandrere,EU 60,28.5036018336608
Skien,2020-2022,25 år +,Øvrig befolkning,EU 60,7.26284134746818
Skien,2021-2023,25 år +,Innvandrere,EU 60,27.3787313432836
Skien,2021-2023,25 år +,Øvrig befolkning,EU 60,7.39494269601601
Notodden,2004-2006,25 år +,Innvandrere,EU 60,17.5324675324675
Notodden,2004-2006,25 år +,Øvrig befolkning,EU 60,:
Notodden,2005-2007,25 år +,Innvandrere,EU 60,16.6666666666667
Notodden,2005-2007,25 år +,Øvrig befolkning,EU 60,:
Notodden,2006-2008,25 år +,Innvandrere,EU 60,18.232044198895
Notodden,2006-2008,25 år +,Øvrig befolkning,EU 60,:
Notodden,2007-2009,25 år +,Innvandrere,EU 60,21.1165048543689
Notodden,2007-2009,25 år +,Øvrig befolkning,EU 60,:
Notodden,2008-2010,25 år +,Innvandrere,EU 60,20.9051724137931
Notodden,2008-2010,25 år +,Øvrig befolkning,EU 60,:
Notodden,2009-2011,25 år +,Innvandrere,EU 60,23.7451737451737
Notodden,2009-2011,25 år +,Øvrig befolkning,EU 60,:
Notodden,2010-2012,25 år +,Innvandrere,EU 60,28.695652173913
Notodden,2010-2012,25 år +,Øvrig befolkning,EU 60,:
Notodden,2011-2013,25 år +,Innvandrere,EU 60,31.6030534351145
Notodden,2011-2013,25 år +,Øvrig befolkning,EU 60,:
Notodden,2012-2014,25 år +,Innvandrere,EU 60,33.6927223719677
Notodden,2012-2014,25 år +,Øvrig befolkning,EU 60,:
Notodden,2013-2015,25 år +,Innvandrere,EU 60,35.8880778588808
Notodden,2013-2015,25 år +,Øvrig befolkning,EU 60,:
Notodden,2014-2016,25 år +,Innvandrere,EU 60,36.4692218350755
Notodden,2014-2016,25 år +,Øvrig befolkning,EU 60,:
Notodden,2015-2017,25 år +,Innvandrere,EU 60,38.1059751972943
Notodden,2015-2017,25 år +,Øvrig befolkning,EU 60,:
Notodden,2016-2018,25 år +,Innvandrere,EU 60,36.4893617021277
Notodden,2016-2018,25 år +,Øvrig befolkning,EU 60,:
Notodden,2017-2019,25 år +,Innvandrere,EU 60,36.0122075279756
Notodden,2017-2019,25 år +,Øvrig befolkning,EU 60,:
Notodden,2018-2020,25 år +,Innvandrere,EU 60,35.8874878758487
Notodden,2018-2020,25 år +,Øvrig befolkning,EU 60,:
Notodden,2019-2021,25 år +,Innvandrere,EU 60,33.7698783910196
Notodden,2019-2021,25 år +,Øvrig befolkning,EU 60,:
Notodden,2020-2022,25 år +,Innvandrere,EU 60,30.048309178744
Notodden,2020-2022,25 år +,Øvrig befolkning,EU 60,:
Notodden,2021-2023,25 år +,Innvandrere,EU 60,29.9725022914757
Notodden,2021-2023,25 år +,Øvrig befolkning,EU 60,7.90946702360672
Siljan,2004-2006,25 år +,Innvandrere,EU 60,:
Siljan,2004-2006,25 år +,Øvrig befolkning,EU 60,:
Siljan,2005-2007,25 år +,Innvandrere,EU 60,:
Siljan,2005-2007,25 år +,Øvrig befolkning,EU 60,:
Siljan,2006-2008,25 år +,Innvandrere,EU 60,:
Siljan,2006-2008,25 år +,Øvrig befolkning,EU 60,:
Siljan,2007-2009,25 år +,Innvandrere,EU 60,:
Siljan,2007-2009,25 år +,Øvrig befolkning,EU 60,:
Siljan,2008-2010,25 år +,Innvandrere,EU 60,:
Siljan,2008-2010,25 år +,Øvrig befolkning,EU 60,:
Siljan,2009-2011,25 år +,Innvandrere,EU 60,:
Siljan,2009-2011,25 år +,Øvrig befolkning,EU 60,:
Siljan,2010-2012,25 år +,Innvandrere,EU 60,:
Siljan,2010-2012,25 år +,Øvrig befolkning,EU 60,:
Siljan,2011-2013,25 år +,Innvandrere,EU 60,:
Siljan,2011-2013,25 år +,Øvrig befolkning,EU 60,:
Siljan,2012-2014,25 år +,Innvandrere,EU 60,:
Siljan,2012-2014,25 år +,Øvrig befolkning,EU 60,:
Siljan,2013-2015,25 år +,Innvandrere,EU 60,:
Siljan,2013-2015,25 år +,Øvrig befolkning,EU 60,:
Siljan,2014-2016,25 år +,Innvandrere,EU 60,:
Siljan,2014-2016,25 år +,Øvrig befolkning,EU 60,:
Siljan,2015-2017,25 år +,Innvandrere,EU 60,:
Siljan,2015-2017,25 år +,Øvrig befolkning,EU 60,:
Siljan,2016-2018,25 år +,Innvandrere,EU 60,29.2035398230089
Siljan,2016-2018,25 år +,Øvrig befolkning,EU 60,:
Siljan,2017-2019,25 år +,Innvandrere,EU 60,:
Siljan,2017-2019,25 år +,Øvrig befolkning,EU 60,:
Siljan,2018-2020,25 år +,Innvandrere,EU 60,:
Siljan,2018-2020,25 år +,Øvrig befolkning,EU 60,:
Siljan,2019-2021,25 år +,Innvandrere,EU 60,:
Siljan,2019-2021,25 år +,Øvrig befolkning,EU 60,:
Siljan,2020-2022,25 år +,Innvandrere,EU 60,:
Siljan,2020-2022,25 år +,Øvrig befolkning,EU 60,:
Siljan,2021-2023,25 år +,Innvandrere,EU 60,17.96875
Siljan,2021-2023,25 år +,Øvrig befolkning,EU 60,:
Bamble,2004-2006,25 år +,Innvandrere,EU 60,17.201166180758
Bamble,2004-2006,25 år +,Øvrig befolkning,EU 60,:
Bamble,2005-2007,25 år +,Innvandrere,EU 60,18.6301369863014
Bamble,2005-2007,25 år +,Øvrig befolkning,EU 60,:
Bamble,2006-2008,25 år +,Innvandrere,EU 60,17.5202156334232
Bamble,2006-2008,25 år +,Øvrig befolkning,EU 60,:
Bamble,2007-2009,25 år +,Innvandrere,EU 60,18.8235294117647
Bamble,2007-2009,25 år +,Øvrig befolkning,EU 60,:
Bamble,2008-2010,25 år +,Innvandrere,EU 60,19.0371991247265
Bamble,2008-2010,25 år +,Øvrig befolkning,EU 60,:
Bamble,2009-2011,25 år +,Innvandrere,EU 60,17.9959100204499
Bamble,2009-2011,25 år +,Øvrig befolkning,EU 60,:
Bamble,2010-2012,25 år +,Innvandrere,EU 60,19.6911196911197
Bamble,2010-2012,25 år +,Øvrig befolkning,EU 60,:
Bamble,2011-2013,25 år +,Innvandrere,EU 60,23.6521739130435
Bamble,2011-2013,25 år +,Øvrig befolkning,EU 60,:
Bamble,2012-2014,25 år +,Innvandrere,EU 60,28.7758346581876
Bamble,2012-2014,25 år +,Øvrig befolkning,EU 60,:
Bamble,2013-2015,25 år +,Innvandrere,EU 60,29.6352583586626
Bamble,2013-2015,25 år +,Øvrig befolkning,EU 60,:
Bamble,2014-2016,25 år +,Innvandrere,EU 60,31.0693641618497
Bamble,2014-2016,25 år +,Øvrig befolkning,EU 60,:
Bamble,2015-2017,25 år +,Innvandrere,EU 60,32.157394843962
Bamble,2015-2017,25 år +,Øvrig befolkning,EU 60,:
Bamble,2016-2018,25 år +,Innvandrere,EU 60,32.3232323232323
Bamble,2016-2018,25 år +,Øvrig befolkning,EU 60,:
Bamble,2017-2019,25 år +,Innvandrere,EU 60,30.3732303732304
Bamble,2017-2019,25 år +,Øvrig befolkning,EU 60,:
Bamble,2018-2020,25 år +,Innvandrere,EU 60,29.8397040690506
Bamble,2018-2020,25 år +,Øvrig befolkning,EU 60,:
Bamble,2019-2021,25 år +,Innvandrere,EU 60,26.2101534828808
Bamble,2019-2021,25 år +,Øvrig befolkning,EU 60,:
Bamble,2020-2022,25 år +,Innvandrere,EU 60,24.2807825086306
Bamble,2020-2022,25 år +,Øvrig befolkning,EU 60,5.81597222222222
Bamble,2021-2023,25 år +,Innvandrere,EU 60,23.2891832229581
Bamble,2021-2023,25 år +,Øvrig befolkning,EU 60,5.59652928416486
Kragerø,2004-2006,25 år +,Innvandrere,EU 60,21.7105263157895
Kragerø,2004-2006,25 år +,Øvrig befolkning,EU 60,:
Kragerø,2005-2007,25 år +,Innvandrere,EU 60,19.2192192192192
Kragerø,2005-2007,25 år +,Øvrig befolkning,EU 60,:
Kragerø,2006-2008,25 år +,Innvandrere,EU 60,24.0331491712707
Kragerø,2006-2008,25 år +,Øvrig befolkning,EU 60,:
Kragerø,2007-2009,25 år +,Innvandrere,EU 60,25.2927400468384
Kragerø,2007-2009,25 år +,Øvrig befolkning,EU 60,:
Kragerø,2008-2010,25 år +,Innvandrere,EU 60,23.4800838574424
Kragerø,2008-2010,25 år +,Øvrig befolkning,EU 60,:
Kragerø,2009-2011,25 år +,Innvandrere,EU 60,24.5508982035928
Kragerø,2009-2011,25 år +,Øvrig befolkning,EU 60,:
Kragerø,2010-2012,25 år +,Innvandrere,EU 60,27.7064220183486
Kragerø,2010-2012,25 år +,Øvrig befolkning,EU 60,:
Kragerø,2011-2013,25 år +,Innvandrere,EU 60,30.3292894280763
Kragerø,2011-2013,25 år +,Øvrig befolkning,EU 60,:
Kragerø,2012-2014,25 år +,Innvandrere,EU 60,32.3051948051948
Kragerø,2012-2014,25 år +,Øvrig befolkning,EU 60,:
Kragerø,2013-2015,25 år +,Innvandrere,EU 60,31.6030534351145
Kragerø,2013-2015,25 år +,Øvrig befolkning,EU 60,:
Kragerø,2014-2016,25 år +,Innvandrere,EU 60,32.0916905444126
Kragerø,2014-2016,25 år +,Øvrig befolkning,EU 60,:
Kragerø,2015-2017,25 år +,Innvandrere,EU 60,31.7862165963432
Kragerø,2015-2017,25 år +,Øvrig befolkning,EU 60,:
Kragerø,2016-2018,25 år +,Innvandrere,EU 60,31.2934631432545
Kragerø,2016-2018,25 år +,Øvrig befolkning,EU 60,:
Kragerø,2017-2019,25 år +,Innvandrere,EU 60,29.4039735099338
Kragerø,2017-2019,25 år +,Øvrig befolkning,EU 60,:
Kragerø,2018-2020,25 år +,Innvandrere,EU 60,27.023498694517
Kragerø,2018-2020,25 år +,Øvrig befolkning,EU 60,:
Kragerø,2019-2021,25 år +,Innvandrere,EU 60,26.3420724094881
Kragerø,2019-2021,25 år +,Øvrig befolkning,EU 60,:
Kragerø,2020-2022,25 år +,Innvandrere,EU 60,24
Kragerø,2020-2022,25 år +,Øvrig befolkning,EU 60,:
Kragerø,2021-2023,25 år +,Innvandrere,EU 60,24.2014742014742
Kragerø,2021-2023,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2004-2006,25 år +,Innvandrere,EU 60,:
Drangedal,2004-2006,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2005-2007,25 år +,Innvandrere,EU 60,:
Drangedal,2005-2007,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2006-2008,25 år +,Innvandrere,EU 60,:
Drangedal,2006-2008,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2007-2009,25 år +,Innvandrere,EU 60,:
Drangedal,2007-2009,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2008-2010,25 år +,Innvandrere,EU 60,:
Drangedal,2008-2010,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2009-2011,25 år +,Innvandrere,EU 60,:
Drangedal,2009-2011,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2010-2012,25 år +,Innvandrere,EU 60,:
Drangedal,2010-2012,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2011-2013,25 år +,Innvandrere,EU 60,:
Drangedal,2011-2013,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2012-2014,25 år +,Innvandrere,EU 60,:
Drangedal,2012-2014,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2013-2015,25 år +,Innvandrere,EU 60,:
Drangedal,2013-2015,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2014-2016,25 år +,Innvandrere,EU 60,:
Drangedal,2014-2016,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2015-2017,25 år +,Innvandrere,EU 60,:
Drangedal,2015-2017,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2016-2018,25 år +,Innvandrere,EU 60,:
Drangedal,2016-2018,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2017-2019,25 år +,Innvandrere,EU 60,:
Drangedal,2017-2019,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2018-2020,25 år +,Innvandrere,EU 60,:
Drangedal,2018-2020,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2019-2021,25 år +,Innvandrere,EU 60,:
Drangedal,2019-2021,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2020-2022,25 år +,Innvandrere,EU 60,:
Drangedal,2020-2022,25 år +,Øvrig befolkning,EU 60,:
Drangedal,2021-2023,25 år +,Innvandrere,EU 60,:
Drangedal,2021-2023,25 år +,Øvrig befolkning,EU 60,:
Nome,2004-2006,25 år +,Innvandrere,EU 60,20.4188481675393
Nome,2004-2006,25 år +,Øvrig befolkning,EU 60,:
Nome,2005-2007,25 år +,Innvandrere,EU 60,24.7524752475248
Nome,2005-2007,25 år +,Øvrig befolkning,EU 60,:
Nome,2006-2008,25 år +,Innvandrere,EU 60,24.4239631336406
Nome,2006-2008,25 år +,Øvrig befolkning,EU 60,:
Nome,2007-2009,25 år +,Innvandrere,EU 60,27.2030651340996
Nome,2007-2009,25 år +,Øvrig befolkning,EU 60,:
Nome,2008-2010,25 år +,Innvandrere,EU 60,27.2401433691756
Nome,2008-2010,25 år +,Øvrig befolkning,EU 60,:
Nome,2009-2011,25 år +,Innvandrere,EU 60,23.448275862069
Nome,2009-2011,25 år +,Øvrig befolkning,EU 60,:
Nome,2010-2012,25 år +,Innvandrere,EU 60,25
Nome,2010-2012,25 år +,Øvrig befolkning,EU 60,:
Nome,2011-2013,25 år +,Innvandrere,EU 60,27.1386430678466
Nome,2011-2013,25 år +,Øvrig befolkning,EU 60,:
Nome,2012-2014,25 år +,Innvandrere,EU 60,32.8165374677003
Nome,2012-2014,25 år +,Øvrig befolkning,EU 60,:
Nome,2013-2015,25 år +,Innvandrere,EU 60,30.8235294117647
Nome,2013-2015,25 år +,Øvrig befolkning,EU 60,:
Nome,2014-2016,25 år +,Innvandrere,EU 60,30.6843267108168
Nome,2014-2016,25 år +,Øvrig befolkning,EU 60,:
Nome,2015-2017,25 år +,Innvandrere,EU 60,30.0211416490486
Nome,2015-2017,25 år +,Øvrig befolkning,EU 60,:
Nome,2016-2018,25 år +,Innvandrere,EU 60,29.5774647887324
Nome,2016-2018,25 år +,Øvrig befolkning,EU 60,:
Nome,2017-2019,25 år +,Innvandrere,EU 60,30.635838150289
Nome,2017-2019,25 år +,Øvrig befolkning,EU 60,:
Nome,2018-2020,25 år +,Innvandrere,EU 60,26.2645914396887
Nome,2018-2020,25 år +,Øvrig befolkning,EU 60,:
Nome,2019-2021,25 år +,Innvandrere,EU 60,23.3663366336634
Nome,2019-2021,25 år +,Øvrig befolkning,EU 60,:
Nome,2020-2022,25 år +,Innvandrere,EU 60,22.1189591078067
Nome,2020-2022,25 år +,Øvrig befolkning,EU 60,:
Nome,2021-2023,25 år +,Innvandrere,EU 60,21.651376146789
Nome,2021-2023,25 år +,Øvrig befolkning,EU 60,:
Midt-Telemark,2004-2006,25 år +,Innvandrere,EU 60,39.2226148409894
Midt-Telemark,2004-2006,25 år +,Øvrig befolkning,EU 60,:
Midt-Telemark,2005-2007,25 år +,Innvandrere,EU 60,35.5871886120996
Midt-Telemark,2005-2007,25 år +,Øvrig befolkning,EU 60,:
Midt-Telemark,2006-2008,25 år +,Innvandrere,EU 60,39.4904458598726
Midt-Telemark,2006-2008,25 år +,Øvrig befolkning,EU 60,:
Midt-Telemark,2007-2009,25 år +,Innvandrere,EU 60,39.1566265060241
Midt-Telemark,2007-2009,25 år +,Øvrig befolkning,EU 60,:
Midt-Telemark,2008-2010,25 år +,Innvandrere,EU 60,37.3595505617978
Midt-Telemark,2008-2010,25 år +,Øvrig befolkning,EU 60,:
Midt-Telemark,2009-2011,25 år +,Innvandrere,EU 60,37.5
Midt-Telemark,2009-2011,25 år +,Øvrig befolkning,EU 60,:
Midt-Telemark,2010-2012,25 år +,Innvandrere,EU 60,39.7129186602871
Midt-Telemark,2010-2012,25 år +,Øvrig befolkning,EU 60,:
Midt-Telemark,2011-2013,25 år +,Innvandrere,EU 60,40.4814004376368
Midt-Telemark,2011-2013,25 år +,Øvrig befolkning,EU 60,:
Midt-Telemark,2012-2014,25 år +,Innvandrere,EU 60,41.2087912087912
Midt-Telemark,2012-2014,25 år +,Øvrig befolkning,EU 60,:
Midt-Telemark,2013-2015,25 år +,Innvandrere,EU 60,45.1559934318555
Midt-Telemark,2013-2015,25 år +,Øvrig befolkning,EU 60,:
Midt-Telemark,2014-2016,25 år +,Innvandrere,EU 60,42.1296296296296
Midt-Telemark,2014-2016,25 år +,Øvrig befolkning,EU 60,:
Midt-Telemark,2015-2017,25 år +,Innvandrere,EU 60,36.6423357664234
Midt-Telemark,2015-2017,25 år +,Øvrig befolkning,EU 60,8.65194462755438
Midt-Telemark,2016-2018,25 år +,Innvandrere,EU 60,40
Midt-Telemark,2016-2018,25 år +,Øvrig befolkning,EU 60,:
Midt-Telemark,2017-2019,25 år +,Innvandrere,EU 60,40.0510204081633
Midt-Telemark,2017-2019,25 år +,Øvrig befolkning,EU 60,7.94930875576037
Midt-Telemark,2018-2020,25 år +,Innvandrere,EU 60,39.6470588235294
Midt-Telemark,2018-2020,25 år +,Øvrig befolkning,EU 60,:
