indikator,breakdown,år,verdi_type,telemark_verdi,landet_verdi,andre_fylker_snitt,andre_fylker_median,andre_fylker_min,andre_fylker_max,andre_fylker_antall,z_score,rangering,rangering_av,significant,fylke_verdier
psykiske_symptomer_og_lidelser_primaerhelsetjenesten_ettaarige_tall,Alder = 0-24 år; Sykdomsgruppe = Psykiske lidelser,2024-01-01,Antall,55.6,65.7,67.58571428571429,67.94999999999999,55.4,74.5,14,-2.1809764082776897,14,15,True,"{""Agder"": 61.7, ""Akershus"": 62.7, ""Buskerud"": 71.8, ""Finnmark Finnmárku Finmarkku"": 72.8, ""Hele landet"": 65.7, ""Innlandet"": 63.2, ""Møre og Romsdal"": 74.5, ""Nordland Nordlánnda"": 72.4, ""Oslo (fylke)"": 55.4, ""Rogaland"": 68.3, ""Telemark"": 55.6, ""Troms Romsa Tromssa"": 65.9, ""Trøndelag Trööndelage"": 68.3, ""Vestfold"": 67.2, ""Vestland"": 67.6, ""Østfold"": 74.4}"
sykehusinnlagte_sykdommer_og_skader,Alder = 45-74 år; Sykdomsgruppe = Hodeskader,2025-01-01,Antall,2.7,1.9,1.9785714285714286,1.9,1.5,2.9,14,2.093638271938065,2,15,True,"{""Agder"": 1.8, ""Akershus"": 1.8, ""Buskerud"": 1.9, ""Finnmark Finnmárku Finmarkku"": 2.4, ""Hele landet"": 1.9, ""Innlandet"": 1.9, ""Møre og Romsdal"": 1.8, ""Nordland Nordlánnda"": 2.1, ""Oslo (fylke)"": 1.9, ""Rogaland"": 2.0, ""Telemark"": 2.7, ""Troms Romsa Tromssa"": 2.2, ""Trøndelag Trööndelage"": 1.7, ""Vestfold"": 2.9, ""Vestland"": 1.8, ""Østfold"": 1.5}"
hjerte_og_karsykdom_primaerhelsetjenesten_treaarige_tall,Alder = 45-74 år,2024-01-01,Antall,184.1,214.5,217.8,215.2,191.8,245.8,14,-2.0634471127272334,15,15,True,"{""Agder"": 196.6, ""Akershus"": 215.1, ""Buskerud"": 240.1, ""Finnmark Finnmárku Finmarkku"": 225.0, ""Hele landet"": 214.5, ""Innlandet"": 234.6, ""Møre og Romsdal"": 205.7, ""Nordland Nordlánnda"": 215.3, ""Oslo (fylke)"": 191.8, ""Rogaland"": 223.0, ""Telemark"": 184.1, ""Troms Romsa Tromssa"": 214.1, ""Trøndelag Trööndelage"": 200.9, ""Vestfold"": 231.2, ""Vestland"": 210.0, ""Østfold"": 245.8}"
sykehusinnlagte_sykdommer_og_skader,Alder = 45-64 år; Sykdomsgruppe = Hoftebrudd,2025-01-01,Antall,0.7,0.5,0.4642857142857143,0.5,0.3,0.7,14,2.0483920277206216,2,15,True,"{""Agder"": 0.5, ""Akershus"": 0.4, ""Buskerud"": 0.3, ""Finnmark Finnmárku Finmarkku"": 0.5, ""Hele landet"": 0.5, ""Innlandet"": 0.5, ""Møre og Romsdal"": 0.5, ""Nordland Nordlánnda"": 0.6, ""Oslo (fylke)"": 0.4, ""Rogaland"": 0.5, ""Telemark"": 0.7, ""Troms Romsa Tromssa"": 0.7, ""Trøndelag Trööndelage"": 0.5, ""Vestfold"": 0.3, ""Vestland"": 0.5, ""Østfold"": 0.3}"
psykiske_symptomer_og_lidelser_primaerhelsetjenesten_ettaarige_tall,Alder = 15-24 år; Sykdomsgruppe = Psykiske lidelser,2024-01-01,Antall,92.5,106.4,109.58571428571429,109.65,91.0,121.9,14,-2.0309856548718352,14,15,True,"{""Agder"": 100.0, ""Akershus"": 103.1, ""Buskerud"": 117.2, ""Finnmark Finnmárku Finmarkku"": 121.9, ""Hele landet"": 106.4, ""Innlandet"": 104.4, ""Møre og Romsdal"": 113.8, ""Nordland Nordlánnda"": 118.6, ""Oslo (fylke)"": 91.0, ""Rogaland"": 109.7, ""Telemark"": 92.5, ""Troms Romsa Tromssa"": 105.6, ""Trøndelag Trööndelage"": 109.6, ""Vestfold"": 114.3, ""Vestland"": 107.5, ""Østfold"": 117.5}"
sykehusinnlagte_sykdommer_og_skader,Alder = 75-79 år; Sykdomsgruppe = Hoftebrudd,2025-01-01,Antall,10.3,6.8,6.807142857142857,6.45,3.1,10.9,14,2.0000221970494825,2,15,True,"{""Agder"": 6.1, ""Akershus"": 6.5, ""Buskerud"": 5.4, ""Finnmark Finnmárku Finmarkku"": 10.9, ""Hele landet"": 6.8, ""Innlandet"": 7.3, ""Møre og Romsdal"": 7.1, ""Nordland Nordlánnda"": 8.5, ""Oslo (fylke)"": 6.4, ""Rogaland"": 6.9, ""Telemark"": 10.3, ""Troms Romsa Tromssa"": 6.0, ""Trøndelag Trööndelage"": 6.4, ""Vestfold"": 3.1, ""Vestland"": 6.4, ""Østfold"": 8.3}"
hjerte_og_karsykdom_primaerhelsetjenesten_treaarige_tall,Alder = 0-74 år,2024-01-01,Antall,86.4,99.5,101.25714285714285,100.4,88.1,113.8,14,-1.9740746247716052,15,15,True,"{""Agder"": 91.9, ""Akershus"": 99.5, ""Buskerud"": 111.0, ""Finnmark Finnmárku Finmarkku"": 106.0, ""Hele landet"": 99.5, ""Innlandet"": 108.3, ""Møre og Romsdal"": 96.0, ""Nordland Nordlánnda"": 100.9, ""Oslo (fylke)"": 88.1, ""Rogaland"": 103.5, ""Telemark"": 86.4, ""Troms Romsa Tromssa"": 99.9, ""Trøndelag Trööndelage"": 93.1, ""Vestfold"": 107.4, ""Vestland"": 98.2, ""Østfold"": 113.8}"
sykehusinnlagte_sykdommer_og_skader,Alder = 65-74 år; Sykdomsgruppe = Forgiftninger,2025-01-01,Antall,0.8,0.5,0.5333333333333333,0.5,0.3,0.8,12,1.9454938284556809,2,13,True,"{""Agder"": 0.7, ""Akershus"": 0.6, ""Buskerud"": 0.4, ""Finnmark Finnmárku Finmarkku"": null, ""Hele landet"": 0.5, ""Innlandet"": 0.5, ""Møre og Romsdal"": 0.4, ""Nordland Nordlánnda"": 0.6, ""Oslo (fylke)"": 0.6, ""Rogaland"": 0.5, ""Telemark"": 0.8, ""Troms Romsa Tromssa"": null, ""Trøndelag Trööndelage"": 0.3, ""Vestfold"": 0.8, ""Vestland"": 0.5, ""Østfold"": 0.5}"
psykiske_symptomer_og_lidelser_primaerhelsetjenesten_ettaarige_tall,Alder = 0-24 år; Sykdomsgruppe = Psykiske symptomer og lidelser,2024-01-01,Antall,119.6,129.9,132.56428571428572,133.89999999999998,118.5,143.0,14,-1.9427702406197007,14,15,True,"{""Agder"": 134.9, ""Akershus"": 126.3, ""Buskerud"": 134.7, ""Finnmark Finnmárku Finmarkku"": 132.9, ""Hele landet"": 129.9, ""Innlandet"": 123.9, ""Møre og Romsdal"": 137.1, ""Nordland Nordlánnda"": 140.5, ""Oslo (fylke)"": 118.5, ""Rogaland"": 129.6, ""Telemark"": 119.6, ""Troms Romsa Tromssa"": 136.5, ""Trøndelag Trööndelage"": 133.1, ""Vestfold"": 136.9, ""Vestland"": 128.0, ""Østfold"": 143.0}"
sykehusinnlagte_sykdommer_og_skader,Alder = 80 år+; Sykdomsgruppe = Forgiftninger,2025-01-01,Antall,0.5,0.7,0.76,0.75,0.6,0.9,10,-1.9260727134666997,11,11,True,"{""Agder"": 0.8, ""Akershus"": 0.9, ""Buskerud"": null, ""Finnmark Finnmárku Finmarkku"": null, ""Hele landet"": 0.7, ""Innlandet"": 0.7, ""Møre og Romsdal"": 0.7, ""Nordland Nordlánnda"": 0.6, ""Oslo (fylke)"": 0.9, ""Rogaland"": 0.6, ""Telemark"": 0.5, ""Troms Romsa Tromssa"": null, ""Trøndelag Trööndelage"": 0.6, ""Vestfold"": null, ""Vestland"": 0.9, ""Østfold"": 0.9}"
