Kommune,År (intervall),År,Kjønn,Alder,Utdanningsnivå,Måltall,Antall,SortKjonn,SortKommune
Porsgrunn,2016-2022,2016-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.4,3,13
Porsgrunn,2017-2023,2017-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.2,2,13
Porsgrunn,2017-2023,2017-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.8,3,13
Porsgrunn,2018-2024,2018-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.4,2,13
Porsgrunn,2018-2024,2018-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.1,3,13
Skien,2004-2010,2004-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,77.8,2,16
Skien,2004-2010,2004-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.3,3,16
Skien,2005-2011,2005-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.1,2,16
Skien,2005-2011,2005-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.3,3,16
Skien,2006-2012,2006-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.4,2,16
Skien,2006-2012,2006-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.3,3,16
Skien,2007-2013,2007-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.5,2,16
Skien,2007-2013,2007-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.4,3,16
Skien,2008-2014,2008-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.9,2,16
Skien,2008-2014,2008-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.8,3,16
Skien,2009-2015,2009-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.4,2,16
Skien,2009-2015,2009-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.8,3,16
Skien,2010-2016,2010-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.7,2,16
Skien,2010-2016,2010-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.4,3,16
Skien,2011-2017,2011-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.8,2,16
Skien,2011-2017,2011-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.6,3,16
Skien,2012-2018,2012-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.2,2,16
Skien,2012-2018,2012-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.5,3,16
Skien,2013-2019,2013-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.9,2,16
Skien,2013-2019,2013-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.8,3,16
Skien,2014-2020,2014-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.9,2,16
Skien,2014-2020,2014-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.9,3,16
Skien,2015-2021,2015-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.9,2,16
Skien,2015-2021,2015-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.8,3,16
Skien,2016-2022,2016-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.9,2,16
Skien,2016-2022,2016-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.9,3,16
Skien,2017-2023,2017-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.8,2,16
Skien,2017-2023,2017-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.8,3,16
Skien,2018-2024,2018-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,81.2,2,16
