Kommunenummer,Kommune,År,Husholdningsstørrelse,Etterspørsel
4001,Porsgrunn,2047-01-01,2,6826
4001,Porsgrunn,2047-01-01,3,2227
4001,Porsgrunn,2047-01-01,4,2032
4001,Porsgrunn,2047-01-01,5,717
4001,Porsgrunn,2047-01-01,6+,204
4001,Porsgrunn,2048-01-01,1,8228
4001,Porsgrunn,2048-01-01,2,6847
4001,Porsgrunn,2048-01-01,3,2228
4001,Porsgrunn,2048-01-01,4,2027
4001,Porsgrunn,2048-01-01,5,715
4001,Porsgrunn,2048-01-01,6+,203
4001,Porsgrunn,2049-01-01,1,8266
4001,Porsgrunn,2049-01-01,2,6872
4001,Porsgrunn,2049-01-01,3,2225
4001,Porsgrunn,2049-01-01,4,2021
4001,Porsgrunn,2049-01-01,5,713
4001,Porsgrunn,2049-01-01,6+,203
4001,Porsgrunn,2050-01-01,1,8311
4001,Porsgrunn,2050-01-01,2,6897
4001,Porsgrunn,2050-01-01,3,2222
4001,Porsgrunn,2050-01-01,4,2014
4001,Porsgrunn,2050-01-01,5,711
4001,Porsgrunn,2050-01-01,6+,203
4003,Skien,2026-01-01,1,10607
4003,Skien,2026-01-01,2,8930
4003,Skien,2026-01-01,3,3263
4003,Skien,2026-01-01,4,3055
4003,Skien,2026-01-01,5,1063
4003,Skien,2026-01-01,6+,296
4003,Skien,2027-01-01,1,10742
4003,Skien,2027-01-01,2,9017
4003,Skien,2027-01-01,3,3274
4003,Skien,2027-01-01,4,3069
4003,Skien,2027-01-01,5,1069
4003,Skien,2027-01-01,6+,298
4003,Skien,2028-01-01,1,10845
4003,Skien,2028-01-01,2,9097
4003,Skien,2028-01-01,3,3280
4003,Skien,2028-01-01,4,3083
4003,Skien,2028-01-01,5,1077
4003,Skien,2028-01-01,6+,300
4003,Skien,2029-01-01,1,10948
4003,Skien,2029-01-01,2,9180
4003,Skien,2029-01-01,3,3286
4003,Skien,2029-01-01,4,3094
4003,Skien,2029-01-01,5,1085
4003,Skien,2029-01-01,6+,303
4003,Skien,2030-01-01,1,11044
4003,Skien,2030-01-01,2,9257
4003,Skien,2030-01-01,3,3290
4003,Skien,2030-01-01,4,3103
4003,Skien,2030-01-01,5,1091
4003,Skien,2030-01-01,6+,305
4003,Skien,2031-01-01,1,11131
4003,Skien,2031-01-01,2,9332
4003,Skien,2031-01-01,3,3294
4003,Skien,2031-01-01,4,3109
4003,Skien,2031-01-01,5,1095
4003,Skien,2031-01-01,6+,306
4003,Skien,2032-01-01,1,11216
4003,Skien,2032-01-01,2,9410
4003,Skien,2032-01-01,3,3300
4003,Skien,2032-01-01,4,3111
4003,Skien,2032-01-01,5,1098
4003,Skien,2032-01-01,6+,308
4003,Skien,2033-01-01,1,11306
4003,Skien,2033-01-01,2,9486
4003,Skien,2033-01-01,3,3300
4003,Skien,2033-01-01,4,3107
4003,Skien,2033-01-01,5,1099
4003,Skien,2033-01-01,6+,308
4003,Skien,2034-01-01,1,11383
4003,Skien,2034-01-01,2,9559
4003,Skien,2034-01-01,3,3303
4003,Skien,2034-01-01,4,3110
4003,Skien,2034-01-01,5,1102
4003,Skien,2034-01-01,6+,310
4003,Skien,2035-01-01,1,11454
4003,Skien,2035-01-01,2,9630
4003,Skien,2035-01-01,3,3307
4003,Skien,2035-01-01,4,3111
4003,Skien,2035-01-01,5,1103
4003,Skien,2035-01-01,6+,310
4003,Skien,2036-01-01,1,11533
4003,Skien,2036-01-01,2,9691
4003,Skien,2036-01-01,3,3314
4003,Skien,2036-01-01,4,3112
4003,Skien,2036-01-01,5,1104
4003,Skien,2036-01-01,6+,311
4003,Skien,2037-01-01,1,11608
4003,Skien,2037-01-01,2,9750
4003,Skien,2037-01-01,3,3319
4003,Skien,2037-01-01,4,3115
4003,Skien,2037-01-01,5,1106
4003,Skien,2037-01-01,6+,312
4003,Skien,2038-01-01,1,11671
4003,Skien,2038-01-01,2,9806
4003,Skien,2038-01-01,3,3328
4003,Skien,2038-01-01,4,3115
4003,Skien,2038-01-01,5,1105
4003,Skien,2038-01-01,6+,312
4003,Skien,2039-01-01,1,11743
4003,Skien,2039-01-01,2,9863
4003,Skien,2039-01-01,3,3337
4003,Skien,2039-01-01,4,3112
4003,Skien,2039-01-01,5,1102
4003,Skien,2039-01-01,6+,311
4003,Skien,2040-01-01,1,11793
4003,Skien,2040-01-01,2,9915
4003,Skien,2040-01-01,3,3346
4003,Skien,2040-01-01,4,3112
4003,Skien,2040-01-01,5,1101
4003,Skien,2040-01-01,6+,311
4003,Skien,2041-01-01,1,11838
4003,Skien,2041-01-01,2,9970
4003,Skien,2041-01-01,3,3352
4003,Skien,2041-01-01,4,3109
4003,Skien,2041-01-01,5,1100
4003,Skien,2041-01-01,6+,311
4003,Skien,2042-01-01,1,11892
4003,Skien,2042-01-01,2,10026
4003,Skien,2042-01-01,3,3358
4003,Skien,2042-01-01,4,3103
4003,Skien,2042-01-01,5,1096
4003,Skien,2042-01-01,6+,310
4003,Skien,2043-01-01,1,11940
4003,Skien,2043-01-01,2,10074
4003,Skien,2043-01-01,3,3360
4003,Skien,2043-01-01,4,3098
4003,Skien,2043-01-01,5,1094
4003,Skien,2043-01-01,6+,310
4003,Skien,2044-01-01,1,11991
4003,Skien,2044-01-01,2,10114
4003,Skien,2044-01-01,3,3363
4003,Skien,2044-01-01,4,3094
4003,Skien,2044-01-01,5,1091
4003,Skien,2044-01-01,6+,309
4003,Skien,2045-01-01,1,12037
4003,Skien,2045-01-01,2,10156
4003,Skien,2045-01-01,3,3364
4003,Skien,2045-01-01,4,3088
4003,Skien,2045-01-01,5,1089
4003,Skien,2045-01-01,6+,309
4003,Skien,2046-01-01,1,12092
4003,Skien,2046-01-01,2,10196
4003,Skien,2046-01-01,3,3364
4003,Skien,2046-01-01,4,3081
4003,Skien,2046-01-01,5,1086
4003,Skien,2046-01-01,6+,309
4003,Skien,2047-01-01,1,12149
4003,Skien,2047-01-01,2,10237
4003,Skien,2047-01-01,3,3366
4003,Skien,2047-01-01,4,3073
4003,Skien,2047-01-01,5,1084
4003,Skien,2047-01-01,6+,308
4003,Skien,2048-01-01,1,12203
4003,Skien,2048-01-01,2,10274
4003,Skien,2048-01-01,3,3362
4003,Skien,2048-01-01,4,3062
4003,Skien,2048-01-01,5,1080
4003,Skien,2048-01-01,6+,308
4003,Skien,2049-01-01,1,12259
4003,Skien,2049-01-01,2,10315
4003,Skien,2049-01-01,3,3356
4003,Skien,2049-01-01,4,3051
4003,Skien,2049-01-01,5,1077
4003,Skien,2049-01-01,6+,307
4003,Skien,2050-01-01,1,12313
4003,Skien,2050-01-01,2,10352
4003,Skien,2050-01-01,3,3350
4003,Skien,2050-01-01,4,3039
4003,Skien,2050-01-01,5,1074
4003,Skien,2050-01-01,6+,307
4010,Siljan,2026-01-01,1,428
4010,Siljan,2026-01-01,2,375
4010,Siljan,2026-01-01,3,131
4010,Siljan,2026-01-01,4,122
4010,Siljan,2026-01-01,5,52
4010,Siljan,2026-01-01,6+,15
4010,Siljan,2027-01-01,1,434
4010,Siljan,2027-01-01,2,378
4010,Siljan,2027-01-01,3,131
4010,Siljan,2027-01-01,4,122
4010,Siljan,2027-01-01,5,52
4010,Siljan,2027-01-01,6+,15
4010,Siljan,2028-01-01,1,439
4010,Siljan,2028-01-01,2,382
4010,Siljan,2028-01-01,3,131
4010,Siljan,2028-01-01,4,121
4010,Siljan,2028-01-01,5,52
4010,Siljan,2028-01-01,6+,15
4010,Siljan,2029-01-01,1,445
4010,Siljan,2029-01-01,2,385
4010,Siljan,2029-01-01,3,132
4010,Siljan,2029-01-01,4,122
4010,Siljan,2029-01-01,5,52
4010,Siljan,2029-01-01,6+,15
4010,Siljan,2030-01-01,1,448
4010,Siljan,2030-01-01,2,388
4010,Siljan,2030-01-01,3,132
4010,Siljan,2030-01-01,4,123
4010,Siljan,2030-01-01,5,53
4010,Siljan,2030-01-01,6+,15
4010,Siljan,2031-01-01,1,453
4010,Siljan,2031-01-01,2,392
4010,Siljan,2031-01-01,3,132
4010,Siljan,2031-01-01,4,124
4010,Siljan,2031-01-01,5,54
4010,Siljan,2031-01-01,6+,15
4010,Siljan,2032-01-01,1,456
4010,Siljan,2032-01-01,2,397
4010,Siljan,2032-01-01,3,133
4010,Siljan,2032-01-01,4,124
4010,Siljan,2032-01-01,5,54
4010,Siljan,2032-01-01,6+,15
4010,Siljan,2033-01-01,1,460
4010,Siljan,2033-01-01,2,401
4010,Siljan,2033-01-01,3,134
4010,Siljan,2033-01-01,4,125
4010,Siljan,2033-01-01,5,54
4010,Siljan,2033-01-01,6+,15
4010,Siljan,2034-01-01,1,465
4010,Siljan,2034-01-01,2,404
4010,Siljan,2034-01-01,3,135
4010,Siljan,2034-01-01,4,126
4010,Siljan,2034-01-01,5,55
4010,Siljan,2034-01-01,6+,16
4010,Siljan,2035-01-01,1,471
4010,Siljan,2035-01-01,2,408
4010,Siljan,2035-01-01,3,135
4010,Siljan,2035-01-01,4,126
4010,Siljan,2035-01-01,5,55
4010,Siljan,2035-01-01,6+,16
4010,Siljan,2036-01-01,1,475
4010,Siljan,2036-01-01,2,411
4010,Siljan,2036-01-01,3,136
4010,Siljan,2036-01-01,4,128
4010,Siljan,2036-01-01,5,56
4010,Siljan,2036-01-01,6+,16
4010,Siljan,2037-01-01,1,480
4010,Siljan,2037-01-01,2,413
4010,Siljan,2037-01-01,3,136
4010,Siljan,2037-01-01,4,128
4010,Siljan,2037-01-01,5,56
4010,Siljan,2037-01-01,6+,16
4010,Siljan,2038-01-01,1,484
4010,Siljan,2038-01-01,2,416
4010,Siljan,2038-01-01,3,137
4010,Siljan,2038-01-01,4,129
4010,Siljan,2038-01-01,5,56
4010,Siljan,2038-01-01,6+,16
4010,Siljan,2039-01-01,1,489
4010,Siljan,2039-01-01,2,418
4010,Siljan,2039-01-01,3,138
4010,Siljan,2039-01-01,4,130
4010,Siljan,2039-01-01,5,57
4010,Siljan,2039-01-01,6+,16
4010,Siljan,2040-01-01,1,492
4010,Siljan,2040-01-01,2,420
4010,Siljan,2040-01-01,3,139
4010,Siljan,2040-01-01,4,130
4010,Siljan,2040-01-01,5,57
4010,Siljan,2040-01-01,6+,16
4010,Siljan,2041-01-01,1,497
4010,Siljan,2041-01-01,2,424
4010,Siljan,2041-01-01,3,140
4010,Siljan,2041-01-01,4,130
4010,Siljan,2041-01-01,5,57
4010,Siljan,2041-01-01,6+,16
4010,Siljan,2042-01-01,1,498
4010,Siljan,2042-01-01,2,426
4010,Siljan,2042-01-01,3,140
4010,Siljan,2042-01-01,4,131
4010,Siljan,2042-01-01,5,57
4010,Siljan,2042-01-01,6+,16
4010,Siljan,2043-01-01,1,503
4010,Siljan,2043-01-01,2,429
4010,Siljan,2043-01-01,3,141
4010,Siljan,2043-01-01,4,131
4010,Siljan,2043-01-01,5,57
4010,Siljan,2043-01-01,6+,16
4010,Siljan,2044-01-01,1,505
4010,Siljan,2044-01-01,2,432
4010,Siljan,2044-01-01,3,142
4010,Siljan,2044-01-01,4,131
4010,Siljan,2044-01-01,5,57
4010,Siljan,2044-01-01,6+,16
4010,Siljan,2045-01-01,1,509
4010,Siljan,2045-01-01,2,434
4010,Siljan,2045-01-01,3,142
4010,Siljan,2045-01-01,4,131
4010,Siljan,2045-01-01,5,57
4010,Siljan,2045-01-01,6+,16
4010,Siljan,2046-01-01,1,509
4010,Siljan,2046-01-01,2,435
4010,Siljan,2046-01-01,3,143
4010,Siljan,2046-01-01,4,132
4010,Siljan,2046-01-01,5,57
4010,Siljan,2046-01-01,6+,16
4010,Siljan,2047-01-01,1,513
4010,Siljan,2047-01-01,2,437
4010,Siljan,2047-01-01,3,143
4010,Siljan,2047-01-01,4,132
4010,Siljan,2047-01-01,5,57
4010,Siljan,2047-01-01,6+,16
4010,Siljan,2048-01-01,1,514
4010,Siljan,2048-01-01,2,439
4010,Siljan,2048-01-01,3,143
4010,Siljan,2048-01-01,4,132
4010,Siljan,2048-01-01,5,57
4010,Siljan,2048-01-01,6+,16
4010,Siljan,2049-01-01,1,516
4010,Siljan,2049-01-01,2,442
4010,Siljan,2049-01-01,3,143
4010,Siljan,2049-01-01,4,132
4010,Siljan,2049-01-01,5,57
4010,Siljan,2049-01-01,6+,16
4010,Siljan,2050-01-01,1,519
4010,Siljan,2050-01-01,2,443
