municipality_code,municipality_name,year,household_size,housing_demand
4003,Skien,2042,SIZE_6_INF,310
4003,Skien,2043,SIZE_1,11940
4003,Skien,2043,SIZE_2,10074
4003,Skien,2043,SIZE_3,3360
4003,Skien,2043,SIZE_4,3098
4003,Skien,2043,SIZE_5,1094
4003,Skien,2043,SIZE_6_INF,310
4003,Skien,2044,SIZE_1,11991
4003,Skien,2044,SIZE_2,10114
4003,Skien,2044,SIZE_3,3363
4003,Skien,2044,SIZE_4,3094
4003,Skien,2044,SIZE_5,1091
4003,Skien,2044,SIZE_6_INF,309
4003,Skien,2045,SIZE_1,12037
4003,Skien,2045,SIZE_2,10156
4003,Skien,2045,SIZE_3,3364
4003,Skien,2045,SIZE_4,3088
4003,Skien,2045,SIZE_5,1089
4003,Skien,2045,SIZE_6_INF,309
4003,Skien,2046,SIZE_1,12092
4003,Skien,2046,SIZE_2,10196
4003,Skien,2046,SIZE_3,3364
4003,Skien,2046,SIZE_4,3081
4003,Skien,2046,SIZE_5,1086
4003,Skien,2046,SIZE_6_INF,309
4003,Skien,2047,SIZE_1,12149
4003,Skien,2047,SIZE_2,10237
4003,Skien,2047,SIZE_3,3366
4003,Skien,2047,SIZE_4,3073
4003,Skien,2047,SIZE_5,1084
4003,Skien,2047,SIZE_6_INF,308
4003,Skien,2048,SIZE_1,12203
4003,Skien,2048,SIZE_2,10274
4003,Skien,2048,SIZE_3,3362
4003,Skien,2048,SIZE_4,3062
4003,Skien,2048,SIZE_5,1080
4003,Skien,2048,SIZE_6_INF,308
4003,Skien,2049,SIZE_1,12259
4003,Skien,2049,SIZE_2,10315
4003,Skien,2049,SIZE_3,3356
4003,Skien,2049,SIZE_4,3051
4003,Skien,2049,SIZE_5,1077
4003,Skien,2049,SIZE_6_INF,307
4003,Skien,2050,SIZE_1,12313
4003,Skien,2050,SIZE_2,10352
4003,Skien,2050,SIZE_3,3350
4003,Skien,2050,SIZE_4,3039
4003,Skien,2050,SIZE_5,1074
4003,Skien,2050,SIZE_6_INF,307
4010,Siljan,2026,SIZE_1,428
4010,Siljan,2026,SIZE_2,375
4010,Siljan,2026,SIZE_3,131
4010,Siljan,2026,SIZE_4,122
4010,Siljan,2026,SIZE_5,52
4010,Siljan,2026,SIZE_6_INF,15
4010,Siljan,2027,SIZE_1,434
4010,Siljan,2027,SIZE_2,378
4010,Siljan,2027,SIZE_3,131
4010,Siljan,2027,SIZE_4,122
4010,Siljan,2027,SIZE_5,52
4010,Siljan,2027,SIZE_6_INF,15
4010,Siljan,2028,SIZE_1,439
4010,Siljan,2028,SIZE_2,382
4010,Siljan,2028,SIZE_3,131
4010,Siljan,2028,SIZE_4,121
4010,Siljan,2028,SIZE_5,52
4010,Siljan,2028,SIZE_6_INF,15
4010,Siljan,2029,SIZE_1,445
4010,Siljan,2029,SIZE_2,385
4010,Siljan,2029,SIZE_3,132
4010,Siljan,2029,SIZE_4,122
4010,Siljan,2029,SIZE_5,52
4010,Siljan,2029,SIZE_6_INF,15
4010,Siljan,2030,SIZE_1,448
4010,Siljan,2030,SIZE_2,388
4010,Siljan,2030,SIZE_3,132
4010,Siljan,2030,SIZE_4,123
4010,Siljan,2030,SIZE_5,53
4010,Siljan,2030,SIZE_6_INF,15
4010,Siljan,2031,SIZE_1,453
4010,Siljan,2031,SIZE_2,392
4010,Siljan,2031,SIZE_3,132
4010,Siljan,2031,SIZE_4,124
4010,Siljan,2031,SIZE_5,54
4010,Siljan,2031,SIZE_6_INF,15
4010,Siljan,2032,SIZE_1,456
