Kommunenummer,Geografi,År,Alder,Innvandringsbakgrunn,Andel
4012,Bamble,2023-01-01,alle aldre,innvandrere,17.96875
4012,Bamble,2023-01-01,alle aldre,totalt,6.37991800330864
4012,Bamble,2024-01-01,alle aldre,innvandrere,17.1428571428571
4012,Bamble,2024-01-01,alle aldre,totalt,6.24955360331405
4014,Kragerø,2015-01-01,alle aldre,innvandrere,20.4806687565308
4014,Kragerø,2015-01-01,alle aldre,totalt,6.54865544592765
4014,Kragerø,2016-01-01,alle aldre,innvandrere,18.8660801564027
4014,Kragerø,2016-01-01,alle aldre,totalt,6.48543689320388
4014,Kragerø,2017-01-01,alle aldre,innvandrere,17.7311725452812
4014,Kragerø,2017-01-01,alle aldre,totalt,6.21661000485673
4014,Kragerø,2018-01-01,alle aldre,innvandrere,18.4259259259259
4014,Kragerø,2018-01-01,alle aldre,totalt,5.78407425500733
4014,Kragerø,2019-01-01,alle aldre,innvandrere,18.2584269662921
4014,Kragerø,2019-01-01,alle aldre,totalt,5.98307419799252
4014,Kragerø,2020-01-01,alle aldre,innvandrere,15.3846153846154
4014,Kragerø,2020-01-01,alle aldre,totalt,5.39316996358626
4014,Kragerø,2021-01-01,alle aldre,innvandrere,15.5493482309125
4014,Kragerø,2021-01-01,alle aldre,totalt,5.30921246681742
4014,Kragerø,2022-01-01,alle aldre,innvandrere,14.3636363636364
4014,Kragerø,2022-01-01,alle aldre,totalt,5.21790690779721
4014,Kragerø,2023-01-01,alle aldre,innvandrere,15.7939189189189
4014,Kragerø,2023-01-01,alle aldre,totalt,5.29723366686286
4014,Kragerø,2024-01-01,alle aldre,innvandrere,14.3196202531646
4014,Kragerø,2024-01-01,alle aldre,totalt,5.29917872506844
4016,Drangedal,2015-01-01,alle aldre,innvandrere,11.1111111111111
4016,Drangedal,2015-01-01,alle aldre,totalt,5.66084788029925
4016,Drangedal,2016-01-01,alle aldre,innvandrere,14.8484848484848
4016,Drangedal,2016-01-01,alle aldre,totalt,5.31149168528171
4016,Drangedal,2017-01-01,alle aldre,innvandrere,25.748502994012
4016,Drangedal,2017-01-01,alle aldre,totalt,6.37351778656127
4016,Drangedal,2018-01-01,alle aldre,innvandrere,24.1477272727273
4016,Drangedal,2018-01-01,alle aldre,totalt,6.30293971101146
4016,Drangedal,2019-01-01,alle aldre,innvandrere,20.6611570247934
4016,Drangedal,2019-01-01,alle aldre,totalt,6.66498993963783
4016,Drangedal,2020-01-01,alle aldre,innvandrere,19.3820224719101
4016,Drangedal,2020-01-01,alle aldre,totalt,5.79053373615307
4016,Drangedal,2021-01-01,alle aldre,innvandrere,17.379679144385
4016,Drangedal,2021-01-01,alle aldre,totalt,5.08389681943401
4016,Drangedal,2022-01-01,alle aldre,innvandrere,20.4488778054863
4016,Drangedal,2022-01-01,alle aldre,totalt,5.71214766774757
4016,Drangedal,2023-01-01,alle aldre,innvandrere,22.0095693779904
4016,Drangedal,2023-01-01,alle aldre,totalt,5.785536159601
4016,Drangedal,2024-01-01,alle aldre,innvandrere,25.4310344827586
4016,Drangedal,2024-01-01,alle aldre,totalt,6.52390438247012
4018,Nome,2015-01-01,alle aldre,innvandrere,
4018,Nome,2015-01-01,alle aldre,totalt,5.15447911814936
4018,Nome,2016-01-01,alle aldre,innvandrere,
4018,Nome,2016-01-01,alle aldre,totalt,4.85804416403786
4018,Nome,2017-01-01,alle aldre,innvandrere,18.6177715091678
4018,Nome,2017-01-01,alle aldre,totalt,5.31333020784498
4018,Nome,2018-01-01,alle aldre,innvandrere,17.8799489144317
4018,Nome,2018-01-01,alle aldre,totalt,5.22225676095741
4018,Nome,2019-01-01,alle aldre,innvandrere,16.6212534059946
4018,Nome,2019-01-01,alle aldre,totalt,5.02217997465146
4018,Nome,2020-01-01,alle aldre,innvandrere,17.4899866488652
4018,Nome,2020-01-01,alle aldre,totalt,5.28655342117797
4018,Nome,2021-01-01,alle aldre,innvandrere,19.3243243243243
4018,Nome,2021-01-01,alle aldre,totalt,5.84590945194599
4018,Nome,2022-01-01,alle aldre,innvandrere,19.6159122085048
4018,Nome,2022-01-01,alle aldre,totalt,5.79939787672318
4018,Nome,2023-01-01,alle aldre,innvandrere,17.2413793103448
4018,Nome,2023-01-01,alle aldre,totalt,5.66008153026027
4018,Nome,2024-01-01,alle aldre,innvandrere,12.6201923076923
4018,Nome,2024-01-01,alle aldre,totalt,4.85498108448928
4020,Midt-Telemark,2015-01-01,alle aldre,innvandrere,26.3573543928924
4020,Midt-Telemark,2015-01-01,alle aldre,totalt,11.2410841654779
4020,Midt-Telemark,2016-01-01,alle aldre,innvandrere,27.3303167420815
4020,Midt-Telemark,2016-01-01,alle aldre,totalt,9.79420731707317
4020,Midt-Telemark,2017-01-01,alle aldre,innvandrere,28.0656303972366
4020,Midt-Telemark,2017-01-01,alle aldre,totalt,9.61847959859888
4020,Midt-Telemark,2018-01-01,alle aldre,innvandrere,27.3790951638066
