stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,wheelchair_boarding,vehicle_type,platform_code
NSR:Quay:35388,Holtesletta,59.273600,9.702245,,,NSR:StopPlace:20259,,700,
NSR:Quay:35389,Meieritorvet,59.138724,9.648657,,,NSR:StopPlace:20257,,700,
NSR:Quay:35391,Frønesvegen,59.122370,9.385585,,,NSR:StopPlace:20261,,700,
NSR:Quay:35392,Holtesletta syd,59.270771,9.702017,,,NSR:StopPlace:20262,,700,
NSR:Quay:35393,Holtesletta syd,59.270190,9.701770,,,NSR:StopPlace:20262,,700,
NSR:Quay:35394,Frøystaul øvre,59.827089,8.343118,,,NSR:StopPlace:20263,,700,
NSR:Quay:35395,Holtsvingen,58.895905,9.291110,,,NSR:StopPlace:20266,,700,
NSR:Quay:35396,Frøystaul øvre,59.827054,8.343392,,,NSR:StopPlace:20263,,700,
NSR:Quay:35397,Meieritorget,59.414267,9.061776,,,NSR:StopPlace:20265,,700,
NSR:Quay:35398,Meieritorget,59.414488,9.061334,,,NSR:StopPlace:20265,,700,
NSR:Quay:35399,Holtsvingen,58.895811,9.291408,,,NSR:StopPlace:20266,,700,
NSR:Quay:35400,Fugleli,59.024525,8.623158,,,NSR:StopPlace:20267,,700,
NSR:Quay:35401,Fugleli,59.023975,8.622449,,,NSR:StopPlace:20267,,700,
NSR:Quay:35402,Melby,58.963744,9.628203,,,NSR:StopPlace:20268,,700,
NSR:Quay:35403,Holtsås,59.460590,9.327983,,,NSR:StopPlace:20269,,700,
NSR:Quay:35404,Holtsås,59.460925,9.327626,,,NSR:StopPlace:20269,,700,
NSR:Quay:35405,Melby,58.963648,9.628011,,,NSR:StopPlace:20268,,700,
NSR:Quay:35406,Funnemark,59.245737,8.516150,,,NSR:StopPlace:20271,,700,
NSR:Quay:35407,Funnemark,59.245686,8.516016,,,NSR:StopPlace:20271,,700,
NSR:Quay:35408,Holtsås kryss,59.461461,9.328286,,,NSR:StopPlace:20272,,700,
NSR:Quay:35409,Holtsås kryss,59.461759,9.324268,,,NSR:StopPlace:20272,,700,
