Fylke,År (intervall),År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortFylke
Buskerud,2022-2024,2024-01-01,Menn,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",266.2,2,3,5
Buskerud,2022-2024,2024-01-01,Menn,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",536.7,2,4,5
Buskerud,2022-2024,2024-01-01,Kvinner,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",102.0,3,1,5
Buskerud,2022-2024,2024-01-01,Kvinner,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",28.5,3,2,5
Buskerud,2022-2024,2024-01-01,Kvinner,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",213.4,3,3,5
Buskerud,2022-2024,2024-01-01,Kvinner,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",473.7,3,4,5
Innlandet,2022-2024,2024-01-01,Kjønn samlet,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",108.3,1,1,7
Innlandet,2022-2024,2024-01-01,Kjønn samlet,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",26.0,1,2,7
Innlandet,2022-2024,2024-01-01,Kjønn samlet,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",234.6,1,3,7
Innlandet,2022-2024,2024-01-01,Kjønn samlet,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",478.8,1,4,7
Innlandet,2022-2024,2024-01-01,Menn,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",116.3,2,1,7
Innlandet,2022-2024,2024-01-01,Menn,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",24.1,2,2,7
Innlandet,2022-2024,2024-01-01,Menn,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",259.9,2,3,7
Innlandet,2022-2024,2024-01-01,Menn,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",507.9,2,4,7
Innlandet,2022-2024,2024-01-01,Kvinner,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",99.9,3,1,7
Innlandet,2022-2024,2024-01-01,Kvinner,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",27.9,3,2,7
Innlandet,2022-2024,2024-01-01,Kvinner,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",208.7,3,3,7
Innlandet,2022-2024,2024-01-01,Kvinner,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",451.8,3,4,7
Vestfold,2022-2024,2024-01-01,Kjønn samlet,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",107.4,1,1,14
Vestfold,2022-2024,2024-01-01,Kjønn samlet,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",27.1,1,2,14
Vestfold,2022-2024,2024-01-01,Kjønn samlet,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",231.2,1,3,14
Vestfold,2022-2024,2024-01-01,Kjønn samlet,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",480.8,1,4,14
Vestfold,2022-2024,2024-01-01,Menn,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",116.4,2,1,14
Vestfold,2022-2024,2024-01-01,Menn,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",25.5,2,2,14
Vestfold,2022-2024,2024-01-01,Menn,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",258.5,2,3,14
Vestfold,2022-2024,2024-01-01,Menn,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",511.3,2,4,14
Vestfold,2022-2024,2024-01-01,Kvinner,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",98.1,3,1,14
Vestfold,2022-2024,2024-01-01,Kvinner,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",28.8,3,2,14
Vestfold,2022-2024,2024-01-01,Kvinner,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",203.3,3,3,14
Vestfold,2022-2024,2024-01-01,Kvinner,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",452.6,3,4,14
Telemark,2022-2024,2024-01-01,Kjønn samlet,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",86.4,1,1,1
Telemark,2022-2024,2024-01-01,Kjønn samlet,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",23.3,1,2,1
Telemark,2022-2024,2024-01-01,Kjønn samlet,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",184.1,1,3,1
Telemark,2022-2024,2024-01-01,Kjønn samlet,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",389.7,1,4,1
Telemark,2022-2024,2024-01-01,Menn,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",91.0,2,1,1
Telemark,2022-2024,2024-01-01,Menn,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",21.6,2,2,1
Telemark,2022-2024,2024-01-01,Menn,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",200.0,2,3,1
Telemark,2022-2024,2024-01-01,Menn,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",410.5,2,4,1
Telemark,2022-2024,2024-01-01,Kvinner,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",81.6,3,1,1
Telemark,2022-2024,2024-01-01,Kvinner,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",25.1,3,2,1
Telemark,2022-2024,2024-01-01,Kvinner,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",167.8,3,3,1
Telemark,2022-2024,2024-01-01,Kvinner,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",370.3,3,4,1
Agder,2022-2024,2024-01-01,Kjønn samlet,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",91.9,1,1,3
Agder,2022-2024,2024-01-01,Kjønn samlet,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",23.9,1,2,3
Agder,2022-2024,2024-01-01,Kjønn samlet,45-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",196.6,1,3,3
Agder,2022-2024,2024-01-01,Kjønn samlet,75-79 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",419.0,1,4,3
Agder,2022-2024,2024-01-01,Menn,0-74 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",100.6,2,1,3
Agder,2022-2024,2024-01-01,Menn,0-44 år,"Hjerte- og karsykdomsdiagnoser, totalt","per 1000, standardisert",22.4,2,2,3
