Fylke,År (intervall),År,Kjønn,Alder,Krefttyper,Måltall,Antall,SortKjonn,SortFylke
Buskerud,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,5
Buskerud,2016-2025,2025-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",658.0,2,5
Buskerud,2016-2025,2025-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",84.0,2,5
Buskerud,2016-2025,2025-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",58.0,2,5
Buskerud,2016-2025,2025-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",101.6,2,5
Buskerud,2016-2025,2025-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",42.0,2,5
Buskerud,2016-2025,2025-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",,2,5
Buskerud,2016-2025,2025-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,5
Buskerud,2016-2025,2025-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",176.4,2,5
Buskerud,2016-2025,2025-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",605.8,3,5
Buskerud,2016-2025,2025-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",77.9,3,5
Buskerud,2016-2025,2025-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",61.1,3,5
Buskerud,2016-2025,2025-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",90.5,3,5
Buskerud,2016-2025,2025-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",41.1,3,5
Buskerud,2016-2025,2025-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",147.1,3,5
Buskerud,2016-2025,2025-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",12.5,3,5
Buskerud,2016-2025,2025-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,5
Innlandet,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",624.7,1,7
Innlandet,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",85.8,1,7
Innlandet,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",61.2,1,7
Innlandet,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",77.6,1,7
Innlandet,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",40.5,1,7
Innlandet,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",67.5,1,7
Innlandet,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,7
Innlandet,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,7
Innlandet,2016-2025,2025-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",654.2,2,7
Innlandet,2016-2025,2025-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",89.3,2,7
Innlandet,2016-2025,2025-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",60.0,2,7
Innlandet,2016-2025,2025-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",84.1,2,7
Innlandet,2016-2025,2025-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",40.8,2,7
Innlandet,2016-2025,2025-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",0.7,2,7
Innlandet,2016-2025,2025-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,7
Innlandet,2016-2025,2025-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",186.2,2,7
Innlandet,2016-2025,2025-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",594.7,3,7
Innlandet,2016-2025,2025-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",82.3,3,7
Innlandet,2016-2025,2025-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",62.4,3,7
Innlandet,2016-2025,2025-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",70.9,3,7
Innlandet,2016-2025,2025-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",40.3,3,7
Innlandet,2016-2025,2025-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",135.5,3,7
Innlandet,2016-2025,2025-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",15.8,3,7
Innlandet,2016-2025,2025-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,7
Vestfold,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",687.8,1,14
Vestfold,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",92.9,1,14
Vestfold,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",59.4,1,14
Vestfold,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",121.6,1,14
Vestfold,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",55.7,1,14
Vestfold,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",71.1,1,14
Vestfold,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,14
Vestfold,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,14
Vestfold,2016-2025,2025-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",723.5,2,14
Vestfold,2016-2025,2025-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",93.4,2,14
Vestfold,2016-2025,2025-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",61.0,2,14
Vestfold,2016-2025,2025-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",131.7,2,14
Vestfold,2016-2025,2025-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",58.0,2,14
Vestfold,2016-2025,2025-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",,2,14
Vestfold,2016-2025,2025-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,14
Vestfold,2016-2025,2025-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",176.3,2,14
Vestfold,2016-2025,2025-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",651.5,3,14
Vestfold,2016-2025,2025-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",92.3,3,14
Vestfold,2016-2025,2025-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",57.7,3,14
Vestfold,2016-2025,2025-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",111.3,3,14
Vestfold,2016-2025,2025-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",53.2,3,14
Vestfold,2016-2025,2025-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",142.6,3,14
Vestfold,2016-2025,2025-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.0,3,14
Vestfold,2016-2025,2025-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,14
Telemark,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",676.0,1,1
Telemark,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",81.1,1,1
Telemark,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",63.9,1,1
Telemark,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",128.2,1,1
Telemark,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",56.4,1,1
Telemark,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",70.3,1,1
Telemark,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,1
Telemark,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,1
Telemark,2016-2025,2025-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",701.6,2,1
Telemark,2016-2025,2025-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",79.4,2,1
Telemark,2016-2025,2025-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",66.8,2,1
Telemark,2016-2025,2025-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",126.9,2,1
Telemark,2016-2025,2025-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",54.3,2,1
Telemark,2016-2025,2025-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",,2,1
Telemark,2016-2025,2025-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,1
Telemark,2016-2025,2025-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",172.7,2,1
Telemark,2016-2025,2025-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",650.1,3,1
Telemark,2016-2025,2025-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",82.7,3,1
Telemark,2016-2025,2025-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",60.9,3,1
Telemark,2016-2025,2025-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",129.4,3,1
Telemark,2016-2025,2025-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",58.5,3,1
Telemark,2016-2025,2025-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",140.9,3,1
Telemark,2016-2025,2025-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",14.9,3,1
Telemark,2016-2025,2025-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,1
Agder,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",672.2,1,3
Agder,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",79.5,1,3
Agder,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",72.1,1,3
Agder,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",130.8,1,3
Agder,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",56.5,1,3
Agder,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",70.5,1,3
Agder,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,3
Agder,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,3
Agder,2016-2025,2025-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",697.4,2,3
Agder,2016-2025,2025-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",80.1,2,3
Agder,2016-2025,2025-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",74.1,2,3
Agder,2016-2025,2025-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",131.5,2,3
Agder,2016-2025,2025-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",54.3,2,3
Agder,2016-2025,2025-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",1.6,2,3
Agder,2016-2025,2025-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,3
Agder,2016-2025,2025-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",171.5,2,3
Agder,2016-2025,2025-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",646.6,3,3
Agder,2016-2025,2025-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",78.8,3,3
Agder,2016-2025,2025-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",70.1,3,3
Agder,2016-2025,2025-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",130.0,3,3
Agder,2016-2025,2025-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",58.7,3,3
Agder,2016-2025,2025-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",140.5,3,3
Agder,2016-2025,2025-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",10.9,3,3
Agder,2016-2025,2025-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,3
Rogaland,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",701.2,1,11
Rogaland,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",90.1,1,11
Rogaland,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",68.2,1,11
Rogaland,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",120.1,1,11
Rogaland,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",51.6,1,11
Rogaland,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",73.6,1,11
Rogaland,2016-2025,2025-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,11
