Fylke,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortFylke
Oslo (fylke),2024-01-01,Menn,0-44 år,Psykiske lidelser,"per 1000, standardisert",71.0,2,2,10
Oslo (fylke),2024-01-01,Menn,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",111.2,2,3,10
Oslo (fylke),2024-01-01,Menn,0-24 år,Psykiske symptomer,"per 1000, standardisert",75.5,2,3,10
Oslo (fylke),2024-01-01,Menn,0-24 år,Psykiske lidelser,"per 1000, standardisert",52.6,2,3,10
Oslo (fylke),2024-01-01,Menn,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",84.2,2,4,10
Oslo (fylke),2024-01-01,Menn,0-14 år,Psykiske symptomer,"per 1000, standardisert",58.8,2,4,10
Oslo (fylke),2024-01-01,Menn,0-14 år,Psykiske lidelser,"per 1000, standardisert",34.9,2,4,10
Oslo (fylke),2024-01-01,Menn,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",146.4,2,5,10
Oslo (fylke),2024-01-01,Menn,15-24 år,Psykiske symptomer,"per 1000, standardisert",97.1,2,5,10
Oslo (fylke),2024-01-01,Menn,15-24 år,Psykiske lidelser,"per 1000, standardisert",75.6,2,5,10
Oslo (fylke),2024-01-01,Menn,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",180.0,2,6,10
Oslo (fylke),2024-01-01,Menn,25-44 år,Psykiske symptomer,"per 1000, standardisert",129.3,2,6,10
Oslo (fylke),2024-01-01,Menn,25-44 år,Psykiske lidelser,"per 1000, standardisert",89.0,2,6,10
Oslo (fylke),2024-01-01,Menn,45-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",171.6,2,7,10
Oslo (fylke),2024-01-01,Menn,45-74 år,Psykiske symptomer,"per 1000, standardisert",130.8,2,7,10
Oslo (fylke),2024-01-01,Menn,45-74 år,Psykiske lidelser,"per 1000, standardisert",69.7,2,7,10
Oslo (fylke),2024-01-01,Menn,75-79 år,Psykiske symptomer og lidelser,"per 1000, standardisert",171.9,2,8,10
Oslo (fylke),2024-01-01,Menn,75-79 år,Psykiske symptomer,"per 1000, standardisert",134.4,2,8,10
Oslo (fylke),2024-01-01,Menn,75-79 år,Psykiske lidelser,"per 1000, standardisert",60.1,2,8,10
Oslo (fylke),2024-01-01,Kvinner,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",218.5,3,1,10
Oslo (fylke),2024-01-01,Kvinner,0-74 år,Psykiske symptomer,"per 1000, standardisert",166.7,3,1,10
Oslo (fylke),2024-01-01,Kvinner,0-74 år,Psykiske lidelser,"per 1000, standardisert",94.2,3,1,10
Oslo (fylke),2024-01-01,Kvinner,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",202.2,3,2,10
Oslo (fylke),2024-01-01,Kvinner,0-44 år,Psykiske symptomer,"per 1000, standardisert",151.0,3,2,10
Oslo (fylke),2024-01-01,Kvinner,0-44 år,Psykiske lidelser,"per 1000, standardisert",93.8,3,2,10
Oslo (fylke),2024-01-01,Kvinner,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",126.4,3,3,10
Oslo (fylke),2024-01-01,Kvinner,0-24 år,Psykiske symptomer,"per 1000, standardisert",91.3,3,3,10
Oslo (fylke),2024-01-01,Kvinner,0-24 år,Psykiske lidelser,"per 1000, standardisert",58.3,3,3,10
Oslo (fylke),2024-01-01,Kvinner,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",60.4,3,4,10
Oslo (fylke),2024-01-01,Kvinner,0-14 år,Psykiske symptomer,"per 1000, standardisert",46.1,3,4,10
Oslo (fylke),2024-01-01,Kvinner,0-14 år,Psykiske lidelser,"per 1000, standardisert",20.5,3,4,10
Oslo (fylke),2024-01-01,Kvinner,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",212.1,3,5,10
Oslo (fylke),2024-01-01,Kvinner,15-24 år,Psykiske symptomer,"per 1000, standardisert",149.8,3,5,10
