Fylke,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortFylke
Hele landet,2025-01-01,Kjønn samlet,65-74 år,KOLS (J44),"per 1000, standardisert",4.0,1,10,2
Hele landet,2025-01-01,Kjønn samlet,65-74 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",34.5,1,10,2
Hele landet,2025-01-01,Kjønn samlet,65-74 år,Personskader (S00-T78),"per 1000, standardisert",17.4,1,10,2
Hele landet,2025-01-01,Kjønn samlet,65-74 år,Hodeskader (S00-S09),"per 1000, standardisert",3.2,1,10,2
Hele landet,2025-01-01,Kjønn samlet,65-74 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",2.5,1,10,2
Hele landet,2025-01-01,Kjønn samlet,65-74 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.5,1,10,2
Hele landet,2025-01-01,Kjønn samlet,75 år+,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",74.4,1,11,2
Hele landet,2025-01-01,Kjønn samlet,75 år+,KOLS (J44),"per 1000, standardisert",8.7,1,11,2
Hele landet,2025-01-01,Kjønn samlet,75 år+,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",39.5,1,11,2
Hele landet,2025-01-01,Kjønn samlet,75 år+,Personskader (S00-T78),"per 1000, standardisert",43.0,1,11,2
Hele landet,2025-01-01,Kjønn samlet,75 år+,Hodeskader (S00-S09),"per 1000, standardisert",11.4,1,11,2
Hele landet,2025-01-01,Kjønn samlet,75 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",12.8,1,11,2
Hele landet,2025-01-01,Kjønn samlet,75 år+,Forgiftninger (T36-T65),"per 1000, standardisert",0.7,1,11,2
Hele landet,2025-01-01,Kjønn samlet,75-79 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",60.0,1,12,2
