Fylke,År (intervall),År,Kjønn,Alder,Dødsårsak,Måltall,Antall,SortFylke
Møre og Romsdal,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",70.5,8
Møre og Romsdal,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",42.6,8
Trøndelag Trööndelage,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",769.3,13
Trøndelag Trööndelage,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",13.5,13
Trøndelag Trööndelage,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",198.1,13
Trøndelag Trööndelage,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",36.1,13
Trøndelag Trööndelage,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",196.5,13
Trøndelag Trööndelage,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",73.4,13
Trøndelag Trööndelage,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",47.4,13
Nordland Nordlánnda,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",805.9,9
Nordland Nordlánnda,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",14.4,9
Nordland Nordlánnda,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",192.9,9
Nordland Nordlánnda,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",39.2,9
Nordland Nordlánnda,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",211.1,9
Nordland Nordlánnda,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",84.0,9
Nordland Nordlánnda,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",56.9,9
Troms Romsa Tromssa,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",798.7,12
Troms Romsa Tromssa,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",10.9,12
Troms Romsa Tromssa,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",200.0,12
Troms Romsa Tromssa,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",41.6,12
Troms Romsa Tromssa,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",205.5,12
Troms Romsa Tromssa,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",87.2,12
Troms Romsa Tromssa,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",52.3,12
Finnmark Finnmárku Finmarkku,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",913.4,6
Finnmark Finnmárku Finmarkku,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",11.3,6
Finnmark Finnmárku Finmarkku,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",234.3,6
Finnmark Finnmárku Finmarkku,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",54.3,6
Finnmark Finnmárku Finmarkku,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",221.1,6
Finnmark Finnmárku Finmarkku,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",108.3,6
Finnmark Finnmárku Finmarkku,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",67.4,6
