Kommunenummer,Kommune,Botid i Norge,År,Verdensregion,Antall
4001,Porsgrunn,0-4 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",334.0
4012,Bamble,Alle,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",945.0
4026,Tinn,0-4 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",65.0
4036,Vinje,0-4 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",81.0
4016,Drangedal,5-9 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",72.0
4034,Tokke,10+ år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",26.0
4024,Hjartdal,10+ år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",11.0
4005,Notodden,Alle,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",655.0
4003,Skien,10+ år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",4003.0
4001,Porsgrunn,5-9 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",257.0
4016,Drangedal,0-4 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",21.0
4022,Seljord,5-9 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",15.0
4032,Fyresdal,5-9 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",7.0
4005,Notodden,0-4 år,2025-01-01,Alle,547.0
4018,Nome,5-9 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",40.0
4001,Porsgrunn,5-9 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",721.0
4010,Siljan,Alle,2025-01-01,Alle,188.0
4036,Vinje,5-9 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",52.0
4026,Tinn,5-9 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",91.0
4014,Kragerø,10+ år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",346.0
4012,Bamble,5-9 år,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",208.0
4028,Kviteseid,0-4 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",46.0
4012,Bamble,5-9 år,2025-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",59.0
4026,Tinn,Alle,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",479.0
4036,Vinje,Alle,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",315.0
4003,Skien,Alle,2025-01-01,Alle,9043.0
4005,Notodden,5-9 år,2025-01-01,Alle,403.0
4030,Nissedal,Alle,2025-01-01,Alle,195.0
4020,Midt-Telemark,Alle,2025-01-01,Alle,1857.0
4014,Kragerø,Alle,2025-01-01,Alle,1334.0
4016,Drangedal,Alle,2025-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",299.0
