Kommunenummer,Kommune,Botid i Norge,År,Verdensregion,Enhet,Antall
3818,Tinn,5-9 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,93
3815,Drangedal,5-9 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,28
3812,Siljan,5-9 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,28
3817,Midt-Telemark,Alle,2024-01-01,Alle,Personer,1720
3822,Nissedal,Alle,2024-01-01,Alle,Personer,179
3824,Tokke,Alle,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,124
3816,Nome,10+ år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,308
3820,Seljord,5-9 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,22
3814,Kragerø,0-4 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,249
3822,Nissedal,10+ år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,63
3823,Fyresdal,0-4 år,2024-01-01,Alle,Personer,73
3806,Porsgrunn,Alle,2024-01-01,Alle,Personer,5205
3825,Vinje,0-4 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,178
3822,Nissedal,10+ år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,13
3822,Nissedal,5-9 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,8
3825,Vinje,5-9 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,19
3815,Drangedal,10+ år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,65
3815,Drangedal,Alle,2024-01-01,Alle,Personer,475
3814,Kragerø,5-9 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,89
3818,Tinn,10+ år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,200
3824,Tokke,10+ år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,76
3817,Midt-Telemark,5-9 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,130
3813,Bamble,5-9 år,2024-01-01,Alle,Personer,299
3819,Hjartdal,5-9 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,12
3808,Notodden,Alle,2024-01-01,Alle,Personer,1759
3813,Bamble,10+ år,2024-01-01,Alle,Personer,743
3824,Tokke,5-9 år,2024-01-01,Alle,Personer,41
3824,Tokke,5-9 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,23
3821,Kviteseid,5-9 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,12
3807,Skien,0-4 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,988
3812,Siljan,5-9 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,5
3823,Fyresdal,5-9 år,2024-01-01,Alle,Personer,28
3822,Nissedal,0-4 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,54
3807,Skien,Alle,2024-01-01,Alle,Personer,8777
3817,Midt-Telemark,10+ år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,338
3817,Midt-Telemark,5-9 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,237
3813,Bamble,Alle,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,919
3808,Notodden,0-4 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,412
3812,Siljan,Alle,2024-01-01,Alle,Personer,183
3807,Skien,10+ år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,1861
3813,Bamble,0-4 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,93
3814,Kragerø,10+ år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,319
3816,Nome,0-4 år,2024-01-01,Alle,Personer,274
3815,Drangedal,0-4 år,2024-01-01,Alle,Personer,166
3824,Tokke,0-4 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,75
3820,Seljord,10+ år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,47
3813,Bamble,Alle,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,501
3821,Kviteseid,5-9 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,22
3806,Porsgrunn,Alle,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,1670
3808,Notodden,0-4 år,2024-01-01,Alle,Personer,525
3825,Vinje,10+ år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,67
3820,Seljord,0-4 år,2024-01-01,Alle,Personer,148
3815,Drangedal,0-4 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,21
3823,Fyresdal,10+ år,2024-01-01,Alle,Personer,60
3817,Midt-Telemark,10+ år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,353
3819,Hjartdal,0-4 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,88
3817,Midt-Telemark,0-4 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,347
3819,Hjartdal,10+ år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,31
3819,Hjartdal,5-9 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,37
3821,Kviteseid,10+ år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,114
3808,Notodden,10+ år,2024-01-01,Alle,Personer,841
3822,Nissedal,5-9 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,22
3821,Kviteseid,10+ år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,32
3817,Midt-Telemark,5-9 år,2024-01-01,Alle,Personer,367
3822,Nissedal,5-9 år,2024-01-01,Alle,Personer,30
3815,Drangedal,10+ år,2024-01-01,Alle,Personer,209
3815,Drangedal,0-4 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,145
3816,Nome,5-9 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,43
3806,Porsgrunn,10+ år,2024-01-01,Alle,Personer,2898
3824,Tokke,5-9 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,18
3807,Skien,5-9 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,449
3821,Kviteseid,0-4 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,61
3825,Vinje,10+ år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,113
3813,Bamble,5-9 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,224
3818,Tinn,5-9 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,53
3819,Hjartdal,10+ år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,12
3816,Nome,0-4 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,210
3814,Kragerø,0-4 år,2024-01-01,Alle,Personer,337
3814,Kragerø,10+ år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,363
3823,Fyresdal,Alle,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,66
3816,Nome,10+ år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,191
3825,Vinje,0-4 år,2024-01-01,Alle,Personer,249
3806,Porsgrunn,0-4 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,317
3812,Siljan,10+ år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,48
3823,Fyresdal,Alle,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,95
3807,Skien,10+ år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,3804
3806,Porsgrunn,Alle,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,3535
3807,Skien,0-4 år,2024-01-01,Alle,Personer,1488
3820,Seljord,0-4 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,121
3820,Seljord,Alle,2024-01-01,Alle,Personer,371
3824,Tokke,10+ år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,30
3812,Siljan,0-4 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,33
3808,Notodden,Alle,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,644
3812,Siljan,0-4 år,2024-01-01,Alle,Personer,42
3812,Siljan,10+ år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,60
3818,Tinn,0-4 år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,153
3806,Porsgrunn,0-4 år,2024-01-01,Alle,Personer,1321
3818,Tinn,10+ år,2024-01-01,"Øst-Europa utenom EU, Asia (inkl.Tyrkia), Afrika, Sør- og Mellom-Amerika og Oseania utenom Australia og New Zealand",Personer,185
3820,Seljord,10+ år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,98
3808,Notodden,0-4 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,113
3818,Tinn,0-4 år,2024-01-01,Alle,Personer,223
3823,Fyresdal,Alle,2024-01-01,Alle,Personer,161
3823,Fyresdal,0-4 år,2024-01-01,"EU/EFTA-land, Nord-Amerika, Australia og New Zealand",Personer,28
