År,Kommune,"Anmodning, vedtak og faktisk bosetting",Antall
2024-01-01,Siljan,Faktisk bosetting,:
2024-01-01,Vinje,Faktisk bosetting,20
2024-01-01,Tinn,Faktisk bosetting,18
2024-01-01,Skien,Faktisk bosetting,92
2023-01-01,Midt-Telemark,Faktisk bosetting,114
2023-01-01,Tokke,Faktisk bosetting,35
2023-01-01,Nissedal,Faktisk bosetting,21
2023-01-01,Bamble,Faktisk bosetting,103
2023-01-01,Fyresdal,Faktisk bosetting,32
2023-01-01,Drangedal,Faktisk bosetting,52
2023-01-01,Porsgrunn,Faktisk bosetting,139
2023-01-01,Notodden,Faktisk bosetting,119
2023-01-01,Hjartdal,Faktisk bosetting,52
2023-01-01,Kragerø,Faktisk bosetting,93
2023-01-01,Kviteseid,Faktisk bosetting,32
2023-01-01,Nome,Faktisk bosetting,66
2023-01-01,Vinje,Faktisk bosetting,59
2023-01-01,Skien,Faktisk bosetting,145
2023-01-01,Siljan,Faktisk bosetting,16
2023-01-01,Tinn,Faktisk bosetting,29
2023-01-01,Seljord,Faktisk bosetting,39
2024-01-01,Tokke,Faktisk bosetting,0
2024-01-01,Midt-Telemark,Faktisk bosetting,38
2024-01-01,Nissedal,Faktisk bosetting,:
2024-01-01,Kviteseid,Faktisk bosetting,9
2024-01-01,Nome,Faktisk bosetting,31
2024-01-01,Seljord,Vedtak om bosetting,20
2024-01-01,Kragerø,Vedtak om bosetting,50
2024-01-01,Vinje,Vedtak om bosetting,40
2023-01-01,Nome,Vedtak om bosetting,65
2023-01-01,Drangedal,Vedtak om bosetting,50
2023-01-01,Tinn,Vedtak om bosetting,30
2023-01-01,Hjartdal,Vedtak om bosetting,50
2023-01-01,Vinje,Vedtak om bosetting,60
2023-01-01,Notodden,Vedtak om bosetting,120
2023-01-01,Kragerø,Vedtak om bosetting,90
2023-01-01,Porsgrunn,Vedtak om bosetting,120
2023-01-01,Siljan,Vedtak om bosetting,15
2023-01-01,Seljord,Vedtak om bosetting,40
2023-01-01,Kviteseid,Vedtak om bosetting,30
2023-01-01,Nissedal,Vedtak om bosetting,30
2023-01-01,Tokke,Vedtak om bosetting,35
2023-01-01,Skien,Vedtak om bosetting,155
2023-01-01,Fyresdal,Vedtak om bosetting,30
2023-01-01,Midt-Telemark,Vedtak om bosetting,110
2023-01-01,Bamble,Vedtak om bosetting,110
2024-01-01,Tokke,Vedtak om bosetting,30
2024-01-01,Kviteseid,Vedtak om bosetting,30
2024-01-01,Porsgrunn,Vedtak om bosetting,110
2024-01-01,Notodden,Vedtak om bosetting,85
2024-01-01,Drangedal,Vedtak om bosetting,30
2024-01-01,Nissedal,Vedtak om bosetting,15
