Dekning for fast bredbånd på kommunenivå;;;;;;;;;;;;;;;;;;;;;;;;;;
Tettbygd og spredtbygd samlet;;;;;;;;;;;;;;;;;;;;;;;;;;
Mobildekning (4G og 5G) er ikke inkludert i disse tabellene;;Teknologidekning;;;;;;;;Hastighet - alle teknologier på fast bredbånd;;;;;Hastighet uten DSL;;;;;Hastighet i kablede nett;;;;;Hastighet for FTB;
Kommune;Fylke;Fiber;Kabel-TV-nett;DSL;FTB;Fiber + kabel-TV-nett;Fiber + kabel-TV-nett + DSL;Fiber + kabel-TV-nett + FTB;Fast bredbånd totalt;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100
HASVIK;TROMS OG FINNMARK;90,7 %;0,0 %;96,6 %;98,6 %;90,7 %;99,0 %;99,2 %;99,2 %;97,0 %;90,7 %;90,7 %;90,7 %;;96,4 %;90,7 %;90,7 %;90,7 %;;95 %;90,7 %;90,7 %;90,7 %;;92 %;0,0 %
IBESTAD;TROMS OG FINNMARK;87,9 %;0,0 %;46,9 %;95,9 %;87,9 %;90,9 %;98,2 %;98,7 %;92,8 %;87,9 %;87,9 %;87,9 %;;92,8 %;87,9 %;87,9 %;87,9 %;;89 %;87,9 %;87,9 %;87,9 %;;61 %;0,0 %
KARASJOK;TROMS OG FINNMARK;99,9 %;21,8 %;66,8 %;97,7 %;99,9 %;99,9 %;100,0 %;100,0 %;100,0 %;99,9 %;99,9 %;99,9 %;;100,0 %;99,9 %;99,9 %;99,9 %;;100 %;99,9 %;99,9 %;99,9 %;;93 %;0,0 %
KARLSØY;TROMS OG FINNMARK;96,9 %;0,2 %;58,5 %;27,7 %;96,9 %;97,8 %;98,6 %;99,3 %;98,1 %;96,9 %;96,9 %;96,9 %;;98,1 %;96,9 %;96,9 %;96,9 %;;97 %;96,9 %;96,9 %;96,9 %;;4 %;0,0 %
KAUTOKEINO;TROMS OG FINNMARK;72,0 %;0,0 %;91,5 %;99,4 %;72,0 %;96,0 %;99,6 %;99,6 %;97,7 %;72,0 %;72,0 %;72,0 %;;97,6 %;72,0 %;72,0 %;72,0 %;;79 %;72,0 %;72,0 %;72,0 %;;97 %;0,0 %
KVÆFJORD;TROMS OG FINNMARK;75,1 %;0,0 %;53,1 %;93,2 %;75,1 %;91,2 %;99,8 %;99,9 %;98,5 %;75,1 %;75,1 %;75,1 %;;98,5 %;75,1 %;75,1 %;75,1 %;;81 %;75,1 %;75,1 %;75,1 %;;79 %;0,0 %
KVÆNANGEN;TROMS OG FINNMARK;86,0 %;0,0 %;45,6 %;97,0 %;86,0 %;88,6 %;98,8 %;98,8 %;96,3 %;86,0 %;86,0 %;86,0 %;;96,0 %;86,0 %;86,0 %;86,0 %;;87 %;86,0 %;86,0 %;86,0 %;;77 %;0,0 %
KÅFJORD;TROMS OG FINNMARK;91,6 %;0,0 %;79,4 %;99,8 %;91,6 %;97,5 %;100,0 %;100,0 %;98,7 %;91,6 %;91,6 %;91,6 %;;98,7 %;91,6 %;91,6 %;91,6 %;;93 %;91,6 %;91,6 %;91,6 %;;89 %;0,0 %
LAVANGEN;TROMS OG FINNMARK;99,8 %;0,0 %;70,3 %;99,8 %;99,8 %;99,8 %;100,0 %;100,0 %;100,0 %;99,8 %;99,8 %;99,8 %;;100,0 %;99,8 %;99,8 %;99,8 %;;100 %;99,8 %;99,8 %;99,8 %;;93 %;0,0 %
LEBESBY;TROMS OG FINNMARK;87,8 %;0,0 %;84,6 %;99,4 %;87,8 %;92,1 %;99,7 %;99,7 %;93,7 %;87,8 %;87,8 %;87,8 %;;93,7 %;87,8 %;87,8 %;87,8 %;;89 %;87,8 %;87,8 %;87,8 %;;92 %;0,0 %
LOPPA;TROMS OG FINNMARK;76,5 %;0,0 %;91,0 %;95,3 %;76,5 %;92,3 %;98,9 %;99,5 %;91,2 %;76,5 %;76,5 %;76,5 %;;87,4 %;76,5 %;76,5 %;76,5 %;;83 %;76,5 %;76,5 %;76,5 %;;75 %;0,0 %
LYNGEN;TROMS OG FINNMARK;61,0 %;0,0 %;71,1 %;76,6 %;61,0 %;85,2 %;93,7 %;99,2 %;85,2 %;61,0 %;61,0 %;61,0 %;;82,9 %;61,0 %;61,0 %;61,0 %;;69 %;61,0 %;61,0 %;61,0 %;;56 %;0,0 %
MÅLSELV;TROMS OG FINNMARK;88,0 %;0,0 %;78,8 %;88,1 %;88,0 %;96,6 %;99,7 %;99,9 %;98,2 %;88,0 %;88,0 %;88,0 %;;97,8 %;88,0 %;88,0 %;88,0 %;;91 %;88,0 %;88,0 %;88,0 %;;84 %;0,0 %
MÅSØY;TROMS OG FINNMARK;99,8 %;49,6 %;99,6 %;100,0 %;99,8 %;99,8 %;100,0 %;100,0 %;100,0 %;99,8 %;99,8 %;99,8 %;;100,0 %;99,8 %;99,8 %;99,8 %;;100 %;99,8 %;99,8 %;99,8 %;;98 %;0,0 %
NESSEBY;TROMS OG FINNMARK;76,6 %;0,0 %;40,2 %;99,5 %;76,6 %;83,0 %;99,8 %;99,8 %;95,7 %;76,6 %;76,6 %;76,6 %;;95,7 %;76,6 %;76,6 %;76,6 %;;79 %;76,6 %;76,6 %;76,6 %;;86 %;0,0 %
NORDKAPP;TROMS OG FINNMARK;99,9 %;47,2 %;72,5 %;99,9 %;99,9 %;100,0 %;100,0 %;100,0 %;100,0 %;99,9 %;99,9 %;99,9 %;;100,0 %;99,9 %;99,9 %;99,9 %;;100 %;99,9 %;99,9 %;99,9 %;;99 %;0,0 %
NORDREISA;TROMS OG FINNMARK;84,3 %;0,0 %;69,0 %;97,9 %;84,3 %;93,6 %;99,5 %;99,7 %;97,3 %;84,3 %;84,3 %;84,3 %;;97,3 %;84,3 %;84,3 %;84,3 %;;88 %;84,3 %;84,3 %;84,3 %;;88 %;0,0 %
PORSANGER;TROMS OG FINNMARK;99,4 %;22,3 %;79,9 %;97,2 %;99,4 %;99,7 %;100,0 %;100,0 %;99,9 %;99,4 %;99,4 %;99,4 %;;99,9 %;99,4 %;99,4 %;99,4 %;;100 %;99,4 %;99,4 %;99,4 %;;85 %;0,0 %
SALANGEN;TROMS OG FINNMARK;93,7 %;0,0 %;76,0 %;50,5 %;93,7 %;97,5 %;98,1 %;99,3 %;96,5 %;93,7 %;93,7 %;93,7 %;;96,4 %;93,7 %;93,7 %;93,7 %;;94 %;93,7 %;93,7 %;93,7 %;;46 %;0,0 %
SENJA;TROMS OG FINNMARK;89,9 %;0,2 %;86,1 %;89,3 %;89,9 %;98,4 %;99,4 %;99,7 %;98,7 %;89,9 %;89,9 %;89,9 %;;98,5 %;89,9 %;89,9 %;89,9 %;;93 %;89,9 %;89,9 %;89,9 %;;83 %;0,0 %
SKJERVØY;TROMS OG FINNMARK;78,8 %;0,0 %;81,5 %;99,8 %;78,8 %;94,1 %;99,8 %;99,8 %;99,1 %;78,8 %;78,8 %;78,8 %;;99,1 %;78,8 %;78,8 %;78,8 %;;88 %;78,8 %;78,8 %;78,8 %;;98 %;0,0 %
STORFJORD;TROMS OG FINNMARK;68,0 %;6,5 %;72,5 %;91,2 %;74,4 %;93,0 %;97,5 %;98,9 %;93,1 %;74,4 %;68,0 %;68,0 %;;92,2 %;74,4 %;68,0 %;68,0 %;;81 %;74,4 %;68,0 %;68,0 %;;65 %;0,0 %
SØR-VARANGER;TROMS OG FINNMARK;92,9 %;0,0 %;76,6 %;98,9 %;92,9 %;94,3 %;99,7 %;99,7 %;99,1 %;92,9 %;92,9 %;92,9 %;;99,1 %;92,9 %;92,9 %;92,9 %;;93 %;92,9 %;92,9 %;92,9 %;;97 %;0,1 %
SØRREISA;TROMS OG FINNMARK;65,4 %;0,0 %;85,8 %;92,5 %;65,4 %;96,0 %;97,7 %;99,8 %;93,4 %;65,4 %;65,4 %;65,4 %;;92,0 %;65,4 %;65,4 %;65,4 %;;75 %;65,4 %;65,4 %;65,4 %;;78 %;0,0 %
TANA;TROMS OG FINNMARK;79,5 %;0,0 %;56,9 %;94,0 %;79,5 %;88,1 %;97,8 %;97,9 %;93,3 %;79,5 %;79,5 %;79,5 %;;92,8 %;79,5 %;79,5 %;79,5 %;;81 %;79,5 %;79,5 %;79,5 %;;74 %;0,0 %
TJELDSUND;TROMS OG FINNMARK;75,4 %;0,0 %;76,0 %;85,2 %;75,4 %;91,0 %;98,5 %;99,6 %;95,1 %;75,4 %;75,4 %;75,4 %;;94,8 %;75,4 %;75,4 %;75,4 %;;80 %;75,4 %;75,4 %;75,4 %;;73 %;0,0 %
TROMSØ;TROMS OG FINNMARK;92,1 %;61,4 %;92,6 %;93,4 %;97,7 %;99,5 %;100,0 %;100,0 %;100,0 %;99,0 %;97,7 %;92,1 %;;100,0 %;99,0 %;97,7 %;92,1 %;;98 %;97,7 %;97,7 %;92,1 %;;92 %;42,4 %
VADSØ;TROMS OG FINNMARK;95,0 %;0,1 %;94,4 %;100,0 %;95,0 %;97,7 %;100,0 %;100,0 %;100,0 %;95,0 %;95,0 %;95,0 %;;100,0 %;95,0 %;95,0 %;95,0 %;;96 %;95,0 %;95,0 %;95,0 %;;100 %;0,0 %
VARDØ;TROMS OG FINNMARK;99,1 %;0,1 %;88,4 %;100,0 %;99,1 %;99,5 %;100,0 %;100,0 %;100,0 %;99,1 %;99,1 %;99,1 %;;100,0 %;99,1 %;99,1 %;99,1 %;;99 %;99,1 %;99,1 %;99,1 %;;100 %;0,0 %
FLATANGER;TRØNDELAG;45,7 %;0,0 %;81,1 %;56,3 %;45,7 %;87,3 %;88,7 %;96,1 %;82,6 %;45,7 %;45,7 %;45,7 %;;79,7 %;45,7 %;45,7 %;45,7 %;;55 %;45,7 %;45,7 %;45,7 %;;36 %;0,0 %
FROSTA;TRØNDELAG;96,1 %;0,0 %;83,6 %;95,7 %;96,1 %;98,5 %;100,0 %;100,0 %;99,6 %;96,1 %;96,1 %;96,1 %;;99,6 %;96,1 %;96,1 %;96,1 %;;96 %;96,1 %;96,1 %;96,1 %;;85 %;0,0 %
FRØYA;TRØNDELAG;55,7 %;0,0 %;75,9 %;45,4 %;55,7 %;83,6 %;89,9 %;94,8 %;82,2 %;60,4 %;55,7 %;55,7 %;;81,4 %;60,4 %;55,7 %;55,7 %;;64 %;55,7 %;55,7 %;55,7 %;;37 %;4,7 %
GRONG;TRØNDELAG;95,6 %;0,0 %;83,4 %;99,0 %;95,6 %;97,8 %;100,0 %;100,0 %;99,3 %;95,6 %;95,6 %;95,6 %;;99,2 %;95,6 %;95,6 %;95,6 %;;96 %;95,6 %;95,6 %;95,6 %;;92 %;0,0 %
HEIM;TRØNDELAG;85,8 %;7,9 %;69,7 %;98,1 %;85,8 %;95,3 %;99,0 %;99,6 %;96,3 %;85,8 %;85,8 %;85,8 %;;96,2 %;85,8 %;85,8 %;85,8 %;;87 %;85,8 %;85,8 %;85,8 %;;90 %;0,0 %
HITRA;TRØNDELAG;48,6 %;0,0 %;87,6 %;74,8 %;48,6 %;93,5 %;94,0 %;99,0 %;89,4 %;48,7 %;48,6 %;48,6 %;;86,0 %;48,7 %;48,6 %;48,6 %;;64 %;48,6 %;48,6 %;48,6 %;;65 %;0,0 %
HOLTÅLEN;TRØNDELAG;74,7 %;0,1 %;65,9 %;98,7 %;74,7 %;88,9 %;99,9 %;99,9 %;99,0 %;74,7 %;74,7 %;74,7 %;;99,0 %;74,7 %;74,7 %;74,7 %;;79 %;74,7 %;74,7 %;74,7 %;;94 %;0,0 %
HØYLANDET;TRØNDELAG;84,6 %;0,0 %;75,2 %;99,8 %;84,6 %;99,4 %;99,8 %;99,8 %;96,9 %;84,6 %;84,6 %;84,6 %;;96,9 %;84,6 %;84,6 %;84,6 %;;88 %;84,6 %;84,6 %;84,6 %;;67 %;0,0 %
INDERØY;TRØNDELAG;94,1 %;0,0 %;89,0 %;99,3 %;94,1 %;98,2 %;99,8 %;100,0 %;99,1 %;94,1 %;94,1 %;94,1 %;;99,1 %;94,1 %;94,1 %;94,1 %;;95 %;94,1 %;94,1 %;94,1 %;;94 %;0,0 %
INDRE FOSEN;TRØNDELAG;26,6 %;0,0 %;81,9 %;90,6 %;26,6 %;85,6 %;96,2 %;98,5 %;88,3 %;26,8 %;26,6 %;26,6 %;;87,7 %;26,8 %;26,6 %;26,6 %;;43 %;26,6 %;26,6 %;26,6 %;;80 %;0,2 %
LEKA;TRØNDELAG;82,5 %;0,0 %;59,9 %;99,6 %;82,5 %;90,0 %;99,6 %;99,6 %;96,3 %;82,5 %;82,5 %;82,5 %;;96,3 %;82,5 %;82,5 %;82,5 %;;83 %;82,5 %;82,5 %;82,5 %;;86 %;0,0 %
LEVANGER;TRØNDELAG;90,7 %;23,3 %;87,9 %;90,7 %;91,9 %;97,9 %;99,3 %;99,9 %;98,1 %;91,9 %;91,9 %;90,7 %;;98,0 %;91,9 %;91,9 %;90,7 %;;93 %;91,9 %;91,9 %;90,7 %;;86 %;0,0 %
LIERNE;TRØNDELAG;85,9 %;0,0 %;29,0 %;94,3 %;85,9 %;87,2 %;96,0 %;96,0 %;91,8 %;85,9 %;85,9 %;85,9 %;;91,8 %;85,9 %;85,9 %;85,9 %;;86 %;85,9 %;85,9 %;85,9 %;;64 %;0,0 %
MALVIK;TRØNDELAG;91,3 %;45,1 %;93,6 %;86,6 %;96,8 %;99,6 %;99,8 %;100,0 %;99,7 %;96,8 %;96,8 %;91,3 %;;99,7 %;96,8 %;96,8 %;91,3 %;;98 %;96,8 %;96,8 %;91,3 %;;85 %;0,3 %
MELHUS;TRØNDELAG;84,4 %;3,5 %;87,8 %;72,2 %;86,0 %;96,4 %;99,6 %;99,8 %;99,2 %;87,0 %;86,0 %;84,4 %;;98,9 %;87,0 %;86,0 %;84,4 %;;89 %;86,0 %;86,0 %;84,4 %;;68 %;2,2 %
MERÅKER;TRØNDELAG;91,3 %;0,0 %;82,2 %;99,7 %;91,3 %;95,6 %;99,7 %;100,0 %;98,0 %;91,3 %;91,3 %;91,3 %;;98,0 %;91,3 %;91,3 %;91,3 %;;92 %;91,3 %;91,3 %;91,3 %;;95 %;0,0 %
MIDTRE GAULDAL;TRØNDELAG;49,8 %;0,0 %;62,1 %;79,7 %;49,8 %;70,5 %;94,0 %;94,6 %;89,4 %;49,8 %;49,8 %;49,8 %;;88,9 %;49,8 %;49,8 %;49,8 %;;53 %;49,8 %;49,8 %;49,8 %;;73 %;0,0 %
NAMSOS;TRØNDELAG;88,8 %;44,2 %;85,7 %;94,7 %;90,8 %;96,9 %;99,0 %;99,4 %;96,9 %;90,8 %;90,8 %;88,8 %;;96,8 %;90,8 %;90,8 %;88,8 %;;92 %;90,8 %;90,8 %;88,8 %;;88 %;0,0 %
NAMSSKOGAN;TRØNDELAG;97,9 %;0,0 %;60,6 %;79,9 %;97,9 %;99,0 %;99,5 %;99,5 %;99,2 %;97,9 %;97,9 %;97,9 %;;99,2 %;97,9 %;97,9 %;97,9 %;;99 %;97,9 %;97,9 %;97,9 %;;63 %;0,0 %
NÆRØYSUND;TRØNDELAG;83,7 %;0,0 %;73,2 %;95,8 %;83,7 %;91,6 %;98,9 %;99,4 %;95,0 %;83,7 %;83,7 %;83,7 %;;94,7 %;83,7 %;83,7 %;83,7 %;;85 %;83,7 %;83,7 %;83,7 %;;86 %;0,0 %
OPPDAL;TRØNDELAG;77,5 %;0,2 %;80,7 %;99,3 %;77,6 %;91,2 %;99,7 %;99,9 %;99,1 %;78,3 %;77,6 %;77,5 %;;99,1 %;78,3 %;77,6 %;77,5 %;;79 %;77,6 %;77,6 %;77,5 %;;97 %;1,9 %
ORKLAND;TRØNDELAG;79,6 %;38,2 %;84,2 %;82,9 %;81,6 %;92,4 %;99,0 %;99,6 %;97,3 %;81,6 %;81,6 %;79,6 %;;97,2 %;81,6 %;81,6 %;79,6 %;;84 %;81,6 %;81,6 %;79,6 %;;79 %;0,0 %
OSEN;TRØNDELAG;75,3 %;0,0 %;88,9 %;38,9 %;75,3 %;92,7 %;94,0 %;98,9 %;95,6 %;75,3 %;75,3 %;75,3 %;;87,1 %;75,3 %;75,3 %;75,3 %;;87 %;75,3 %;75,3 %;75,3 %;;14 %;0,0 %
OVERHALLA;TRØNDELAG;84,4 %;0,0 %;92,5 %;98,1 %;84,4 %;98,9 %;99,2 %;100,0 %;98,2 %;84,4 %;84,4 %;84,4 %;;98,1 %;84,4 %;84,4 %;84,4 %;;88 %;84,4 %;84,4 %;84,4 %;;85 %;0,0 %
RENNEBU;TRØNDELAG;64,3 %;3,9 %;70,5 %;95,7 %;66,3 %;81,5 %;96,6 %;98,7 %;94,7 %;66,3 %;66,3 %;64,3 %;;92,8 %;66,3 %;66,3 %;64,3 %;;73 %;66,3 %;66,3 %;64,3 %;;87 %;0,0 %
RINDAL;TRØNDELAG;81,3 %;0,0 %;65,4 %;97,4 %;81,3 %;91,6 %;99,5 %;99,6 %;97,9 %;81,3 %;81,3 %;81,3 %;;97,8 %;81,3 %;81,3 %;81,3 %;;83 %;81,3 %;81,3 %;81,3 %;;82 %;0,0 %
RØROS;TRØNDELAG;81,4 %;50,4 %;82,6 %;99,5 %;81,4 %;88,2 %;99,6 %;99,9 %;99,4 %;81,4 %;81,4 %;81,4 %;;99,2 %;81,4 %;81,4 %;81,4 %;;83 %;81,4 %;81,4 %;81,4 %;;95 %;0,0 %
RØYRVIK;TRØNDELAG;80,6 %;0,0 %;59,7 %;95,9 %;80,6 %;84,2 %;97,4 %;98,0 %;88,8 %;80,6 %;80,6 %;80,6 %;;88,3 %;80,6 %;80,6 %;80,6 %;;81 %;80,6 %;80,6 %;80,6 %;;26 %;0,0 %
SELBU;TRØNDELAG;73,6 %;3,6 %;61,2 %;97,3 %;73,6 %;93,3 %;98,7 %;99,4 %;97,2 %;73,6 %;73,6 %;73,6 %;;97,2 %;73,6 %;73,6 %;73,6 %;;76 %;73,6 %;73,6 %;73,6 %;;92 %;0,0 %
SKAUN;TRØNDELAG;84,4 %;33,9 %;89,6 %;74,3 %;88,7 %;97,4 %;99,8 %;99,9 %;99,7 %;88,7 %;88,7 %;84,4 %;;99,7 %;88,7 %;88,7 %;84,4 %;;91 %;88,7 %;88,7 %;84,4 %;;73 %;0,1 %
SNÅSA;TRØNDELAG;96,4 %;0,0 %;70,1 %;99,3 %;96,4 %;97,9 %;99,8 %;99,8 %;99,0 %;96,4 %;96,4 %;96,4 %;;99,0 %;96,4 %;96,4 %;96,4 %;;97 %;96,4 %;96,4 %;96,4 %;;81 %;0,0 %
STEINKJER;TRØNDELAG;95,2 %;38,6 %;84,6 %;89,1 %;98,4 %;99,5 %;99,9 %;99,9 %;99,7 %;98,4 %;98,4 %;95,2 %;;99,7 %;98,4 %;98,4 %;95,2 %;;99 %;98,4 %;98,4 %;95,2 %;;82 %;0,0 %
STJØRDAL;TRØNDELAG;91,4 %;42,7 %;88,1 %;97,0 %;96,1 %;99,1 %;99,8 %;100,0 %;99,6 %;96,2 %;96,1 %;91,4 %;;99,5 %;96,2 %;96,1 %;91,4 %;;97 %;96,1 %;96,1 %;91,4 %;;94 %;0,4 %
TRONDHEIM;TRØNDELAG;76,8 %;66,9 %;93,8 %;93,8 %;97,6 %;99,6 %;99,9 %;100,0 %;99,8 %;99,1 %;97,6 %;76,8 %;;99,8 %;99,1 %;97,6 %;76,8 %;;98 %;97,6 %;97,6 %;76,8 %;;94 %;81,7 %
TYDAL;TRØNDELAG;57,7 %;4,5 %;76,9 %;99,2 %;57,7 %;80,6 %;99,2 %;99,2 %;97,7 %;57,7 %;57,7 %;57,7 %;;97,7 %;57,7 %;57,7 %;57,7 %;;68 %;57,7 %;57,7 %;57,7 %;;96 %;0,0 %
VERDAL;TRØNDELAG;85,4 %;50,0 %;89,4 %;99,7 %;94,6 %;96,6 %;100,0 %;100,0 %;99,5 %;94,6 %;85,4 %;85,4 %;;99,5 %;94,6 %;85,4 %;85,4 %;;95 %;94,6 %;85,4 %;85,4 %;;96 %;0,0 %
ÅFJORD;TRØNDELAG;46,2 %;0,0 %;84,6 %;83,5 %;46,2 %;88,8 %;93,5 %;98,5 %;88,5 %;46,2 %;46,2 %;46,2 %;;84,8 %;46,2 %;46,2 %;46,2 %;;62 %;46,2 %;46,2 %;46,2 %;;74 %;0,0 %
ØRLAND;TRØNDELAG;77,8 %;19,7 %;80,5 %;86,3 %;80,7 %;90,2 %;98,4 %;99,7 %;95,8 %;80,7 %;80,7 %;77,8 %;;95,7 %;80,7 %;80,7 %;77,8 %;;82 %;80,7 %;80,7 %;77,8 %;;80 %;0,0 %
BAMBLE;VESTFOLD OG TELEMARK;89,1 %;60,1 %;88,2 %;76,3 %;96,8 %;99,5 %;99,8 %;99,9 %;99,5 %;96,8 %;96,8 %;89,1 %;;99,5 %;96,8 %;96,8 %;89,1 %;;97 %;96,8 %;96,8 %;89,1 %;;75 %;0,0 %
DRANGEDAL;VESTFOLD OG TELEMARK;86,7 %;0,0 %;59,5 %;99,5 %;86,7 %;95,9 %;99,9 %;99,9 %;98,1 %;86,7 %;86,7 %;86,7 %;;98,1 %;86,7 %;86,7 %;86,7 %;;88 %;86,7 %;86,7 %;86,7 %;;79 %;0,0 %
FYRESDAL;VESTFOLD OG TELEMARK;76,4 %;0,2 %;49,1 %;96,2 %;76,6 %;84,8 %;98,8 %;99,5 %;93,7 %;76,6 %;76,6 %;76,4 %;;93,7 %;76,6 %;76,6 %;76,4 %;;78 %;76,6 %;76,6 %;76,4 %;;75 %;0,0 %
FÆRDER;VESTFOLD OG TELEMARK;90,1 %;43,5 %;94,7 %;64,5 %;96,8 %;99,9 %;100,0 %;100,0 %;99,8 %;96,8 %;96,8 %;90,1 %;;99,8 %;96,8 %;96,8 %;90,1 %;;97 %;96,8 %;96,8 %;90,1 %;;64 %;4,2 %
HJARTDAL;VESTFOLD OG TELEMARK;71,3 %;0,1 %;87,5 %;95,8 %;71,3 %;97,1 %;99,1 %;99,7 %;95,0 %;71,3 %;71,3 %;71,3 %;;94,6 %;71,3 %;71,3 %;71,3 %;;77 %;71,3 %;71,3 %;71,3 %;;74 %;0,0 %
HOLMESTRAND;VESTFOLD OG TELEMARK;77,1 %;28,2 %;91,8 %;57,3 %;84,9 %;98,7 %;98,1 %;99,7 %;96,0 %;84,9 %;84,9 %;77,1 %;;95,5 %;84,9 %;84,9 %;77,1 %;;87 %;84,9 %;84,9 %;77,1 %;;52 %;0,0 %
HORTEN;VESTFOLD OG TELEMARK;80,4 %;46,3 %;97,0 %;69,9 %;92,6 %;99,8 %;99,7 %;100,0 %;99,5 %;92,6 %;92,6 %;80,4 %;;99,4 %;92,6 %;92,6 %;80,4 %;;95 %;92,6 %;92,6 %;80,4 %;;69 %;0,0 %
KRAGERØ;VESTFOLD OG TELEMARK;95,1 %;38,7 %;93,7 %;88,7 %;95,5 %;99,5 %;99,8 %;100,0 %;99,3 %;95,5 %;95,5 %;95,1 %;;99,3 %;95,5 %;95,5 %;95,1 %;;96 %;95,5 %;95,5 %;95,1 %;;87 %;0,0 %
KVITESEID;VESTFOLD OG TELEMARK;76,4 %;0,2 %;66,6 %;99,1 %;76,5 %;90,7 %;99,7 %;99,9 %;92,8 %;76,5 %;76,5 %;76,4 %;;92,3 %;76,5 %;76,5 %;76,4 %;;81 %;76,5 %;76,5 %;76,4 %;;53 %;0,0 %
LARVIK;VESTFOLD OG TELEMARK;75,1 %;52,3 %;96,0 %;59,8 %;91,9 %;99,4 %;99,1 %;99,9 %;98,2 %;92,1 %;91,8 %;75,1 %;;98,1 %;92,1 %;91,8 %;75,1 %;;93 %;91,9 %;91,8 %;75,1 %;;57 %;2,7 %
MIDT-TELEMARK;VESTFOLD OG TELEMARK;87,4 %;3,6 %;90,7 %;64,7 %;87,4 %;98,4 %;97,1 %;99,9 %;96,6 %;87,4 %;87,4 %;87,4 %;;96,2 %;87,4 %;87,4 %;87,4 %;;89 %;87,4 %;87,4 %;87,4 %;;61 %;0,0 %
NISSEDAL;VESTFOLD OG TELEMARK;68,7 %;0,0 %;83,9 %;83,5 %;68,7 %;95,0 %;96,4 %;99,2 %;96,5 %;68,7 %;68,7 %;68,7 %;;95,0 %;68,7 %;68,7 %;68,7 %;;75 %;68,7 %;68,7 %;68,7 %;;76 %;0,0 %
NOME;VESTFOLD OG TELEMARK;86,7 %;0,1 %;94,4 %;39,5 %;86,7 %;99,1 %;94,8 %;99,8 %;94,5 %;86,7 %;86,7 %;86,7 %;;93,6 %;86,7 %;86,7 %;86,7 %;;90 %;86,7 %;86,7 %;86,7 %;;30 %;0,0 %
NOTODDEN;VESTFOLD OG TELEMARK;97,4 %;0,0 %;93,0 %;87,2 %;97,4 %;99,6 %;99,9 %;100,0 %;99,4 %;97,4 %;97,4 %;97,4 %;;99,4 %;97,4 %;97,4 %;97,4 %;;98 %;97,4 %;97,4 %;97,4 %;;84 %;0,0 %
PORSGRUNN;VESTFOLD OG TELEMARK;75,3 %;68,1 %;93,5 %;78,3 %;96,6 %;99,4 %;100,0 %;100,0 %;99,9 %;96,6 %;96,6 %;75,3 %;;99,9 %;96,6 %;96,6 %;75,3 %;;97 %;96,6 %;96,6 %;75,3 %;;78 %;0,0 %
SANDEFJORD;VESTFOLD OG TELEMARK;93,6 %;53,4 %;96,1 %;87,7 %;96,1 %;99,6 %;99,7 %;100,0 %;98,9 %;96,2 %;95,8 %;93,6 %;;98,9 %;96,2 %;95,8 %;93,6 %;;97 %;96,1 %;95,8 %;93,6 %;;86 %;10,7 %
SELJORD;VESTFOLD OG TELEMARK;72,2 %;0,4 %;88,1 %;96,1 %;72,3 %;94,1 %;98,7 %;99,9 %;95,6 %;72,3 %;72,3 %;72,2 %;;95,0 %;72,3 %;72,3 %;72,2 %;;78 %;72,3 %;72,3 %;72,2 %;;77 %;0,0 %
SILJAN;VESTFOLD OG TELEMARK;94,2 %;0,0 %;95,7 %;8,3 %;94,2 %;99,8 %;98,8 %;99,9 %;99,4 %;94,2 %;94,2 %;94,2 %;;98,4 %;94,2 %;94,2 %;94,2 %;;99 %;94,2 %;94,2 %;94,2 %;;7 %;0,0 %
SKIEN;VESTFOLD OG TELEMARK;80,8 %;67,8 %;84,2 %;76,5 %;97,0 %;99,6 %;99,8 %;99,9 %;99,7 %;97,0 %;97,0 %;80,8 %;;99,7 %;97,0 %;97,0 %;80,8 %;;98 %;97,0 %;97,0 %;80,8 %;;76 %;0,0 %
TINN;VESTFOLD OG TELEMARK;87,9 %;59,5 %;87,8 %;98,0 %;94,7 %;98,9 %;99,8 %;99,9 %;99,2 %;94,7 %;94,6 %;87,9 %;;99,2 %;94,7 %;94,6 %;87,9 %;;96 %;94,7 %;94,6 %;87,9 %;;95 %;0,0 %
TOKKE;VESTFOLD OG TELEMARK;77,6 %;0,0 %;61,8 %;98,6 %;77,6 %;90,1 %;99,7 %;100,0 %;94,2 %;77,6 %;77,6 %;77,6 %;;94,1 %;77,6 %;77,6 %;77,6 %;;83 %;77,6 %;77,6 %;77,6 %;;84 %;0,0 %
TØNSBERG;VESTFOLD OG TELEMARK;83,0 %;42,9 %;93,2 %;68,8 %;93,2 %;99,5 %;99,1 %;99,9 %;97,8 %;93,2 %;93,2 %;83,0 %;;97,7 %;93,2 %;93,2 %;83,0 %;;94 %;93,2 %;93,2 %;83,0 %;;65 %;0,0 %
VINJE;VESTFOLD OG TELEMARK;83,9 %;0,3 %;62,0 %;93,8 %;83,9 %;90,6 %;98,8 %;99,8 %;96,3 %;83,9 %;83,9 %;83,9 %;;95,7 %;83,9 %;83,9 %;83,9 %;;86 %;83,9 %;83,9 %;83,9 %;;81 %;0,0 %
