Dekning for fast bredbånd på kommunenivå;;;;;;;;;;;;;;;;;;;;;;;;;;
Tettbygd og spredtbygd samlet;;;;;;;;;;;;;;;;;;;;;;;;;;
Mobildekning (4G og 5G) er ikke inkludert i disse tabellene;;Teknologidekning;;;;;;;;Hastighet - alle teknologier på fast bredbånd;;;;;Hastighet uten DSL;;;;;Hastighet i kablede nett;;;;;Hastighet for FTB;
Kommune;Fylke;Fiber;Kabel-TV-nett;DSL;FTB;Fiber + kabel-TV-nett;Fiber + kabel-TV-nett + DSL;Fiber + kabel-TV-nett + FTB;Fast bredbånd totalt;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100
NORD-AURDAL;INNLANDET;75,2 %;0,0 %;92,9 %;68,6 %;75,2 %;97,2 %;93,6 %;99,2 %;92,7 %;75,2 %;75,2 %;75,2 %;;92,0 %;75,2 %;75,2 %;75,2 %;;79 %;75,2 %;75,2 %;75,2 %;;66 %;0,0 %
NORD-FRON;INNLANDET;84,7 %;0,0 %;89,3 %;66,8 %;84,7 %;98,6 %;94,2 %;99,7 %;95,6 %;84,8 %;84,7 %;84,7 %;;93,2 %;84,8 %;84,7 %;84,7 %;;88 %;84,7 %;84,7 %;84,7 %;;57 %;0,0 %
NORD-ODAL;INNLANDET;83,6 %;0,0 %;92,1 %;85,8 %;83,6 %;97,8 %;96,7 %;99,3 %;95,2 %;86,0 %;83,6 %;83,6 %;;94,9 %;86,0 %;83,6 %;83,6 %;;87 %;83,6 %;83,6 %;83,6 %;;74 %;8,8 %
NORDRE LAND;INNLANDET;88,8 %;0,0 %;86,3 %;36,4 %;88,8 %;99,0 %;94,7 %;99,3 %;94,9 %;89,2 %;88,8 %;88,8 %;;94,6 %;89,2 %;88,8 %;88,8 %;;90 %;88,8 %;88,8 %;88,8 %;;31 %;2,8 %
OS (INNLANDET);INNLANDET;78,0 %;0,6 %;82,1 %;95,4 %;78,0 %;86,2 %;95,8 %;99,3 %;97,7 %;78,0 %;78,0 %;78,0 %;;97,7 %;78,0 %;78,0 %;78,0 %;;81 %;78,0 %;78,0 %;78,0 %;;89 %;0,0 %
RENDALEN;INNLANDET;85,4 %;0,0 %;67,8 %;97,9 %;85,4 %;96,7 %;99,8 %;99,8 %;98,9 %;85,4 %;85,4 %;85,4 %;;98,7 %;85,4 %;85,4 %;85,4 %;;87 %;85,4 %;85,4 %;85,4 %;;81 %;0,0 %
RINGEBU;INNLANDET;77,1 %;0,9 %;88,1 %;85,0 %;77,2 %;93,4 %;98,6 %;99,8 %;99,5 %;88,2 %;77,1 %;77,1 %;;99,5 %;88,2 %;77,1 %;77,1 %;;80 %;77,2 %;77,1 %;77,1 %;;82 %;47,6 %
RINGSAKER;INNLANDET;80,3 %;32,6 %;89,9 %;66,3 %;83,4 %;97,3 %;95,3 %;99,7 %;93,0 %;84,3 %;83,4 %;80,3 %;;92,3 %;84,3 %;83,4 %;80,3 %;;85 %;83,4 %;83,4 %;80,3 %;;57 %;3,7 %
SEL;INNLANDET;80,3 %;0,0 %;89,2 %;84,3 %;80,3 %;93,4 %;99,5 %;99,9 %;96,7 %;80,3 %;80,3 %;80,3 %;;96,7 %;80,3 %;80,3 %;80,3 %;;82 %;80,3 %;80,3 %;80,3 %;;75 %;0,0 %
SKJÅK;INNLANDET;92,7 %;0,0 %;91,7 %;98,7 %;92,7 %;98,5 %;99,9 %;100,0 %;99,5 %;92,7 %;92,7 %;92,7 %;;99,5 %;92,7 %;92,7 %;92,7 %;;94 %;92,7 %;92,7 %;92,7 %;;85 %;0,0 %
STANGE;INNLANDET;86,6 %;22,9 %;86,8 %;76,7 %;90,4 %;98,5 %;97,7 %;99,7 %;96,3 %;90,7 %;90,4 %;86,6 %;;96,0 %;90,7 %;90,4 %;86,6 %;;92 %;90,4 %;90,4 %;86,6 %;;65 %;5,5 %
STOR-ELVDAL;INNLANDET;55,7 %;0,0 %;83,6 %;90,5 %;55,7 %;87,5 %;92,6 %;99,4 %;92,3 %;55,7 %;55,7 %;55,7 %;;92,2 %;55,7 %;55,7 %;55,7 %;;60 %;55,7 %;55,7 %;55,7 %;;86 %;0,0 %
SØNDRE LAND;INNLANDET;82,8 %;0,0 %;71,6 %;55,6 %;82,8 %;89,5 %;95,7 %;98,1 %;93,2 %;83,1 %;82,8 %;82,8 %;;92,3 %;83,1 %;82,8 %;82,8 %;;86 %;82,8 %;82,8 %;82,8 %;;47 %;4,2 %
SØR-AURDAL;INNLANDET;86,9 %;0,0 %;55,0 %;58,5 %;86,9 %;93,9 %;97,8 %;99,2 %;95,0 %;86,9 %;86,9 %;86,9 %;;94,9 %;86,9 %;86,9 %;86,9 %;;88 %;86,9 %;86,9 %;86,9 %;;52 %;0,0 %
SØR-FRON;INNLANDET;87,4 %;0,8 %;86,9 %;99,0 %;87,4 %;97,2 %;99,4 %;99,9 %;99,7 %;91,7 %;87,4 %;87,4 %;;99,7 %;91,7 %;87,4 %;87,4 %;;88 %;87,4 %;87,4 %;87,4 %;;98 %;7,6 %
SØR-ODAL;INNLANDET;79,3 %;2,5 %;89,6 %;82,0 %;79,3 %;96,5 %;92,2 %;98,7 %;86,2 %;79,8 %;79,3 %;79,3 %;;86,0 %;79,8 %;79,3 %;79,3 %;;81 %;79,3 %;79,3 %;79,3 %;;66 %;14,8 %
TOLGA;INNLANDET;91,3 %;0,0 %;55,0 %;82,6 %;91,3 %;95,2 %;98,8 %;98,9 %;98,6 %;91,3 %;91,3 %;91,3 %;;98,6 %;91,3 %;91,3 %;91,3 %;;94 %;91,3 %;91,3 %;91,3 %;;68 %;0,0 %
TRYSIL;INNLANDET;97,0 %;18,9 %;63,7 %;72,1 %;97,0 %;98,2 %;99,6 %;99,7 %;99,0 %;97,6 %;97,0 %;97,0 %;;99,0 %;97,6 %;97,0 %;97,0 %;;97 %;97,0 %;97,0 %;97,0 %;;59 %;29,2 %
TYNSET;INNLANDET;88,9 %;0,0 %;80,6 %;98,2 %;88,9 %;95,8 %;99,5 %;99,6 %;98,0 %;88,9 %;88,9 %;88,9 %;;97,9 %;88,9 %;88,9 %;88,9 %;;90 %;88,9 %;88,9 %;88,9 %;;95 %;0,0 %
VANG;INNLANDET;91,6 %;0,0 %;73,3 %;86,2 %;91,6 %;96,4 %;99,0 %;99,4 %;98,3 %;91,6 %;91,6 %;91,6 %;;98,3 %;91,6 %;91,6 %;91,6 %;;92 %;91,6 %;91,6 %;91,6 %;;79 %;0,0 %
VESTRE SLIDRE;INNLANDET;59,0 %;0,0 %;88,6 %;66,8 %;59,0 %;93,7 %;89,2 %;98,7 %;90,7 %;59,0 %;59,0 %;59,0 %;;88,6 %;59,0 %;59,0 %;59,0 %;;63 %;59,0 %;59,0 %;59,0 %;;66 %;0,0 %
VESTRE TOTEN;INNLANDET;79,5 %;51,8 %;90,2 %;40,0 %;89,3 %;98,8 %;95,9 %;99,6 %;95,0 %;89,3 %;79,5 %;79,5 %;;94,9 %;89,3 %;79,5 %;79,5 %;;90 %;89,3 %;79,5 %;79,5 %;;39 %;0,0 %
VÅGÅ;INNLANDET;79,8 %;0,0 %;88,2 %;42,5 %;79,8 %;97,2 %;92,5 %;99,2 %;90,2 %;79,8 %;79,8 %;79,8 %;;89,5 %;79,8 %;79,8 %;79,8 %;;82 %;79,8 %;79,8 %;79,8 %;;32 %;0,0 %
VÅLER (INNLANDET);INNLANDET;80,5 %;41,7 %;86,1 %;87,2 %;95,0 %;96,5 %;99,3 %;99,6 %;97,3 %;95,0 %;80,5 %;80,5 %;;97,2 %;95,0 %;80,5 %;80,5 %;;95 %;95,0 %;80,5 %;80,5 %;;71 %;0,7 %
ÅMOT;INNLANDET;87,3 %;34,2 %;90,3 %;67,4 %;90,2 %;96,1 %;98,4 %;99,3 %;98,3 %;91,6 %;90,2 %;87,3 %;;98,0 %;91,6 %;90,2 %;87,3 %;;91 %;90,2 %;90,2 %;87,3 %;;61 %;4,8 %
ÅSNES;INNLANDET;88,5 %;36,0 %;79,3 %;34,1 %;91,0 %;94,4 %;99,3 %;99,7 %;97,4 %;91,0 %;88,5 %;88,5 %;;97,4 %;91,0 %;88,5 %;88,5 %;;91 %;91,0 %;88,5 %;88,5 %;;31 %;0,0 %
ØSTRE TOTEN;INNLANDET;75,9 %;14,4 %;94,6 %;66,9 %;79,2 %;98,5 %;94,1 %;99,5 %;89,2 %;80,0 %;75,9 %;75,9 %;;88,3 %;80,0 %;75,9 %;75,9 %;;81 %;79,2 %;75,9 %;75,9 %;;50 %;4,3 %
ØYER;INNLANDET;59,7 %;17,0 %;87,6 %;70,2 %;61,4 %;90,3 %;88,0 %;95,7 %;86,6 %;64,5 %;61,4 %;59,7 %;;85,5 %;64,5 %;61,4 %;59,7 %;;66 %;61,4 %;61,4 %;59,7 %;;68 %;32,7 %
