Dekning for 4G og 5G på kommunenivå;;;;;;;;;
Tettbygd og spredtbygd samlet;;;;;;;;;
;;4G;;5G;;4G + 5G;;Tidligere års metode (- 110 dBm) (utendørsdekning);
Kommune;Fylke;≥ 30;≥ 100;≥ 30;≥ 100;≥ 30;≥ 100;4G;5G
AURE;MØRE OG ROMSDAL;93,5 %;30,0 %;0,0 %;0,0 %;93,5 %;30,0 %;100,0 %;8,2 %
AVERØY;MØRE OG ROMSDAL;97,5 %;48,9 %;30,5 %;0,0 %;97,5 %;48,9 %;100,0 %;81,7 %
FJORD;MØRE OG ROMSDAL;97,7 %;59,0 %;37,5 %;0,0 %;97,7 %;59,0 %;100,0 %;60,7 %
GISKE;MØRE OG ROMSDAL;94,9 %;59,9 %;0,0 %;0,0 %;94,9 %;59,9 %;100,0 %;98,0 %
GJEMNES;MØRE OG ROMSDAL;94,9 %;30,4 %;0,0 %;0,0 %;94,9 %;30,4 %;100,0 %;15,5 %
HAREID;MØRE OG ROMSDAL;99,5 %;79,4 %;0,0 %;0,0 %;99,5 %;79,4 %;100,0 %;95,7 %
HERØY;MØRE OG ROMSDAL;97,4 %;56,0 %;0,4 %;0,0 %;97,4 %;56,0 %;100,0 %;1,4 %
HUSTADVIKA;MØRE OG ROMSDAL;96,5 %;37,6 %;9,7 %;0,0 %;96,5 %;37,6 %;100,0 %;49,2 %
KRISTIANSUND;MØRE OG ROMSDAL;99,7 %;85,0 %;47,2 %;0,0 %;99,7 %;85,0 %;100,0 %;65,3 %
MOLDE;MØRE OG ROMSDAL;98,7 %;67,5 %;39,5 %;0,0 %;98,7 %;67,5 %;100,0 %;57,4 %
RAUMA;MØRE OG ROMSDAL;97,8 %;60,4 %;2,8 %;0,0 %;97,8 %;60,4 %;99,9 %;29,7 %
SANDE;MØRE OG ROMSDAL;96,6 %;42,9 %;0,0 %;0,0 %;96,6 %;42,9 %;100,0 %;0,0 %
SMØLA;MØRE OG ROMSDAL;81,4 %;40,2 %;10,5 %;0,0 %;81,4 %;40,2 %;100,0 %;68,3 %
STRANDA;MØRE OG ROMSDAL;97,4 %;68,0 %;22,0 %;0,0 %;97,4 %;68,0 %;99,4 %;80,1 %
SULA;MØRE OG ROMSDAL;99,9 %;69,3 %;14,8 %;2,1 %;99,9 %;70,0 %;100,0 %;99,5 %
SUNNDAL;MØRE OG ROMSDAL;98,6 %;61,2 %;0,0 %;0,0 %;98,6 %;61,2 %;100,0 %;0,0 %
SURNADAL;MØRE OG ROMSDAL;96,9 %;53,0 %;0,0 %;0,0 %;96,9 %;53,0 %;100,0 %;0,0 %
SYKKYLVEN;MØRE OG ROMSDAL;98,6 %;44,5 %;5,8 %;0,2 %;98,6 %;44,7 %;100,0 %;78,4 %
TINGVOLL;MØRE OG ROMSDAL;96,9 %;31,6 %;0,2 %;0,0 %;96,9 %;31,6 %;100,0 %;1,0 %
ULSTEIN;MØRE OG ROMSDAL;99,1 %;71,9 %;0,0 %;0,0 %;99,1 %;71,9 %;100,0 %;24,6 %
VANYLVEN;MØRE OG ROMSDAL;89,3 %;41,6 %;0,0 %;0,0 %;89,3 %;41,6 %;100,0 %;0,8 %
VESTNES;MØRE OG ROMSDAL;95,1 %;47,3 %;0,4 %;0,0 %;95,1 %;47,3 %;100,0 %;15,5 %
VOLDA;MØRE OG ROMSDAL;98,3 %;71,6 %;0,7 %;0,0 %;98,3 %;71,6 %;99,8 %;49,1 %
ÅLESUND;MØRE OG ROMSDAL;99,2 %;76,0 %;74,2 %;52,5 %;99,2 %;84,2 %;100,0 %;97,9 %
ØRSTA;MØRE OG ROMSDAL;99,1 %;75,1 %;5,1 %;0,0 %;99,1 %;75,1 %;100,0 %;21,4 %
ALSTAHAUG;NORDLAND;97,2 %;62,8 %;0,0 %;0,0 %;97,2 %;62,8 %;100,0 %;0,8 %
ANDØY;NORDLAND;94,6 %;57,8 %;2,1 %;0,0 %;94,6 %;57,8 %;100,0 %;14,4 %
BEIARN;NORDLAND;92,3 %;26,7 %;1,2 %;0,0 %;92,3 %;26,7 %;99,4 %;1,2 %
BINDAL;NORDLAND;95,6 %;61,8 %;16,0 %;0,0 %;95,6 %;61,8 %;100,0 %;19,7 %
BODØ;NORDLAND;99,5 %;85,8 %;69,7 %;64,4 %;99,5 %;89,6 %;100,0 %;79,1 %
BRØNNØY;NORDLAND;98,0 %;68,6 %;41,8 %;0,0 %;98,0 %;68,6 %;100,0 %;55,8 %
BØ;NORDLAND;96,1 %;59,2 %;0,0 %;0,0 %;96,1 %;59,2 %;100,0 %;0,0 %
DØNNA;NORDLAND;93,1 %;37,0 %;0,0 %;0,0 %;93,1 %;37,0 %;100,0 %;0,0 %
EVENES;NORDLAND;98,1 %;36,8 %;2,6 %;0,0 %;98,1 %;36,8 %;100,0 %;20,3 %
FAUSKE;NORDLAND;98,0 %;51,9 %;1,9 %;0,0 %;98,0 %;51,9 %;100,0 %;2,9 %
FLAKSTAD;NORDLAND;89,9 %;49,8 %;0,0 %;0,0 %;89,9 %;49,8 %;100,0 %;22,6 %
GILDESKÅL;NORDLAND;91,9 %;45,7 %;0,5 %;0,0 %;91,9 %;45,7 %;100,0 %;0,5 %
GRANE;NORDLAND;95,9 %;61,9 %;1,4 %;0,0 %;95,9 %;61,9 %;99,9 %;51,6 %
HADSEL;NORDLAND;95,1 %;76,3 %;0,0 %;0,0 %;95,1 %;76,3 %;100,0 %;0,0 %
HAMARØY;NORDLAND;94,1 %;38,4 %;2,4 %;0,0 %;94,1 %;38,4 %;100,0 %;14,4 %
HATTFJELLDAL;NORDLAND;76,6 %;52,7 %;5,8 %;0,0 %;76,6 %;52,7 %;96,2 %;68,0 %
HEMNES;NORDLAND;94,6 %;49,4 %;0,0 %;0,0 %;94,6 %;49,4 %;99,8 %;0,1 %
HERØY;NORDLAND;94,6 %;37,8 %;0,0 %;0,0 %;94,6 %;37,8 %;100,0 %;0,0 %
LEIRFJORD;NORDLAND;93,2 %;37,3 %;0,0 %;0,0 %;93,2 %;37,3 %;100,0 %;0,0 %
LURØY;NORDLAND;92,3 %;51,8 %;0,0 %;0,0 %;92,3 %;51,8 %;99,5 %;0,0 %
LØDINGEN;NORDLAND;96,7 %;73,6 %;0,0 %;0,0 %;96,7 %;73,6 %;100,0 %;30,6 %
MELØY;NORDLAND;95,0 %;62,2 %;0,0 %;0,0 %;95,0 %;62,2 %;99,8 %;0,0 %
MOSKENES;NORDLAND;100,0 %;91,6 %;0,0 %;0,0 %;100,0 %;91,6 %;100,0 %;0,0 %
NARVIK;NORDLAND;98,2 %;74,5 %;0,2 %;0,0 %;98,2 %;74,5 %;99,9 %;1,4 %
NESNA;NORDLAND;100,0 %;46,5 %;0,0 %;0,0 %;100,0 %;46,5 %;100,0 %;0,0 %
RANA;NORDLAND;99,0 %;76,3 %;22,7 %;0,0 %;99,0 %;76,3 %;100,0 %;25,5 %
RØDØY;NORDLAND;84,1 %;35,2 %;0,0 %;0,0 %;84,1 %;35,2 %;99,2 %;0,0 %
RØST;NORDLAND;96,3 %;49,4 %;0,0 %;0,0 %;96,3 %;49,4 %;100,0 %;0,0 %
SALTDAL;NORDLAND;97,8 %;46,8 %;0,0 %;0,0 %;97,8 %;46,8 %;99,6 %;0,0 %
SORTLAND;NORDLAND;97,9 %;64,0 %;0,0 %;0,0 %;97,9 %;64,0 %;100,0 %;1,3 %
STEIGEN;NORDLAND;81,4 %;27,9 %;11,6 %;0,0 %;81,4 %;27,9 %;100,0 %;12,8 %
SØMNA;NORDLAND;97,1 %;50,1 %;0,0 %;0,0 %;97,1 %;50,1 %;100,0 %;0,3 %
SØRFOLD;NORDLAND;98,5 %;53,7 %;5,6 %;0,0 %;98,5 %;53,7 %;99,9 %;6,8 %
