ssbid_250,year,populasjon
21915006585000,2001,28.0
21915006585500,2001,1.0
21915006596250,2001,2.0
21917506566250,2001,9.0
21917506566500,2001,8.0
21917506567000,2001,10.0
21917506567250,2001,6.0
21917506568500,2001,1.0
21917506572750,2001,16.0
21917506573000,2001,70.0
21917506573250,2001,87.0
21917506573500,2001,109.0
21917506573750,2001,126.0
21917506574000,2001,16.0
21917506574250,2001,15.0
21917506575000,2001,32.0
21917506575250,2001,149.0
21917506575500,2001,96.0
21917506575750,2001,68.0
21917506576000,2001,34.0
21917506576250,2001,79.0
21917506576500,2001,150.0
21917506576750,2001,165.0
21917506577000,2001,13.0
21917506578250,2001,5.0
21917506578500,2001,24.0
21917506578750,2001,33.0
21917506579000,2001,6.0
21917506579250,2001,12.0
21917506579500,2001,5.0
21917506580250,2001,6.0
21917506580750,2001,4.0
21917506581000,2001,6.0
21917506581250,2001,4.0
21917506581500,2001,6.0
21917506581750,2001,3.0
21917506582000,2001,7.0
21917506582250,2001,3.0
21917506583000,2001,5.0
21917506583750,2001,9.0
21917506584000,2001,2.0
21917506584250,2001,16.0
21917506584500,2001,3.0
21917506584750,2001,9.0
21917506585000,2001,16.0
21917506585250,2001,6.0
21920006567000,2001,4.0
21920006567750,2001,1.0
21920006568000,2001,7.0
21920006568250,2001,16.0
21920006571000,2001,3.0
21920006571250,2001,2.0
21920006571750,2001,5.0
21920006573250,2001,19.0
21920006573500,2001,173.0
21920006573750,2001,107.0
21920006574000,2001,3.0
21920006574250,2001,5.0
21920006574750,2001,4.0
21920006575000,2001,16.0
21920006575250,2001,54.0
21920006575500,2001,104.0
21920006575750,2001,134.0
21920006576000,2001,72.0
21920006576250,2001,163.0
21920006576500,2001,329.0
21920006576750,2001,197.0
21920006577000,2001,7.0
21920006577750,2001,1.0
21920006578000,2001,45.0
21920006578250,2001,23.0
21920006578500,2001,37.0
21920006578750,2001,11.0
21920006579750,2001,12.0
21920006580000,2001,2.0
21920006580250,2001,7.0
21920006580500,2001,16.0
21920006580750,2001,7.0
21920006581000,2001,1.0
21920006581250,2001,5.0
21920006581750,2001,1.0
21920006584500,2001,1.0
21920006584750,2001,5.0
21922506567750,2001,15.0
21922506568000,2001,12.0
21922506568250,2001,4.0
21922506571500,2001,3.0
21922506572000,2001,3.0
21922506572500,2001,4.0
21922506574000,2001,32.0
21922506574250,2001,7.0
21922506574750,2001,94.0
21922506575000,2001,121.0
21922506575250,2001,173.0
21922506575500,2001,116.0
21922506575750,2001,145.0
21922506576000,2001,30.0
21922506576250,2001,1.0
21922506576500,2001,31.0
21922506576750,2001,481.0
21922506577000,2001,25.0
21922506577250,2001,67.0
21922506577500,2001,31.0
21922506577750,2001,18.0
21922506578500,2001,2.0
21922506578750,2001,20.0
21922506579000,2001,41.0
21922506579250,2001,28.0
21922506579500,2001,54.0
21922506579750,2001,57.0
21922506580000,2001,31.0
21922506580250,2001,4.0
21922506580500,2001,5.0
21922506581000,2001,2.0
21922506581250,2001,1.0
21922506581750,2001,9.0
21922506582000,2001,4.0
21925006566500,2001,3.0
21925006567500,2001,1.0
21925006568500,2001,10.0
21925006569250,2001,3.0
21925006569500,2001,2.0
21925006570500,2001,5.0
21925006572500,2001,35.0
21925006572750,2001,54.0
21925006573000,2001,94.0
21925006573250,2001,143.0
21925006573500,2001,7.0
21925006573750,2001,8.0
21925006574000,2001,79.0
21925006574250,2001,14.0
21925006574750,2001,144.0
21925006575000,2001,172.0
21925006575250,2001,209.0
21925006575500,2001,156.0
21925006575750,2001,85.0
21925006576000,2001,168.0
21925006576250,2001,129.0
21925006576500,2001,32.0
21925006576750,2001,85.0
21925006577000,2001,89.0
21925006577250,2001,80.0
21925006577750,2001,17.0
21925006578000,2001,91.0
21925006578250,2001,101.0
21925006578500,2001,116.0
21925006578750,2001,32.0
21925006579000,2001,136.0
21925006579250,2001,112.0
21925006579500,2001,80.0
21925006580000,2001,2.0
21925006580250,2001,10.0
21925006580500,2001,1.0
21925006580750,2001,2.0
21925006581000,2001,2.0
21925006581500,2001,9.0
21925006582000,2001,8.0
21925006596000,2001,2.0
21927506566750,2001,27.0
21927506567000,2001,3.0
21927506567500,2001,2.0
21927506567750,2001,11.0
21927506568250,2001,7.0
21927506568500,2001,16.0
21927506568750,2001,50.0
21927506569000,2001,101.0
21927506569250,2001,270.0
21927506569500,2001,219.0
21927506570000,2001,5.0
21927506570500,2001,3.0
21927506571750,2001,12.0
21927506572000,2001,38.0
21927506572250,2001,16.0
21927506572500,2001,75.0
21927506572750,2001,53.0
21927506573000,2001,104.0
21927506573250,2001,45.0
21927506573500,2001,113.0
21927506573750,2001,35.0
