ogc_fid;pop_tot;ssbid250m
597;2;23382506653250
598;4;23382506654000
599;34;23390006653250
600;61;23392506653250
601;85;23390006653500
602;55;23392506653500
603;13;23392506653750
604;10;23390006653750
605;1;23395006654000
606;2;23395006654250
607;29;23395006654500
608;7;23395006654750
609;1;23417506652000
610;2;23420006652000
611;3;23422506652500
612;6;23420006652500
613;9;23422506652750
614;61;23402506652250
615;33;23405006652500
616;88;23402506652500
617;22;23402506652750
618;5;23407506653000
619;7;23412506652250
620;5;23415006652500
621;1;23415006652750
622;2;23410006652750
623;1;23415006653000
624;8;23410006653000
625;3;23420006652750
626;5;23422506653000
627;2;23417506653250
628;2;23405006653250
629;11;23407506653250
630;2;23402506653500
631;3;23407506653500
632;1;23405006653500
633;2;23405006653750
634;6;23402506653750
635;1;23402506654000
636;2;23410006653500
637;2;23415006653500
638;3;23412506653500
639;1;23415006653750
640;7;23420006653750
641;4;23420006654000
642;1;23420006654250
643;8;23405006654000
644;3;23422506654500
645;2;23462506653000
646;5;23452506652500
647;3;23455006652750
648;6;23457506653000
649;5;23455006653000
650;6;23457506653250
651;3;23452506653750
652;4;23455006654000
653;1;23445006653500
654;4;23450006653750
655;1;23445006653750
656;3;23450006654000
657;1;23447506654000
658;2;23445006654250
659;4;23450006654250
660;1;23450006654500
661;9;23452506654250
662;7;23455006654250
663;4;23452506654750
664;3;23425006653000
665;2;23425006653250
666;2;23432506653250
667;1;23432506653500
668;4;23437506653250
669;1;23437506653750
670;2;23425006653750
671;3;23425006654000
672;1;23425006654750
673;2;23442506654000
674;1;23442506654250
675;2;23442506654750
676;3;23437506654750
677;2;23442506655000
678;2;23437506655000
679;1;23440006655000
680;2;23440006655250
681;10;23392506654500
682;6;23392506654750
683;2;23385006654750
684;2;23382506654750
685;13;23382506655000
686;4;23382506655250
687;5;23382506655500
688;7;23397506655000
689;3;23395006655000
690;2;23400006655000
691;19;23395006655250
692;11;23397506655250
693;2;23395006655500
694;7;23400006655500
695;2;23392506655000
696;9;23392506655250
697;2;23382506655750
698;2;23392506655750
699;6;23392506656000
700;1;23400006655750
701;16;23400006656000
702;7;23395006656250
703;2;23397506656250
704;3;23400006656250
705;8;23400006656500
706;4;23395006656500
707;2;23395006656750
708;2;23400006656750
709;9;23395006657000
710;3;23400006657000
711;16;23395006657250
712;4;23382506657250
713;2;23385006657250
714;4;23385006657500
715;1;23382506657500
716;1;23445006655000
717;3;23450006655250
718;3;23447506655250
719;3;23455006655500
720;3;23517506651500
721;2;23525006652750
722;1;23515006652500
723;5;23515006652750
724;5;23515006653000
725;5;23527506653500
726;6;23512506651750
727;2;23512506652000
728;1;23510006652250
729;2;23512506652500
730;4;23512506652750
731;1;23512506653000
732;4;23510006653000
733;1;23512506653250
734;7;23510006653250
735;3;23510006653500
736;1;23497506653750
737;2;23505006653500
738;3;23505006653750
739;3;23502506654000
740;4;23505006654000
741;9;23502506654250
742;1;23505006654250
743;1;23502506654500
744;3;23495006654000
745;2;23497506654000
746;3;23500006654000
747;1;23500006654500
748;2;23495006654500
749;4;23492506655500
750;1;23472506655250
751;1;23477506655750
752;2;23530006653250
753;3;23530006653500
754;3;23535006654000
755;2;23535006654250
756;3;23530006654500
