municipality_code,municipality_name,year,age_interval,housing_demand
4001,Porsgrunn,2049,INTERVAL_80_INF,3376
4001,Porsgrunn,2050,INTERVAL_0_14,0
4001,Porsgrunn,2050,INTERVAL_15_19,66
4001,Porsgrunn,2050,INTERVAL_20_24,663
4001,Porsgrunn,2050,INTERVAL_25_29,917
4001,Porsgrunn,2050,INTERVAL_30_39,2448
4001,Porsgrunn,2050,INTERVAL_40_49,2937
4001,Porsgrunn,2050,INTERVAL_50_59,3405
4001,Porsgrunn,2050,INTERVAL_60_69,3270
4001,Porsgrunn,2050,INTERVAL_70_79,3184
4001,Porsgrunn,2050,INTERVAL_80_INF,3470
4003,Skien,2026,INTERVAL_0_14,0
4003,Skien,2026,INTERVAL_15_19,108
4003,Skien,2026,INTERVAL_20_24,868
4003,Skien,2026,INTERVAL_25_29,1509
4003,Skien,2026,INTERVAL_30_39,4177
4003,Skien,2026,INTERVAL_40_49,4262
4003,Skien,2026,INTERVAL_50_59,5076
4003,Skien,2026,INTERVAL_60_69,4584
4003,Skien,2026,INTERVAL_70_79,3987
4003,Skien,2026,INTERVAL_80_INF,2643
4003,Skien,2027,INTERVAL_0_14,0
4003,Skien,2027,INTERVAL_15_19,107
4003,Skien,2027,INTERVAL_20_24,876
4003,Skien,2027,INTERVAL_25_29,1468
4003,Skien,2027,INTERVAL_30_39,4212
4003,Skien,2027,INTERVAL_40_49,4300
4003,Skien,2027,INTERVAL_50_59,5033
4003,Skien,2027,INTERVAL_60_69,4635
4003,Skien,2027,INTERVAL_70_79,3975
4003,Skien,2027,INTERVAL_80_INF,2863
4003,Skien,2028,INTERVAL_0_14,0
4003,Skien,2028,INTERVAL_15_19,109
4003,Skien,2028,INTERVAL_20_24,881
4003,Skien,2028,INTERVAL_25_29,1439
4003,Skien,2028,INTERVAL_30_39,4184
4003,Skien,2028,INTERVAL_40_49,4394
4003,Skien,2028,INTERVAL_50_59,4969
4003,Skien,2028,INTERVAL_60_69,4703
4003,Skien,2028,INTERVAL_70_79,3999
4003,Skien,2028,INTERVAL_80_INF,3004
4003,Skien,2029,INTERVAL_0_14,0
4003,Skien,2029,INTERVAL_15_19,107
4003,Skien,2029,INTERVAL_20_24,888
4003,Skien,2029,INTERVAL_25_29,1431
4003,Skien,2029,INTERVAL_30_39,4121
4003,Skien,2029,INTERVAL_40_49,4507
4003,Skien,2029,INTERVAL_50_59,4910
4003,Skien,2029,INTERVAL_60_69,4740
4003,Skien,2029,INTERVAL_70_79,4065
4003,Skien,2029,INTERVAL_80_INF,3124
4003,Skien,2030,INTERVAL_0_14,0
4003,Skien,2030,INTERVAL_15_19,106
4003,Skien,2030,INTERVAL_20_24,897
4003,Skien,2030,INTERVAL_25_29,1416
4003,Skien,2030,INTERVAL_30_39,4077
4003,Skien,2030,INTERVAL_40_49,4603
4003,Skien,2030,INTERVAL_50_59,4830
4003,Skien,2030,INTERVAL_60_69,4826
4003,Skien,2030,INTERVAL_70_79,4088
4003,Skien,2030,INTERVAL_80_INF,3245
4003,Skien,2031,INTERVAL_0_14,0
4003,Skien,2031,INTERVAL_15_19,105
4003,Skien,2031,INTERVAL_20_24,891
4003,Skien,2031,INTERVAL_25_29,1419
4003,Skien,2031,INTERVAL_30_39,4036
4003,Skien,2031,INTERVAL_40_49,4673
4003,Skien,2031,INTERVAL_50_59,4760
4003,Skien,2031,INTERVAL_60_69,4937
4003,Skien,2031,INTERVAL_70_79,4088
4003,Skien,2031,INTERVAL_80_INF,3357
4003,Skien,2032,INTERVAL_0_14,0
4003,Skien,2032,INTERVAL_15_19,105
4003,Skien,2032,INTERVAL_20_24,889
4003,Skien,2032,INTERVAL_25_29,1431
4003,Skien,2032,INTERVAL_30_39,3974
4003,Skien,2032,INTERVAL_40_49,4733
4003,Skien,2032,INTERVAL_50_59,4728
4003,Skien,2032,INTERVAL_60_69,5019
4003,Skien,2032,INTERVAL_70_79,4116
4003,Skien,2032,INTERVAL_80_INF,3449
4003,Skien,2033,INTERVAL_0_14,0
4003,Skien,2033,INTERVAL_15_19,103
4003,Skien,2033,INTERVAL_20_24,895
4003,Skien,2033,INTERVAL_25_29,1445
4003,Skien,2033,INTERVAL_30_39,3919
4003,Skien,2033,INTERVAL_40_49,4773
4003,Skien,2033,INTERVAL_50_59,4683
4003,Skien,2033,INTERVAL_60_69,5081
4003,Skien,2033,INTERVAL_70_79,4156
4003,Skien,2033,INTERVAL_80_INF,3553
4003,Skien,2034,INTERVAL_0_14,0
4003,Skien,2034,INTERVAL_15_19,103
4003,Skien,2034,INTERVAL_20_24,884
4003,Skien,2034,INTERVAL_25_29,1458
4003,Skien,2034,INTERVAL_30_39,3883
4003,Skien,2034,INTERVAL_40_49,4826
4003,Skien,2034,INTERVAL_50_59,4631
4003,Skien,2034,INTERVAL_60_69,5113
4003,Skien,2034,INTERVAL_70_79,4228
4003,Skien,2034,INTERVAL_80_INF,3639
4003,Skien,2035,INTERVAL_0_14,0
4003,Skien,2035,INTERVAL_15_19,102
4003,Skien,2035,INTERVAL_20_24,872
4003,Skien,2035,INTERVAL_25_29,1473
4003,Skien,2035,INTERVAL_30_39,3853
4003,Skien,2035,INTERVAL_40_49,4855
4003,Skien,2035,INTERVAL_50_59,4607
4003,Skien,2035,INTERVAL_60_69,5148
4003,Skien,2035,INTERVAL_70_79,4291
4003,Skien,2035,INTERVAL_80_INF,3715
4003,Skien,2036,INTERVAL_0_14,0
4003,Skien,2036,INTERVAL_15_19,101
4003,Skien,2036,INTERVAL_20_24,866
4003,Skien,2036,INTERVAL_25_29,1472
4003,Skien,2036,INTERVAL_30_39,3833
4003,Skien,2036,INTERVAL_40_49,4852
4003,Skien,2036,INTERVAL_50_59,4651
4003,Skien,2036,INTERVAL_60_69,5114
4003,Skien,2036,INTERVAL_70_79,4343
4003,Skien,2036,INTERVAL_80_INF,3832
4003,Skien,2037,INTERVAL_0_14,0
4003,Skien,2037,INTERVAL_15_19,101
4003,Skien,2037,INTERVAL_20_24,859
4003,Skien,2037,INTERVAL_25_29,1469
4003,Skien,2037,INTERVAL_30_39,3803
4003,Skien,2037,INTERVAL_40_49,4871
4003,Skien,2037,INTERVAL_50_59,4685
4003,Skien,2037,INTERVAL_60_69,5075
4003,Skien,2037,INTERVAL_70_79,4401
4003,Skien,2037,INTERVAL_80_INF,3948
4003,Skien,2038,INTERVAL_0_14,0
4003,Skien,2038,INTERVAL_15_19,99
4003,Skien,2038,INTERVAL_20_24,846
4003,Skien,2038,INTERVAL_25_29,1474
4003,Skien,2038,INTERVAL_30_39,3786
4003,Skien,2038,INTERVAL_40_49,4842
4003,Skien,2038,INTERVAL_50_59,4769
4003,Skien,2038,INTERVAL_60_69,5016
4003,Skien,2038,INTERVAL_70_79,4472
4003,Skien,2038,INTERVAL_80_INF,4033
4003,Skien,2039,INTERVAL_0_14,0
4003,Skien,2039,INTERVAL_15_19,98
4003,Skien,2039,INTERVAL_20_24,843
4003,Skien,2039,INTERVAL_25_29,1458
4003,Skien,2039,INTERVAL_30_39,3786
4003,Skien,2039,INTERVAL_40_49,4782
4003,Skien,2039,INTERVAL_50_59,4874
4003,Skien,2039,INTERVAL_60_69,4963
4003,Skien,2039,INTERVAL_70_79,4519
4003,Skien,2039,INTERVAL_80_INF,4146
4003,Skien,2040,INTERVAL_0_14,0
4003,Skien,2040,INTERVAL_15_19,97
4003,Skien,2040,INTERVAL_20_24,834
4003,Skien,2040,INTERVAL_25_29,1438
4003,Skien,2040,INTERVAL_30_39,3787
4003,Skien,2040,INTERVAL_40_49,4739
4003,Skien,2040,INTERVAL_50_59,4969
4003,Skien,2040,INTERVAL_60_69,4891
4003,Skien,2040,INTERVAL_70_79,4612
4003,Skien,2040,INTERVAL_80_INF,4211
4003,Skien,2041,INTERVAL_0_14,0
4003,Skien,2041,INTERVAL_15_19,96
4003,Skien,2041,INTERVAL_20_24,826
4003,Skien,2041,INTERVAL_25_29,1426
4003,Skien,2041,INTERVAL_30_39,3784
4003,Skien,2041,INTERVAL_40_49,4698
4003,Skien,2041,INTERVAL_50_59,5046
4003,Skien,2041,INTERVAL_60_69,4830
4003,Skien,2041,INTERVAL_70_79,4726
4003,Skien,2041,INTERVAL_80_INF,4250
4003,Skien,2042,INTERVAL_0_14,0
4003,Skien,2042,INTERVAL_15_19,94
4003,Skien,2042,INTERVAL_20_24,823
4003,Skien,2042,INTERVAL_25_29,1417
4003,Skien,2042,INTERVAL_30_39,3795
4003,Skien,2042,INTERVAL_40_49,4635
4003,Skien,2042,INTERVAL_50_59,5111
4003,Skien,2042,INTERVAL_60_69,4799
4003,Skien,2042,INTERVAL_70_79,4810
4003,Skien,2042,INTERVAL_80_INF,4303
4003,Skien,2043,INTERVAL_0_14,0
4003,Skien,2043,INTERVAL_15_19,94
4003,Skien,2043,INTERVAL_20_24,812
4003,Skien,2043,INTERVAL_25_29,1398
4003,Skien,2043,INTERVAL_30_39,3810
4003,Skien,2043,INTERVAL_40_49,4582
4003,Skien,2043,INTERVAL_50_59,5159
4003,Skien,2043,INTERVAL_60_69,4759
4003,Skien,2043,INTERVAL_70_79,4880
4003,Skien,2043,INTERVAL_80_INF,4381
4003,Skien,2044,INTERVAL_0_14,0
4003,Skien,2044,INTERVAL_15_19,95
4003,Skien,2044,INTERVAL_20_24,800
4003,Skien,2044,INTERVAL_25_29,1388
4003,Skien,2044,INTERVAL_30_39,3807
4003,Skien,2044,INTERVAL_40_49,4546
4003,Skien,2044,INTERVAL_50_59,5210
4003,Skien,2044,INTERVAL_60_69,4718
4003,Skien,2044,INTERVAL_70_79,4916
4003,Skien,2044,INTERVAL_80_INF,4482
4003,Skien,2045,INTERVAL_0_14,0
4003,Skien,2045,INTERVAL_15_19,95
4003,Skien,2045,INTERVAL_20_24,791
4003,Skien,2045,INTERVAL_25_29,1374
4003,Skien,2045,INTERVAL_30_39,3801
4003,Skien,2045,INTERVAL_40_49,4512
4003,Skien,2045,INTERVAL_50_59,5244
4003,Skien,2045,INTERVAL_60_69,4700
4003,Skien,2045,INTERVAL_70_79,4958
4003,Skien,2045,INTERVAL_80_INF,4568
4003,Skien,2046,INTERVAL_0_14,0
4003,Skien,2046,INTERVAL_15_19,96
4003,Skien,2046,INTERVAL_20_24,786
4003,Skien,2046,INTERVAL_25_29,1358
4003,Skien,2046,INTERVAL_30_39,3787
4003,Skien,2046,INTERVAL_40_49,4490
4003,Skien,2046,INTERVAL_50_59,5249
4003,Skien,2046,INTERVAL_60_69,4743
4003,Skien,2046,INTERVAL_70_79,4935
4003,Skien,2046,INTERVAL_80_INF,4684
4003,Skien,2047,INTERVAL_0_14,0
4003,Skien,2047,INTERVAL_15_19,96
4003,Skien,2047,INTERVAL_20_24,777
4003,Skien,2047,INTERVAL_25_29,1351
4003,Skien,2047,INTERVAL_30_39,3772
4003,Skien,2047,INTERVAL_40_49,4460
4003,Skien,2047,INTERVAL_50_59,5269
4003,Skien,2047,INTERVAL_60_69,4783
4003,Skien,2047,INTERVAL_70_79,4905
4003,Skien,2047,INTERVAL_80_INF,4805
4003,Skien,2048,INTERVAL_0_14,0
4003,Skien,2048,INTERVAL_15_19,96
4003,Skien,2048,INTERVAL_20_24,780
4003,Skien,2048,INTERVAL_25_29,1334
4003,Skien,2048,INTERVAL_30_39,3752
4003,Skien,2048,INTERVAL_40_49,4439
4003,Skien,2048,INTERVAL_50_59,5244
4003,Skien,2048,INTERVAL_60_69,4865
4003,Skien,2048,INTERVAL_70_79,4856
4003,Skien,2048,INTERVAL_80_INF,4922
4003,Skien,2049,INTERVAL_0_14,0
4003,Skien,2049,INTERVAL_15_19,97
4003,Skien,2049,INTERVAL_20_24,784
4003,Skien,2049,INTERVAL_25_29,1318
4003,Skien,2049,INTERVAL_30_39,3718
4003,Skien,2049,INTERVAL_40_49,4443
4003,Skien,2049,INTERVAL_50_59,5190
4003,Skien,2049,INTERVAL_60_69,4966
4003,Skien,2049,INTERVAL_70_79,4814
4003,Skien,2049,INTERVAL_80_INF,5036
4003,Skien,2050,INTERVAL_0_14,0
4003,Skien,2050,INTERVAL_15_19,98
4003,Skien,2050,INTERVAL_20_24,788
4003,Skien,2050,INTERVAL_25_29,1306
4003,Skien,2050,INTERVAL_30_39,3678
4003,Skien,2050,INTERVAL_40_49,4443
4003,Skien,2050,INTERVAL_50_59,5149
4003,Skien,2050,INTERVAL_60_69,5060
4003,Skien,2050,INTERVAL_70_79,4759
4003,Skien,2050,INTERVAL_80_INF,5155
4010,Siljan,2026,INTERVAL_0_14,0
4010,Siljan,2026,INTERVAL_15_19,4
4010,Siljan,2026,INTERVAL_20_24,29
4010,Siljan,2026,INTERVAL_25_29,52
4010,Siljan,2026,INTERVAL_30_39,168
4010,Siljan,2026,INTERVAL_40_49,168
4010,Siljan,2026,INTERVAL_50_59,191
4010,Siljan,2026,INTERVAL_60_69,206
4010,Siljan,2026,INTERVAL_70_79,171
4010,Siljan,2026,INTERVAL_80_INF,135
4010,Siljan,2027,INTERVAL_0_14,0
4010,Siljan,2027,INTERVAL_15_19,4
4010,Siljan,2027,INTERVAL_20_24,28
4010,Siljan,2027,INTERVAL_25_29,55
4010,Siljan,2027,INTERVAL_30_39,172
4010,Siljan,2027,INTERVAL_40_49,162
4010,Siljan,2027,INTERVAL_50_59,191
4010,Siljan,2027,INTERVAL_60_69,202
4010,Siljan,2027,INTERVAL_70_79,171
4010,Siljan,2027,INTERVAL_80_INF,146
4010,Siljan,2028,INTERVAL_0_14,0
4010,Siljan,2028,INTERVAL_15_19,4
4010,Siljan,2028,INTERVAL_20_24,29
4010,Siljan,2028,INTERVAL_25_29,55
