Geografi,År,Kjønn,Alder,Sykdomsgruppe,Måltall,value
Hele landet,2020,menn,25-44 år,Skader,"per 1000, standardisert",90.1136463330508
Hele landet,2020,menn,45-74 år,Skader,"per 1000, standardisert",89.8580683094961
Hele landet,2020,menn,45-64 år,Skader,"per 1000, standardisert",90.1175229868285
Hele landet,2020,menn,65-74 år,Skader,"per 1000, standardisert",89.1716868572385
Hele landet,2020,menn,75-79 år,Skader,"per 1000, standardisert",101.026945032648
Hele landet,2020,kvinner,0-74 år,Skader,"per 1000, standardisert",82.8270967107492
Hele landet,2020,kvinner,0-44 år,Skader,"per 1000, standardisert",79.0829696834485
Hele landet,2020,kvinner,0-24 år,Skader,"per 1000, standardisert",88.4984660411188
Hele landet,2020,kvinner,0-14 år,Skader,"per 1000, standardisert",90.4801908076057
Hele landet,2020,kvinner,15-24 år,Skader,"per 1000, standardisert",85.9452645203159
Hele landet,2020,kvinner,25-44 år,Skader,"per 1000, standardisert",69.5233024041194
Hele landet,2020,kvinner,45-74 år,Skader,"per 1000, standardisert",88.5052556649813
Hele landet,2020,kvinner,45-64 år,Skader,"per 1000, standardisert",87.4558074677752
Hele landet,2020,kvinner,65-74 år,Skader,"per 1000, standardisert",91.1123080844042
Hele landet,2020,kvinner,75-79 år,Skader,"per 1000, standardisert",109.974910126711
Hele landet,2021,kjønn samlet,0-74 år,Skader,"per 1000, standardisert",91.86060311208
Hele landet,2021,kjønn samlet,0-44 år,Skader,"per 1000, standardisert",93.2848941611983
Hele landet,2021,kjønn samlet,0-24 år,Skader,"per 1000, standardisert",103.805948361978
Hele landet,2021,kjønn samlet,0-14 år,Skader,"per 1000, standardisert",104.384325842908
Hele landet,2021,kjønn samlet,15-24 år,Skader,"per 1000, standardisert",103.15520910771
Hele landet,2021,kjønn samlet,25-44 år,Skader,"per 1000, standardisert",82.6006522254076
Hele landet,2021,kjønn samlet,45-74 år,Skader,"per 1000, standardisert",89.6704815158445
Hele landet,2021,kjønn samlet,45-64 år,Skader,"per 1000, standardisert",89.7196393273686
Hele landet,2021,kjønn samlet,65-74 år,Skader,"per 1000, standardisert",89.5387993795477
Hele landet,2021,kjønn samlet,75-79 år,Skader,"per 1000, standardisert",105.829455307448
Hele landet,2021,menn,0-74 år,Skader,"per 1000, standardisert",97.6754374382297
