Kommune;År;Sektor;Utslipp
Fyresdal;2018;Avfall og avløp;437,2929628
Fyresdal;2018;Energiforsyning;0
Fyresdal;2018;Industri, olje og gass;36,0855996
Fyresdal;2018;Jordbruk;3065,333208
Fyresdal;2018;Luftfart;0,033425749
Fyresdal;2018;Oppvarming;400,7903667
Fyresdal;2018;Sjøfart;0
Fyresdal;2018;Veitrafikk;1205,035901
Fyresdal;2019;Annen mobil forbrenning;950,5791126
Fyresdal;2019;Avfall og avløp;372,3850642
Fyresdal;2019;Energiforsyning;0
Fyresdal;2019;Industri, olje og gass;135,3209985
Fyresdal;2019;Jordbruk;3165,416141
Fyresdal;2019;Luftfart;0,007427943
Fyresdal;2019;Oppvarming;241,1415522
Fyresdal;2019;Sjøfart;0
Fyresdal;2019;Veitrafikk;1154,634245
Færder;2009;Annen mobil forbrenning;2209,479127
Færder;2009;Avfall og avløp;5689,504201
Færder;2009;Energiforsyning;0
Færder;2009;Industri, olje og gass;802,55455
Færder;2009;Jordbruk;3794,991204
Færder;2009;Luftfart;0
Færder;2009;Oppvarming;6142,002276
Færder;2009;Sjøfart;52162,53949
Færder;2009;Veitrafikk;17769,37989
Færder;2011;Annen mobil forbrenning;4048,35011
Færder;2011;Avfall og avløp;5104,21489
Færder;2011;Energiforsyning;0
Færder;2011;Industri, olje og gass;752,6008592
Færder;2011;Jordbruk;3554,753087
Færder;2011;Luftfart;0
Færder;2011;Oppvarming;4545,072543
Færder;2011;Sjøfart;52162,53949
Færder;2011;Veitrafikk;17332,16006
Færder;2013;Annen mobil forbrenning;4610,960266
Færder;2013;Avfall og avløp;4615,63896
Færder;2013;Energiforsyning;0
Færder;2013;Industri, olje og gass;752,5622682
Færder;2013;Jordbruk;3704,065798
Færder;2013;Luftfart;0
Færder;2013;Oppvarming;4486,42084
Færder;2013;Sjøfart;52162,53949
Færder;2013;Veitrafikk;16903,118
Færder;2015;Annen mobil forbrenning;4915,758221
Færder;2015;Avfall og avløp;4177,039685
Færder;2015;Energiforsyning;0
Færder;2015;Industri, olje og gass;750,625
Færder;2015;Jordbruk;3870,169635
Færder;2015;Luftfart;0
Færder;2015;Oppvarming;4428,878083
Færder;2015;Sjøfart;52162,53949
Færder;2015;Veitrafikk;16137,98241
Færder;2016;Annen mobil forbrenning;3438,557978
Færder;2016;Avfall og avløp;3926,33275
Færder;2016;Energiforsyning;0
Færder;2016;Industri, olje og gass;752,5699864
Færder;2016;Jordbruk;3704,064686
Færder;2016;Luftfart;0
Færder;2016;Oppvarming;3898,780642
Færder;2016;Sjøfart;48696,04603
Færder;2016;Veitrafikk;15662,80642
Færder;2017;Annen mobil forbrenning;3977,991857
Færder;2017;Avfall og avløp;3711,191207
Færder;2017;Energiforsyning;0
Færder;2017;Industri, olje og gass;752,014276
Færder;2017;Jordbruk;3605,371821
Færder;2017;Luftfart;0
Færder;2017;Oppvarming;4659,330976
Færder;2017;Sjøfart;50661,71207
Færder;2017;Veitrafikk;14445,23354
Færder;2018;Annen mobil forbrenning;7135,515928
Færder;2018;Avfall og avløp;3526,560899
Færder;2018;Energiforsyning;0
Færder;2018;Industri, olje og gass;752,284413
Færder;2018;Jordbruk;3501,032957
Færder;2018;Luftfart;0
Færder;2018;Oppvarming;3346,885966
Færder;2018;Sjøfart;49840,61338
Færder;2018;Veitrafikk;14499,90486
Færder;2019;Annen mobil forbrenning;7726,995124
Færder;2019;Avfall og avløp;3348,188828
Færder;2019;Energiforsyning;0
Færder;2019;Industri, olje og gass;752,0219942
Færder;2019;Jordbruk;3645,66279
Færder;2019;Luftfart;0
Færder;2019;Oppvarming;2127,363269
Færder;2019;Sjøfart;50744,03604
Færder;2019;Veitrafikk;13826,91931
Hjartdal;2009;Annen mobil forbrenning;1098,030497
Hjartdal;2009;Avfall og avløp;61,3666666
Hjartdal;2009;Energiforsyning;0
Hjartdal;2009;Industri, olje og gass;0
Hjartdal;2009;Jordbruk;4344,23693
Hjartdal;2009;Luftfart;0
Hjartdal;2009;Oppvarming;748,7032523
Hjartdal;2009;Sjøfart;0
Hjartdal;2009;Veitrafikk;4803,079148
Hjartdal;2011;Annen mobil forbrenning;1230,487632
Hjartdal;2011;Avfall og avløp;56,03195062
Hjartdal;2011;Energiforsyning;0
Hjartdal;2011;Industri, olje og gass;0
Hjartdal;2011;Jordbruk;4098,288362
Hjartdal;2011;Luftfart;0
Hjartdal;2011;Oppvarming;626,8672479
Hjartdal;2011;Sjøfart;0
Hjartdal;2011;Veitrafikk;4763,360849
Hjartdal;2013;Annen mobil forbrenning;898,18931
Hjartdal;2013;Avfall og avløp;51,04414809
Hjartdal;2013;Energiforsyning;0
Hjartdal;2013;Industri, olje og gass;0
Hjartdal;2013;Jordbruk;4474,613837
Hjartdal;2013;Luftfart;0
Hjartdal;2013;Oppvarming;563,1583457
Hjartdal;2013;Sjøfart;0
Hjartdal;2013;Veitrafikk;4797,585811
Hjartdal;2015;Annen mobil forbrenning;1491,770679
Hjartdal;2015;Avfall og avløp;47,09576832
Hjartdal;2015;Energiforsyning;0
Hjartdal;2015;Industri, olje og gass;0
Hjartdal;2015;Jordbruk;4529,066209
Hjartdal;2015;Luftfart;0
Hjartdal;2015;Oppvarming;579,3862549
Hjartdal;2015;Sjøfart;0
Hjartdal;2015;Veitrafikk;4816,890078
Hjartdal;2016;Annen mobil forbrenning;3598,566751
Hjartdal;2016;Avfall og avløp;45,10167223
Hjartdal;2016;Energiforsyning;0
Hjartdal;2016;Industri, olje og gass;0
Hjartdal;2016;Jordbruk;4729,50982
Hjartdal;2016;Luftfart;0
Hjartdal;2016;Oppvarming;560,1605408
Hjartdal;2016;Sjøfart;0
Hjartdal;2016;Veitrafikk;4611,3808
Hjartdal;2017;Annen mobil forbrenning;915,5660136
Hjartdal;2017;Avfall og avløp;42,99555359
Hjartdal;2017;Energiforsyning;0
Hjartdal;2017;Industri, olje og gass;0
Hjartdal;2017;Jordbruk;4701,682072
Hjartdal;2017;Luftfart;0
Hjartdal;2017;Oppvarming;529,0087439
Hjartdal;2017;Sjøfart;0
Hjartdal;2017;Veitrafikk;4236,005347
Hjartdal;2018;Annen mobil forbrenning;1285,174898
Hjartdal;2018;Avfall og avløp;41,0638222
Hjartdal;2018;Energiforsyning;0
Hjartdal;2018;Industri, olje og gass;0
Hjartdal;2018;Jordbruk;4524,228255
Hjartdal;2018;Luftfart;0
Hjartdal;2018;Oppvarming;659,3174987
Hjartdal;2018;Sjøfart;0
Hjartdal;2018;Veitrafikk;4419,589209
Hjartdal;2019;Annen mobil forbrenning;969,9472638
Hjartdal;2019;Avfall og avløp;60,33964714
Hjartdal;2019;Energiforsyning;0
Hjartdal;2019;Industri, olje og gass;0
Hjartdal;2019;Jordbruk;4284,867934
Hjartdal;2019;Luftfart;0
Hjartdal;2019;Oppvarming;391,9263536
Hjartdal;2019;Sjøfart;0
Hjartdal;2019;Veitrafikk;4200,093545
Holmestrand;2009;Annen mobil forbrenning;4637,760914
Holmestrand;2009;Avfall og avløp;8399,463928
Holmestrand;2009;Energiforsyning;0
Holmestrand;2009;Industri, olje og gass;47355,43326
Holmestrand;2009;Jordbruk;21224,72908
Holmestrand;2009;Luftfart;0
Holmestrand;2009;Oppvarming;4692,903627
Holmestrand;2009;Sjøfart;922,3163081
Holmestrand;2009;Veitrafikk;75650,11922
Holmestrand;2011;Annen mobil forbrenning;6916,628488
Holmestrand;2011;Avfall og avløp;7280,057716
Holmestrand;2011;Energiforsyning;0
Holmestrand;2011;Industri, olje og gass;54867,51234
Holmestrand;2011;Jordbruk;20980,77881
Holmestrand;2011;Luftfart;0
Holmestrand;2011;Oppvarming;3830,801766
Holmestrand;2011;Sjøfart;922,3163081
Holmestrand;2011;Veitrafikk;73458,44761
Holmestrand;2013;Annen mobil forbrenning;7401,603653
Holmestrand;2013;Avfall og avløp;7799,883776
Holmestrand;2013;Energiforsyning;0
Holmestrand;2013;Industri, olje og gass;48137,56609
Holmestrand;2013;Jordbruk;21082,46661
Holmestrand;2013;Luftfart;0
Holmestrand;2013;Oppvarming;3357,691225
Holmestrand;2013;Sjøfart;922,3163081
Holmestrand;2013;Veitrafikk;71757,64689
Holmestrand;2015;Annen mobil forbrenning;6734,138265
Holmestrand;2015;Avfall og avløp;6844,065879
Holmestrand;2015;Energiforsyning;0
Holmestrand;2015;Industri, olje og gass;51052,48146
Holmestrand;2015;Jordbruk;22091,19604
Holmestrand;2015;Luftfart;0
Holmestrand;2015;Oppvarming;2192,321763
Holmestrand;2015;Sjøfart;922,3163081
Holmestrand;2015;Veitrafikk;70317,85047
Holmestrand;2016;Annen mobil forbrenning;5813,633238
Holmestrand;2016;Avfall og avløp;6204,093639
Holmestrand;2016;Energiforsyning;0
Holmestrand;2016;Industri, olje og gass;37396,26116
Holmestrand;2016;Jordbruk;21998,21554
Holmestrand;2016;Luftfart;0
Holmestrand;2016;Oppvarming;1589,832863
Holmestrand;2016;Sjøfart;878,4970414
Holmestrand;2016;Veitrafikk;66191,19789
Holmestrand;2017;Annen mobil forbrenning;5941,636383
Holmestrand;2017;Avfall og avløp;5546,573675
Holmestrand;2017;Energiforsyning;0
Holmestrand;2017;Industri, olje og gass;34494,53018
Holmestrand;2017;Jordbruk;21981,89243
Holmestrand;2017;Luftfart;0
Holmestrand;2017;Oppvarming;2358,723717
Holmestrand;2017;Sjøfart;988,7282456
Holmestrand;2017;Veitrafikk;61369,44666
Holmestrand;2018;Annen mobil forbrenning;6987,209645
Holmestrand;2018;Avfall og avløp;5129,025118
Holmestrand;2018;Energiforsyning;0
Holmestrand;2018;Industri, olje og gass;33394,95818
Holmestrand;2018;Jordbruk;21259,83489
Holmestrand;2018;Luftfart;0
Holmestrand;2018;Oppvarming;2019,913712
Holmestrand;2018;Sjøfart;1145,057922
Holmestrand;2018;Veitrafikk;62549,78139
Holmestrand;2019;Annen mobil forbrenning;7717,83723
Holmestrand;2019;Avfall og avløp;4580,54447
Holmestrand;2019;Energiforsyning;0
Holmestrand;2019;Industri, olje og gass;32046,88921
Holmestrand;2019;Jordbruk;19664,93799
Holmestrand;2019;Luftfart;0
Holmestrand;2019;Oppvarming;1904,404251
Holmestrand;2019;Sjøfart;1349,806282
Holmestrand;2019;Veitrafikk;58064,77773
Horten;2009;Annen mobil forbrenning;10070,13353
Horten;2009;Avfall og avløp;444,3499929
Horten;2009;Energiforsyning;0
Horten;2009;Industri, olje og gass;22,1294524
Horten;2009;Jordbruk;4514,264922
Horten;2009;Luftfart;0
Horten;2009;Oppvarming;9709,893624
Horten;2009;Sjøfart;19181,09682
Horten;2009;Veitrafikk;32490,66663
Horten;2011;Annen mobil forbrenning;12650,87227
Horten;2011;Avfall og avløp;403,0883263
Horten;2011;Energiforsyning;0
Horten;2011;Industri, olje og gass;15,942466
Horten;2011;Jordbruk;3946,46945
Horten;2011;Luftfart;0
Horten;2011;Oppvarming;8234,173208
Horten;2011;Sjøfart;19181,09682
Horten;2011;Veitrafikk;31613,59127
Horten;2013;Annen mobil forbrenning;16196,853
Horten;2013;Avfall og avløp;413,5774154
Horten;2013;Energiforsyning;0
Horten;2013;Industri, olje og gass;6,3769864
Horten;2013;Jordbruk;3486,638194
Horten;2013;Luftfart;0
Horten;2013;Oppvarming;9928,239413
Horten;2013;Sjøfart;19181,09682
Horten;2013;Veitrafikk;30921,17008
Horten;2015;Annen mobil forbrenning;24108,71548
Horten;2015;Avfall og avløp;413,5411554
Horten;2015;Energiforsyning;96,0195275
Horten;2015;Industri, olje og gass;0
Horten;2015;Jordbruk;3662,03046
Horten;2015;Luftfart;0
Horten;2015;Oppvarming;6690,559341
Horten;2015;Sjøfart;19181,09682
Horten;2015;Veitrafikk;30211,05502
Horten;2016;Annen mobil forbrenning;25168,25384
Horten;2016;Avfall og avløp;405,8903235
Horten;2016;Energiforsyning;586,8149928
Horten;2016;Industri, olje og gass;0
Horten;2016;Jordbruk;3631,746473
Horten;2016;Luftfart;0
Horten;2016;Oppvarming;5810,129484
Horten;2016;Sjøfart;27526,80725
Horten;2016;Veitrafikk;28468,56848
Horten;2017;Annen mobil forbrenning;4502,947301
Horten;2017;Avfall og avløp;402,7400512
Horten;2017;Energiforsyning;1069,782779
Horten;2017;Industri, olje og gass;0
Horten;2017;Jordbruk;3732,4487
Horten;2017;Luftfart;0
Horten;2017;Oppvarming;3718,559962
Horten;2017;Sjøfart;45672,72338
Horten;2017;Veitrafikk;26554,20188
